Clase,Orden,Familia,Especie
Aves,Apodiformes,Apodidae,"Streptoprocne rutila"
Aves,Passeriformes,Thraupidae,"Tangara gyrola"
Aves,Passeriformes,Thraupidae,"Tangara cyanotis"
Aves,Passeriformes,Thraupidae,"Tangara chrysotis"
Aves,Passeriformes,Thraupidae,"Tangara chilensis"
Aves,Passeriformes,Thraupidae,"Tangara arthus"
Equisetopsida,Lamiales,Bignoniaceae,"Tanaecium pyramidatum"
Mammalia,Pilosa,Myrmecophagidae,"Tamandua tetradactyla"
Equisetopsida,Gleicheniales,Gleicheniaceae,"Sticherus simplex"
Aves,Passeriformes,Thraupidae,"Tachyphonus rufus"
Aves,Passeriformes,Hirundinidae,"Tachycineta albiventer"
Aves,Apodiformes,Apodidae,"Tachornis squamata"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus triangularis"
Aves,Passeriformes,Furnariidae,"Synallaxis albigularis"
Equisetopsida,Fabales,Fabaceae,"Tachigali peruviana"
Equisetopsida,Gentianales,Apocynaceae,"Tabernaemontana sananho"
Equisetopsida,Lamiales,Bignoniaceae,"Tabebuia aurea"
Aves,Passeriformes,Furnariidae,"Synallaxis azarae"
Aves,Passeriformes,Furnariidae,"Syndactyla subalaris"
Aves,Passeriformes,Furnariidae,"Syndactyla rufosuperciliata"
Aves,Passeriformes,Furnariidae,"Syndactyla ruficollis"
Aves,Passeriformes,Furnariidae,"Synallaxis unirufa"
Aves,Passeriformes,Furnariidae,"Synallaxis gujanensis"
Aves,Passeriformes,Furnariidae,"Synallaxis cherriei"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus guttatus"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus elegans"
Aves,Passeriformes,Furnariidae,"Xiphocolaptes promeropirhynchus"
Equisetopsida,Malpighiales,Malpighiaceae,"Stigmaphyllon argenteum"
Equisetopsida,Commelinales,Haemodoraceae,"Xiphidium caeruleum"
Equisetopsida,Malpighiales,Malpighiaceae,"Stigmaphyllon bogotense"
Equisetopsida,Malpighiales,Malpighiaceae,"Stigmaphyllon cardiophyllum"
Aves,Passeriformes,Furnariidae,"Xenops rutilans"
Aves,Passeriformes,Furnariidae,"Xenops minutus"
Aves,Strigiformes,Strigidae,"Xenoglaux loweryi"
Equisetopsida,Malpighiales,Malpighiaceae,"Stigmaphyllon sinuatum"
Aves,Passeriformes,Furnariidae,"Xenerpestes singularis"
