Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Apodiformes,Apodidae,Streptoprocne rutila,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara gyrola,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara cyanotis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara chrysotis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara chilensis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara arthus,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Tanaecium pyramidatum,FALSE,FALSE
Mammalia,Pilosa,Myrmecophagidae,Tamandua tetradactyla,FALSE,FALSE
Equisetopsida,Gleicheniales,Gleicheniaceae,Sticherus simplex,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tachyphonus rufus,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Tachycineta albiventer,FALSE,FALSE
Aves,Apodiformes,Apodidae,Tachornis squamata,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus triangularis,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis albigularis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Tachigali peruviana,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Tabernaemontana sananho,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Tabebuia aurea,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis azarae,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Syndactyla subalaris,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Syndactyla rufosuperciliata,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Syndactyla ruficollis,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis unirufa,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis gujanensis,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis cherriei,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus guttatus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus elegans,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphocolaptes promeropirhynchus,FALSE,FALSE
Equisetopsida,Malpighiales,Malpighiaceae,Stigmaphyllon argenteum,TRUE,FALSE
Equisetopsida,Commelinales,Haemodoraceae,Xiphidium caeruleum,FALSE,FALSE
Equisetopsida,Malpighiales,Malpighiaceae,Stigmaphyllon bogotense,FALSE,FALSE
Equisetopsida,Malpighiales,Malpighiaceae,Stigmaphyllon cardiophyllum,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xenops rutilans,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xenops minutus,FALSE,FALSE
Aves,Strigiformes,Strigidae,Xenoglaux loweryi,TRUE,TRUE
Equisetopsida,Malpighiales,Malpighiaceae,Stigmaphyllon sinuatum,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xenerpestes singularis,FALSE,FALSE
Equisetopsida,Polypodiales,Dryopteridaceae,Stigmatopteris pellucidopunctata,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Stilpnia cayana,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Stilpnia cyanicollis,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Witheringia solanacea,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Wissadula hernandioides,FALSE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia pinnata,FALSE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia macrophylla,FALSE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia balbisiana,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Warszewiczia coccinea,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Stilpnia viridicollis,FALSE,FALSE
Equisetopsida,Gentianales,Gentianaceae,Voyria aphylla,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Volatinia jacarina,FALSE,FALSE
Equisetopsida,Myrtales,Vochysiaceae,Vochysia obscura,FALSE,FALSE
Equisetopsida,Myrtales,Vochysiaceae,Vochysia haenkeana,FALSE,FALSE
Equisetopsida,Malpighiales,Hypericaceae,Vismia pozuzoensis,FALSE,FALSE
Equisetopsida,Malpighiales,Hypericaceae,Vismia lauriformis,FALSE,FALSE
Equisetopsida,Malpighiales,Hypericaceae,Vismia gracilis,FALSE,FALSE
Equisetopsida,Malpighiales,Hypericaceae,Vismia floribunda,FALSE,FALSE
Equisetopsida,Malpighiales,Hypericaceae,Vismia cavanillesiana,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Vireo olivaceus,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Vireo leucophrys,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Vireolanius leucotis,FALSE,FALSE
Equisetopsida,Dipsacales,Viburnaceae,Viburnum reticulatum,FALSE,FALSE
Equisetopsida,Dipsacales,Viburnaceae,Viburnum jelskii,FALSE,FALSE
Equisetopsida,Brassicales,Caricaceae,Vasconcellea microcarpa,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Vanellus resplendens,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Vanellus cayanus,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Vampyriscus bidens,FALSE,FALSE
Aves,Apodiformes,Apodidae,Streptoprocne zonaris,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana adscendens,FALSE,FALSE
Equisetopsida,Sapindales,Sapindaceae,Urvillea ulmacea,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urtica leptophylla,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Zonotrichia capensis,FALSE,FALSE
Equisetopsida,Santalales,Loranthaceae,Struthanthus orbicularis,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Uropsalis segmentata,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Uropsalis lyra,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urera simplex,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urera laciniata,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urera caracasana,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urera baccifera,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Uncaria guianensis,FALSE,FALSE
Aves,Strigiformes,Tytonidae,Tyto alba,FALSE,FALSE
