Clase,Orden,Familia,Especie
Equisetopsida,Geraniales,Geraniaceae,"Geranium ayavacense"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus oleifolius"
Equisetopsida,Sapindales,Anacardiaceae,"Mauria heterophylla"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Equisetopsida,Asparagales,Orchidaceae,"Fernandezia subbiflora"
Equisetopsida,Sapindales,Anacardiaceae,"Mauria simplicifolia"
Equisetopsida,Dioscoreales,Dioscoreaceae,"Dioscorea syringifolia"
Equisetopsida,Asparagales,Orchidaceae,"Fernandezia ionanthera"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia myrtilloides"
Equisetopsida,Myrtales,Myrtaceae,"Myrcianthes discolor"
Equisetopsida,Fagales,Betulaceae,"Alnus acuminata"
Mammalia,Cingulata,Dasypodidae,"Dasypus pilosus"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Equisetopsida,Fabales,Fabaceae,"Otholobium mexicanum"
Mammalia,Cetartiodactyla,Cervidae,"Pudu mephistophiles"
Mammalia,Chiroptera,Vespertilionidae,"Eptesicus (Histiotus) velatus"
Equisetopsida,Proteales,Proteaceae,"Lomatia hirsuta"
Equisetopsida,Asparagales,Orchidaceae,"Prosthechea hartwegii"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea caracasana"
Equisetopsida,Asparagales,Orchidaceae,"Cyrtochilum macranthum"
Equisetopsida,Lamiales,Acanthaceae,"Aphelandra wurdackii"
Aves,Galliformes,Cracidae,"Penelope barbata"
Mammalia,Perissodactyla,Tapiridae,"Tapirus pinchaque"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
,,,
