Clase,Orden,Familia,Especie
Aves,Passeriformes,Thraupidae,"Diglossa cyanea"
Equisetopsida,Poales,Poaceae,"Paspalum candidum"
Aves,Passeriformes,Parulidae,"Myioborus miniatus"
Equisetopsida,Sapindales,Sapindaceae,"Dodonaea viscosa"
Equisetopsida,Solanales,Solanaceae,"Solanum americanum"
Equisetopsida,Piperales,Piperaceae,"Peperomia galioides"
Equisetopsida,Asparagales,Iridaceae,"Orthrosanthus chimboracensis"
Equisetopsida,Asterales,Campanulaceae,"Lobelia tenera"
Equisetopsida,Apiales,Apiaceae,"Azorella crenata"
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis medicaginea"
Aves,Apodiformes,Trochilidae,"Lafresnaya lafresnayi"
Equisetopsida,Myrtales,Melastomataceae,"Monochaetum lineatum"
Equisetopsida,Santalales,Loranthaceae,"Gaiadendron punctatum"
Aves,Columbiformes,Columbidae,"Geotrygon montana"
Equisetopsida,Poales,Poaceae,"Nassella mucronata"
Equisetopsida,Asparagales,Orchidaceae,"Cyrtochilum aureum"
Equisetopsida,Liliales,Alstroemeriaceae,"Bomarea multiflora"
Equisetopsida,Geraniales,Geraniaceae,"Geranium ayavacense"
Aves,Apodiformes,Trochilidae,"Colibri coruscans"
Equisetopsida,Asterales,Asteraceae,"Philoglossa mimuloides"
Equisetopsida,Ericales,Ericaceae,"Gualtheria myrsinoides"
Mammalia,Didelphimorphia,Didelphidae,"Didelphis marsupialis"
Equisetopsida,Myrtales,Melastomataceae,"Miconia obscura"
Equisetopsida,Poales,Poaceae,"Festuca bromoides"
Equisetopsida,Polypodiales,Blechnaceae,"Blechnum fragile"
Equisetopsida,Piperales,Piperaceae,"Piper andreanum"
Aves,Passeriformes,Fringillidae,"Spinus psaltria"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus oleifolius"
Aves,Passeriformes,Troglodytidae,"Cistothorus platensis"
Equisetopsida,Myrtales,Melastomataceae,"Meriania tetragona"
Equisetopsida,Lamiales,Bignoniaceae,"Delostoma integrifolium"
Equisetopsida,Poales,Poaceae,"Cinnagrostis rupestris"
Equisetopsida,Sapindales,Anacardiaceae,"Mauria heterophylla"
Equisetopsida,Solanales,Solanaceae,"Solanum amblophyllum"
Mammalia,Carnivora,Felidae,"Leopardus pardalis"
Equisetopsida,Caryophyllales,Polygonaceae,"Rumex acetosella"
Equisetopsida,Ericales,Ericaceae,"Disterigma acuminatum"
