Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Passeriformes,Thraupidae,Diglossa cyanea,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Paspalum candidum,FALSE,FALSE
Aves,Passeriformes,Parulidae,Myioborus miniatus,FALSE,FALSE
Equisetopsida,Sapindales,Sapindaceae,Dodonaea viscosa,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum americanum,FALSE,FALSE
Equisetopsida,Piperales,Piperaceae,Peperomia galioides,FALSE,FALSE
Equisetopsida,Asparagales,Iridaceae,Orthrosanthus chimboracensis,FALSE,FALSE
Equisetopsida,Asterales,Campanulaceae,Lobelia tenera,FALSE,FALSE
Equisetopsida,Apiales,Apiaceae,Azorella crenata,FALSE,FALSE
Equisetopsida,Oxalidales,Oxalidaceae,Oxalis medicaginea,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Lafresnaya lafresnayi,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Monochaetum lineatum,FALSE,FALSE
Equisetopsida,Santalales,Loranthaceae,Gaiadendron punctatum,FALSE,FALSE
Aves,Columbiformes,Columbidae,Geotrygon montana,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Nassella mucronata,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Cyrtochilum aureum,FALSE,FALSE
Equisetopsida,Liliales,Alstroemeriaceae,Bomarea multiflora,FALSE,FALSE
Equisetopsida,Geraniales,Geraniaceae,Geranium ayavacense,FALSE,TRUE
Aves,Apodiformes,Trochilidae,Colibri coruscans,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Philoglossa mimuloides,FALSE,FALSE
Equisetopsida,Ericales,Ericaceae,Gualtheria myrsinoides,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Didelphis marsupialis,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia obscura,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Festuca bromoides,FALSE,FALSE
Equisetopsida,Polypodiales,Blechnaceae,Blechnum fragile,FALSE,FALSE
Equisetopsida,Piperales,Piperaceae,Piper andreanum,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Spinus psaltria,FALSE,FALSE
