Clase,Orden,Familia,Especie
Equisetopsida,Malpighiales,Malpighiaceae,"Stigmaphyllon argenteum"
Aves,Passeriformes,Tyrannidae,"Zimmerius viridiflavus"
Equisetopsida,Lamiales,Gesneriaceae,"Besleria racemosa"
Equisetopsida,Poales,Bromeliaceae,"Aechmea ferruginea"
Reptilia,Sauria,Hoplocercidae,"Enyalioides rudolfarndti"
Equisetopsida,Myrtales,Melastomataceae,"Miconia aprica"
Equisetopsida,Alismatales,Araceae,"Anthurium latissimum"
Equisetopsida,Alismatales,Araceae,"Philodendron killipii"
Equisetopsida,Alismatales,Araceae,"Stenospermation crassifolium"
Equisetopsida,Lamiales,Gesneriaceae,"Drymonia erythroloma"
Equisetopsida,Poales,Poaceae,"Chusquea barbata"
Equisetopsida,Pandanales,Cyclanthaceae,"Dicranopygium latissimum"
Equisetopsida,Zingiberales,Costaceae,"Costus productus var. productus"
Equisetopsida,Lamiales,Gesneriaceae,"Besleria citrina"
Equisetopsida,Polypodiales,Dryopteridaceae,"Elaphoglossum metallicum"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum vesicinanum"
Equisetopsida,Arecales,Arecaceae,"Geonoma brongniartii subsp. pascoensis"
Equisetopsida,Magnoliales,Annonaceae,"Cremastosperma oblongum"
Equisetopsida,Gentianales,Gentianaceae,"Macrocarpaea wallnoeferi"
Equisetopsida,Gentianales,Gentianaceae,"Macrocarpaea robin-fosteri"
Equisetopsida,Gentianales,Rubiaceae,"Pagamea dudleyi"
,,,
