Clase,Orden,Familia,Especie
Equisetopsida,Gleicheniales,Gleicheniaceae,"Sticherus remotus"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus guttatus"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Trichomanes elegans"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Trichomanes pellucens"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Trichomanes trollii"
Equisetopsida,Caryophyllales,Polygonaceae,"Triplaris poeppigiana"
Equisetopsida,Poales,Poaceae,"Tripsacum andersonii"
Equisetopsida,Pandanales,Triuridaceae,"Triuris hyalina"
Equisetopsida,Asterales,Asteraceae,"Vernonanthura patens"
Equisetopsida,Sapindales,Anacardiaceae,"Tapirira guianensis"
Aves,Trogoniformes,Trogonidae,"Trogon ramonianus"
Equisetopsida,Rosales,Moraceae,"Trophis caucana"
Reptilia,Sauria,Teiidae,"Tupinambis teguixin"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana clematitis"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana chaerophylloides"
Equisetopsida,Malpighiales,Salicaceae,"Tetrathylacium macrophyllum"
Equisetopsida,Malpighiales,Malpighiaceae,"Stigmaphyllon argenteum"
Aves,Passeriformes,Thraupidae,"Tangara schrankii"
Mammalia,Perissodactyla,Tapiridae,"Tapirus terrestris"
Equisetopsida,Commelinales,Haemodoraceae,"Xiphidium caeruleum"
Equisetopsida,Crossosomatales,Staphyleaceae,"Turpinia occidentalis"
Reptilia,Serpentes,Dipsadidae,"Xenodon severus"
Equisetopsida,Gentianales,Gentianaceae,"Tachia occidentalis"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris decussata var. decussata"
Equisetopsida,Polypodiales,Dryopteridaceae,"Stigmatopteris heterophlebia"
Equisetopsida,Gentianales,Apocynaceae,"Tabernaemontana sananho"
Equisetopsida,Alismatales,Araceae,"Xanthosoma undipes"
Equisetopsida,Gentianales,Apocynaceae,"Tabernaemontana cuspidata"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris leprieurii"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris membranacea"
Equisetopsida,Fabales,Fabaceae,"Swartzia myrtifolia"
Equisetopsida,Fabales,Fabaceae,"Zygia coccinea"
Equisetopsida,Solanales,Solanaceae,"Witheringia solanacea"
Aves,Passeriformes,Thraupidae,"Stilpnia cyanicollis"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris valdepilosa"
Equisetopsida,Arecales,Arecaceae,"Wettinia longipetala"
Equisetopsida,Malvales,Malvaceae,"Theobroma grandiflorum"
Equisetopsida,Arecales,Arecaceae,"Wettinia augusta"
Equisetopsida,Arecales,Arecaceae,"Wendlandiella gracilis var. simplicifrons"
Equisetopsida,Polypodiales,Tectariaceae,"Tectaria incisa"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia pentaphylla"
Equisetopsida,Polypodiales,Tectariaceae,"Tectaria lizarzaburui"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia lentiscifolia"
Equisetopsida,Gleicheniales,Gleicheniaceae,"Sticherus bifidus"
Equisetopsida,Sapindales,Anacardiaceae,"Thyrsodium bolivianum"
