Clase,Orden,Familia,Especie
Mammalia,Cingulata,Dasypodidae,"Dasypus pilosus"
Equisetopsida,Laurales,Lauraceae,"Ocotea raymondiana"
Mammalia,Rodentia,Dasyproctidae,"Dasyprocta kalinowskii"
Equisetopsida,Lycopodiales,Lycopodiaceae,"Huperzia weberbaueri"
Equisetopsida,Solanales,Solanaceae,"Solanum aloysiifolium"
Equisetopsida,Malpighiales,Passifloraceae,"Passiflora mixta"
Equisetopsida,Ranunculales,Ranunculaceae,"Ranunculus luxurians"
Aves,Passeriformes,Icteridae,"Cacicus cela"
Equisetopsida,Asparagales,Orchidaceae,"Crossoglossa puipuiensis"
Mammalia,Rodentia,Cuniculidae,"Cuniculus taczanowskii"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus femoralis"
Mammalia,Carnivora,Mustelidae,"Lontra longicaudis"
Aves,Columbiformes,Columbidae,"Patagioenas plumbea"
Aves,Galliformes,Cracidae,"Ortalis guttata"
Aves,Passeriformes,Tyrannidae,"Serpophaga cinerea"
Equisetopsida,Ranunculales,Ranunculaceae,"Ranunculus weberbaueri"
Equisetopsida,Ericales,Ebenaceae,"Lissocarpa ronliesneri"
Equisetopsida,Lamiales,Verbenaceae,"Citharexylum dentatum"
Equisetopsida,Laurales,Lauraceae,"Nectandra hihua"
Aves,Coraciiformes,Momotidae,"Momotus momota"
Equisetopsida,Polypodiales,Dryopteridaceae,"Elaphoglossum peltatum"
Aves,Strigiformes,Strigidae,"Glaucidium jardinii"
Equisetopsida,Polypodiales,Polypodiaceae,"Campyloneurum amphostenon"
Aves,Psittaciformes,Psittacidae,"Hapalopsittaca melanotis"
Aves,Passeriformes,Thraupidae,"Anisognathus lacrymosus"
Aves,Passeriformes,Grallariidae,"Grallaria andicolus"
Equisetopsida,Solanales,Solanaceae,"Solanum aureum"
Equisetopsida,Poales,Poaceae,"Muhlenbergia peruviana"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Mammalia,Carnivora,Mephitidae,"Conepatus chinga"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum frutex"
Aves,Galliformes,Cracidae,"Penelope jacquacu"
Equisetopsida,Solanales,Solanaceae,"Solanum ternatum"
Aves,Apodiformes,Trochilidae,"Aglaeactis cupripennis"
Equisetopsida,Zingiberales,Costaceae,"Costus spiralis"
Aves,Cuculiformes,Cuculidae,"Crotophaga ani"
Equisetopsida,Solanales,Solanaceae,"Solanum callianthum"
Aves,Anseriformes,Anatidae,"Lophonetta specularioides"
Equisetopsida,Poales,Poaceae,"Cinnagrostis rigida"
Equisetopsida,Asterales,Asteraceae,"Gynoxys cuzcoensis"
Mammalia,Carnivora,Mustelidae,"Neogale frenata"
Aves,Passeriformes,Icteridae,"Psarocolius atrovirens"
Aves,Passeriformes,Thraupidae,"Ramphocelus carbo"
Aves,Apodiformes,Trochilidae,"Chlorostilbon mellisugus"
Equisetopsida,Polypodiales,Dryopteridaceae,"Elaphoglossum lloense"
Equisetopsida,Poales,Poaceae,"Isachne arundinacea"
Equisetopsida,Poales,Bromeliaceae,"Pepinia werffii"
Mammalia,Rodentia,Cricetidae,"Nephelomys keaysi"
Aves,Apodiformes,Trochilidae,"Ocreatus underwoodii"
Aves,Passeriformes,Thraupidae,"Saltator coerulescens"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus frankeae"
Mammalia,Carnivora,Felidae,"Panthera onca"
Equisetopsida,Asparagales,Orchidaceae,"Gomphichis macbridei"
Equisetopsida,Alismatales,Araceae,"Anthurium aldavei"
Mammalia,Didelphimorphia,Didelphidae,"Marmosops (Sciophanes) juninensis"
Equisetopsida,Poales,Poaceae,"Agrostis breviculmis"
Equisetopsida,Rosales,Rosaceae,"Polylepis rocio-rojasii"
Equisetopsida,Fabales,Polygalaceae,"Monnina conferta"
Equisetopsida,Rosales,Rosaceae,"Polylepis rodolfo-vasquezii"
Equisetopsida,Asparagales,Orchidaceae,"Stelis antillensis"
Aves,Apodiformes,Trochilidae,"Colibri coruscans"
Equisetopsida,Piperales,Piperaceae,"Peperomia hartwegiana"
Aves,Pelecaniformes,Threskiornithidae,"Plegadis ridgwayi"
Aves,Passeriformes,Furnariidae,"Cinclodes albiventris"
Equisetopsida,Poales,Poaceae,"Jarava ichu"
Aves,Passeriformes,Tyrannidae,"Leptopogon taczanowskii"
Equisetopsida,Alismatales,Araceae,"Anthurium versicolor"
Aves,Accipitriformes,Accipitridae,"Circus cinereus"
Equisetopsida,Poales,Juncaceae,"Juncus arcticus"
Equisetopsida,Alismatales,Araceae,"Stenospermation zeacarpium"
Aves,Galliformes,Cracidae,"Aburria aburri"
Mammalia,Cetartiodactyla,Cervidae,"Pudella carlae"
Aves,Passeriformes,Tityridae,"Pachyramphus validus"
Equisetopsida,Solanales,Solanaceae,"Saracha punctata"
Aves,Passeriformes,Tyrannidae,"Muscisaxicola griseus"
Equisetopsida,Solanales,Solanaceae,"Salpichroa glandulosa"
Aves,Galliformes,Cracidae,"Mitu tuberosum"
Aves,Piciformes,Ramphastidae,"Aulacorhynchus albivitta"
Aves,Passeriformes,Cinclidae,"Cinclus leucocephalus"
Aves,Passeriformes,Cotingidae,"Rupicola peruvianus"
Equisetopsida,Asterales,Asteraceae,"Nordenstamia valenzuelae"
Mammalia,Rodentia,Cricetidae,"Akodon orophilus"
Equisetopsida,Asparagales,Orchidaceae,"Fernandezia tenuis"
Equisetopsida,Apiales,Apiaceae,"Niphogeton dissecta"
Aves,Psittaciformes,Psittacidae,"Bolborhynchus lineola"
Aves,Falconiformes,Falconidae,"Falco sparverius"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea lineata"
Equisetopsida,Poales,Poaceae,"Anthoxanthum odoratum"
Aves,Passeriformes,Thraupidae,"Catamenia inornata"
Equisetopsida,Lamiales,Orobanchaceae,"Neobartsia weberbaueri"
Equisetopsida,Piperales,Piperaceae,"Piper acutifolium"
Aves,Charadriiformes,Laridae,"Chroicocephalus serranus"
Equisetopsida,Polypodiales,Dryopteridaceae,"Polystichopsis macrostegia"
Aves,Passeriformes,Cotingidae,"Pipreola pulchra"
Equisetopsida,Gentianales,Rubiaceae,"Pimentelia glomerata"
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis dombeyi"
Aves,Passeriformes,Icteridae,"Cacicus uropygialis"
Equisetopsida,Asparagales,Orchidaceae,"Sobralia crocea"
Equisetopsida,Cucurbitales,Cucurbitaceae,"Gurania eriantha"
Mammalia,Rodentia,Sciuridae,"Hadrosciurus pyrrhinus"
Aves,Passeriformes,Pipridae,"Lepidothrix isidorei"
Aves,Apodiformes,Trochilidae,"Elliotomyia viridicauda"
Aves,Passeriformes,Thraupidae,"Geospizopsis plebejus"
Reptilia,Sauria,Gymnophthalmidae,"Selvasaura brava"
Equisetopsida,Asparagales,Orchidaceae,"Pleurothallis loejtnantii"
Aves,Falconiformes,Falconidae,"Phalcoboenus megalopterus"
Equisetopsida,Ericales,Ericaceae,"Disterigma pernettyoides"
Aves,Passeriformes,Motacillidae,"Anthus bogotensis"
Equisetopsida,Gentianales,Rubiaceae,"Arcytophyllum filiforme"
Aves,Podicipediformes,Podicipedidae,"Podiceps occipitalis"
