Clase,Orden,Familia,Especie,endemica,amenazada
Mammalia,Cingulata,Dasypodidae,Dasypus pilosus,TRUE,TRUE
Equisetopsida,Laurales,Lauraceae,Ocotea raymondiana,TRUE,FALSE
Mammalia,Rodentia,Dasyproctidae,Dasyprocta kalinowskii,TRUE,FALSE
Equisetopsida,Lycopodiales,Lycopodiaceae,Huperzia weberbaueri,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum aloysiifolium,FALSE,FALSE
Equisetopsida,Malpighiales,Passifloraceae,Passiflora mixta,FALSE,FALSE
Equisetopsida,Ranunculales,Ranunculaceae,Ranunculus luxurians,TRUE,FALSE
Aves,Passeriformes,Icteridae,Cacicus cela,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Crossoglossa puipuiensis,TRUE,FALSE
Mammalia,Rodentia,Cuniculidae,Cuniculus taczanowskii,FALSE,FALSE
Aves,Passeriformes,Rhinocryptidae,Scytalopus femoralis,TRUE,FALSE
Mammalia,Carnivora,Mustelidae,Lontra longicaudis,FALSE,FALSE
Aves,Columbiformes,Columbidae,Patagioenas plumbea,FALSE,FALSE
Aves,Galliformes,Cracidae,Ortalis guttata,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Serpophaga cinerea,FALSE,FALSE
Equisetopsida,Ranunculales,Ranunculaceae,Ranunculus weberbaueri,TRUE,FALSE
Equisetopsida,Ericales,Ebenaceae,Lissocarpa ronliesneri,FALSE,FALSE
Equisetopsida,Lamiales,Verbenaceae,Citharexylum dentatum,FALSE,FALSE
Equisetopsida,Laurales,Lauraceae,Nectandra hihua,FALSE,FALSE
Aves,Coraciiformes,Momotidae,Momotus momota,FALSE,FALSE
Equisetopsida,Polypodiales,Dryopteridaceae,Elaphoglossum peltatum,FALSE,FALSE
Aves,Strigiformes,Strigidae,Glaucidium jardinii,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Campyloneurum amphostenon,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Hapalopsittaca melanotis,FALSE,TRUE
Aves,Passeriformes,Thraupidae,Anisognathus lacrymosus,FALSE,FALSE
Aves,Passeriformes,Grallariidae,Grallaria andicolus,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum aureum,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Muhlenbergia peruviana,FALSE,FALSE
Mammalia,Rodentia,Dinomyidae,Dinomys branickii,FALSE,TRUE
Mammalia,Carnivora,Mephitidae,Conepatus chinga,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Epidendrum frutex,FALSE,FALSE
Aves,Galliformes,Cracidae,Penelope jacquacu,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum ternatum,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Aglaeactis cupripennis,FALSE,FALSE
Equisetopsida,Zingiberales,Costaceae,Costus spiralis,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Crotophaga ani,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum callianthum,FALSE,FALSE
Aves,Anseriformes,Anatidae,Lophonetta specularioides,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Cinnagrostis rigida,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Gynoxys cuzcoensis,TRUE,TRUE
Mammalia,Carnivora,Mustelidae,Neogale frenata,FALSE,FALSE
Aves,Passeriformes,Icteridae,Psarocolius atrovirens,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Ramphocelus carbo,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Chlorostilbon mellisugus,FALSE,FALSE
Equisetopsida,Polypodiales,Dryopteridaceae,Elaphoglossum lloense,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Isachne arundinacea,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Pepinia werffii,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Nephelomys keaysi,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Ocreatus underwoodii,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Saltator coerulescens,FALSE,FALSE
Aves,Passeriformes,Rhinocryptidae,Scytalopus frankeae,TRUE,FALSE
Mammalia,Carnivora,Felidae,Panthera onca,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Gomphichis macbridei,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium aldavei,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Marmosops (Sciophanes) juninensis,TRUE,TRUE
Equisetopsida,Poales,Poaceae,Agrostis breviculmis,FALSE,FALSE
Equisetopsida,Rosales,Rosaceae,Polylepis rocio-rojasii,FALSE,FALSE
Equisetopsida,Fabales,Polygalaceae,Monnina conferta,TRUE,FALSE
Equisetopsida,Rosales,Rosaceae,Polylepis rodolfo-vasquezii,TRUE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Stelis antillensis,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Colibri coruscans,FALSE,FALSE
Equisetopsida,Piperales,Piperaceae,Peperomia hartwegiana,FALSE,FALSE
Aves,Pelecaniformes,Threskiornithidae,Plegadis ridgwayi,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Cinclodes albiventris,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Jarava ichu,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Leptopogon taczanowskii,TRUE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium versicolor,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Circus cinereus,FALSE,FALSE
Equisetopsida,Poales,Juncaceae,Juncus arcticus,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Stenospermation zeacarpium,FALSE,FALSE
Aves,Galliformes,Cracidae,Aburria aburri,FALSE,TRUE
Mammalia,Cetartiodactyla,Cervidae,Pudella carlae,TRUE,FALSE
Aves,Passeriformes,Tityridae,Pachyramphus validus,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Saracha punctata,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Muscisaxicola griseus,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Salpichroa glandulosa,FALSE,FALSE
