Clase,Orden,Familia,Especie
Equisetopsida,Asterales,Asteraceae,"Fulcaldea laurifolia"
Aves,Passeriformes,Tyrannidae,"Ochthoeca piurae"
Aves,Accipitriformes,Accipitridae,"Pseudastur occidentalis"
Equisetopsida,Malvales,Bixaceae,"Cochlospermum vitifolium"
Aves,Passeriformes,Fringillidae,"Spinus siemiradzkii"
Aves,Passeriformes,Tyrannidae,"Lathrotriccus griseipectus"
Mammalia,Chiroptera,Phyllostomidae,"Lonchophylla hesperia"
Aves,Psittaciformes,Psittacidae,"Brotogeris pyrrhoptera"
Mammalia,Chiroptera,Phyllostomidae,"Lophostoma occidentalis"
Equisetopsida,Sapindales,Anacardiaceae,"Loxopterygium huasango"
Equisetopsida,Brassicales,Capparaceae,"Colicodendron scabridum"
Aves,Passeriformes,Thamnophilidae,"Ampelornis griseiceps"
Aves,Columbiformes,Columbidae,"Leptotila ochraceiventris"
Mammalia,Chiroptera,Furipteridae,"Amorphochilus schnablii"
Aves,Accipitriformes,Accipitridae,"Buteogallus anthracinus"
Equisetopsida,Fabales,Fabaceae,"Neltuma pallida"
Aves,Passeriformes,Tityridae,"Pachyramphus spodiurus"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Exulomarmosa) simonsi"
Equisetopsida,Sapindales,Burseraceae,"Bursera graveolens"
Aves,Galliformes,Cracidae,"Ortalis erythroptera"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Equisetopsida,Fabales,Fabaceae,"Tara spinosa"
Aves,Passeriformes,Furnariidae,"Synallaxis tithys"
,,,
