Clase,Orden,Familia,Especie
Equisetopsida,Lamiales,Oleaceae,"Schrebera americana"
Aves,Passeriformes,Tyrannidae,"Ochthoeca piurae"
Equisetopsida,Malvales,Malvaceae,"Ayenia cordata"
Equisetopsida,Asterales,Asteraceae,"Barnadesia hutchisoniana"
Equisetopsida,Asterales,Asteraceae,"Philoglossa purpureodisca"
Equisetopsida,Caryophyllales,Cactaceae,"Neoraimondia arequipensis"
Mammalia,Rodentia,Cricetidae,"Phyllotis amicus"
Equisetopsida,Gentianales,Apocynaceae,"Prestonia cordifolia"
Equisetopsida,Santalales,Loranthaceae,"Psittacanthus tumbecensis"
Aves,Passeriformes,Tyrannidae,"Tumbezia salvini"
,,,
