Clase,Orden,Familia,Especie
Equisetopsida,Malvales,Malvaceae,"Callianthe sylvatica"
Mammalia,Didelphimorphia,Didelphidae,"Didelphis marsupialis"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
Aves,Pelecaniformes,Ardeidae,"Bubulcus ibis"
Equisetopsida,Asterales,Asteraceae,"Fulcaldea laurifolia"
Equisetopsida,Lamiales,Oleaceae,"Schrebera americana"
Aves,Nyctibiiformes,Nyctibiidae,"Nyctibius griseus"
Equisetopsida,Asterales,Asteraceae,"Acmella alba"
Aves,Apodiformes,Apodidae,"Chaetura pelagica"
Aves,Passeriformes,Furnariidae,"Lepidocolaptes souleyetii"
Equisetopsida,Rosales,Rhamnaceae,"Sarcomphalus thyrsiflorus"
Equisetopsida,Gentianales,Rubiaceae,"Alseis peruviana"
Equisetopsida,Fabales,Fabaceae,"Mimosa myriadena"
Aves,Passeriformes,Tyrannidae,"Pyrocephalus rubinus"
Aves,Strigiformes,Strigidae,"Bubo virginianus"
Aves,Cathartiformes,Cathartidae,"Coragyps atratus"
Equisetopsida,Gentianales,Apocynaceae,"Jobinia formosa"
Aves,Passeriformes,Polioptilidae,"Polioptila plumbea"
Aves,Tinamiformes,Tinamidae,"Nothoprocta pentlandii"
Aves,Accipitriformes,Accipitridae,"Accipiter bicolor"
Aves,Passeriformes,Tyrannidae,"Ochthoeca piurae"
Equisetopsida,Asterales,Asteraceae,"Porophyllum ruderale"
Aves,Cathartiformes,Cathartidae,"Sarcoramphus papa"
Equisetopsida,Fabales,Fabaceae,"Bauhinia aculeata"
Mammalia,Carnivora,Mustelidae,"Neogale africana"
Aves,Accipitriformes,Accipitridae,"Pseudastur occidentalis"
Equisetopsida,Caryophyllales,Amaranthaceae,"Iresine diffusa"
Aves,Strigiformes,Strigidae,"Athene cunicularia"
Aves,Passeriformes,Furnariidae,"Cranioleuca antisiensis"
Equisetopsida,Malvales,Malvaceae,"Ayenia cordata"
Aves,Passeriformes,Icteridae,"Icterus graceannae"
Equisetopsida,Caryophyllales,Amaranthaceae,"Alternanthera pubiflora"
Aves,Apodiformes,Trochilidae,"Myrmia micrura"
Aves,Passeriformes,Icteridae,"Icterus mesomelas"
Aves,Passeriformes,Tyrannidae,"Euscarthmus fulviceps"
Aves,Passeriformes,Passerellidae,"Rhynchospiza stolzmanni"
Aves,Passeriformes,Furnariidae,"Furnarius leucopus"
Aves,Apodiformes,Apodidae,"Chaetura brachyura"
Equisetopsida,Fabales,Fabaceae,"Galactia shumbae"
Aves,Passeriformes,Thraupidae,"Sporophila luctuosa"
Equisetopsida,Lamiales,Acanthaceae,"Elytraria imbricata"
Equisetopsida,Malvales,Malvaceae,"Malvastrun tomentosum"
Equisetopsida,Caryophyllales,Amaranthaceae,"Alternanthera porrigens"
Aves,Caprimulgiformes,Caprimulgidae,"Nyctidromus anthonyi"
Aves,Passeriformes,Passerellidae,"Atlapetes leucopterus"
Mammalia,Carnivora,Felidae,"Panthera onca"
Equisetopsida,Poales,Cyperaceae,"Cyperus odoratus"
Aves,Passeriformes,Fringillidae,"Euphonia laniirostris"
Equisetopsida,Poales,Poaceae,"Anthephora hermaphrodita"
Aves,Falconiformes,Falconidae,"Falco femoralis"
Aves,Passeriformes,Thraupidae,"Sicalis taczanowskii"
Equisetopsida,Asterales,Asteraceae,"Pseudogynoxys chenopodioides"
Aves,Falconiformes,Falconidae,"Falco peregrinus"
Equisetopsida,Caryophyllales,Cactaceae,"Browningia microsperma"
Equisetopsida,Caryophyllales,Basellaceae,"Anredera ramosa"
Aves,Falconiformes,Falconidae,"Falco rufigularis"
Aves,Cuculiformes,Cuculidae,"Coccyzus erythropthalmus"
Aves,Cathartiformes,Cathartidae,"Cathartes aura"
Equisetopsida,Fabales,Fabaceae,"Leucaena trichodes"
Mammalia,Carnivora,Procyonidae,"Procyon cancrivorus"
Aves,Cuculiformes,Cuculidae,"Coccyzus lansbergi"
Equisetopsida,Caryophyllales,Cactaceae,"Armatocereus cartwrightianus"
Equisetopsida,Caryophyllales,Polygonaceae,"Coccoloba ruiziana"
