Clase,Orden,Familia,Especie
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana globiflora"
Equisetopsida,Malpighiales,Violaceae,"Viola membranacea"
Equisetopsida,Ranunculales,Berberidaceae,"Berberis beauverdiana"
Equisetopsida,Asparagales,Iridaceae,"Ennealophus foliosus"
Equisetopsida,Asterales,Asteraceae,"Monactis flaverioides"
Equisetopsida,Asparagales,Iridaceae,"Hesperoxiphion niveum"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria pumila"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria pinnata subsp. delicatula"
Equisetopsida,Solanales,Solanaceae,"Solanum hypacrarthrum"
Equisetopsida,Caryophyllales,Polygonaceae,"Coccoloba gracilis"
Equisetopsida,Poales,Poaceae,"Festuca glyceriantha"
Equisetopsida,Poales,Poaceae,"Festuca horridula"
Equisetopsida,Poales,Poaceae,"Festuca huamachucensis"
Equisetopsida,Lamiales,Acanthaceae,"Justicia alpina"
Equisetopsida,Asterales,Asteraceae,"Jungia vitocensis"
Equisetopsida,Asterales,Asteraceae,"Jungia stuebelii"
Equisetopsida,Asterales,Asteraceae,"Senecio radiatus"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Paronychia fusciflora"
Equisetopsida,Asterales,Asteraceae,"Senecio collinus"
Equisetopsida,Asterales,Asteraceae,"Philoglossa purpureodisca"
Equisetopsida,Asterales,Asteraceae,"Philoglossa peruviana"
Equisetopsida,Fabales,Polygalaceae,"Monnina sanmarcosana"
Equisetopsida,Asterales,Asteraceae,"Pappobolus lodicatus"
Equisetopsida,Malvales,Malvaceae,"Ayenia lopez-mirandae"
Equisetopsida,Gentianales,Gentianaceae,"Gentianella oreosilene"
Equisetopsida,Geraniales,Geraniaceae,"Geranium ayacuchense"
,,,
