Clase,Orden,Familia,Especie
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana globiflora"
Equisetopsida,Commelinales,Commelinaceae,"Tinantia erecta"
Equisetopsida,Solanales,Solanaceae,"Trozelia grandiflora"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana warburgii"
Equisetopsida,Malpighiales,Violaceae,"Viola membranacea"
Mammalia,Cetartiodactyla,Camelidae,"Vicugna vicugna"
Equisetopsida,Fabales,Fabaceae,"Vicia andicola"
Equisetopsida,Buxales,Buxaceae,"Styloceras laurifolium"
Equisetopsida,Gentianales,Rubiaceae,"Galium hypocarpium"
Equisetopsida,Caryophyllales,Polygonaceae,"Monnina ligustrina"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
Equisetopsida,Caryophyllales,Polygonaceae,"Monnina herbacea"
Equisetopsida,Cucurbitales,Begoniaceae,"Begonia geraniifolia"
Equisetopsida,Asterales,Asteraceae,"Achyrocline alata"
Equisetopsida,Cucurbitales,Begoniaceae,"Begonia pleiopetala"
Equisetopsida,Cucurbitales,Begoniaceae,"Begonia weberbaueri"
Equisetopsida,Polytrichales,Polytrichaceae,"Polytrichum juniperinum"
Equisetopsida,Gentianales,Rubiaceae,"Manettia weberbaueri"
Equisetopsida,Ranunculales,Berberidaceae,"Berberis beauverdiana"
Equisetopsida,Gentianales,Rubiaceae,"Manettia peruviana"
Equisetopsida,Lamiales,Orobanchaceae,"Castilleja vadosa"
Equisetopsida,Saxifragales,Saxifragaceae,"Saxifraga magellanica"
Equisetopsida,Asparagales,Iridaceae,"Ennealophus foliosus"
Equisetopsida,Ranunculales,Ranunculaceae,"Ranunculus peruvianus"
Equisetopsida,Ranunculales,Ranunculaceae,"Ranunculus praemorsus"
Equisetopsida,Grimmiales,Grimmiaceae,"Grimmia longirostris"
Equisetopsida,Poales,Cyperaceae,"Carex crinalis"
Equisetopsida,Liliales,Alstroemeriaceae,"Bomarea lopezii"
Equisetopsida,Polypodiales,Polypodiaceae,"Pleopeltis thyssanolepis"
Equisetopsida,Lamiales,Lamiaceae,"Salvia lanicaulis"
Equisetopsida,Asterales,Asteraceae,"Monactis flaverioides"
Equisetopsida,Polypodiales,Polypodiaceae,"Campyloneurum amphostenon"
Equisetopsida,Polypodiales,Polypodiaceae,"Campyloneurum albopunctatissimum"
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis peduncularis"
Equisetopsida,Gentianales,Gentianaceae,"Halenia caespitosa"
Equisetopsida,Fabales,Fabaceae,"Otholobium munyense"
Equisetopsida,Poales,Cyperaceae,"Rhynchospora macrochaeta"
Equisetopsida,Myrtales,Onagraceae,"Oenothera versicolor"
