Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana globiflora,TRUE,FALSE
Equisetopsida,Commelinales,Commelinaceae,Tinantia erecta,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Trozelia grandiflora,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana warburgii,FALSE,FALSE
Equisetopsida,Malpighiales,Violaceae,Viola membranacea,TRUE,FALSE
Mammalia,Cetartiodactyla,Camelidae,Vicugna vicugna,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Vicia andicola,FALSE,FALSE
Equisetopsida,Buxales,Buxaceae,Styloceras laurifolium,FALSE,TRUE
Equisetopsida,Gentianales,Rubiaceae,Galium hypocarpium,FALSE,FALSE
Equisetopsida,Caryophyllales,Polygonaceae,Monnina ligustrina,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Geranoaetus polyosoma,FALSE,FALSE
Equisetopsida,Caryophyllales,Polygonaceae,Monnina herbacea,FALSE,FALSE
Equisetopsida,Cucurbitales,Begoniaceae,Begonia geraniifolia,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Achyrocline alata,FALSE,FALSE
Equisetopsida,Cucurbitales,Begoniaceae,Begonia pleiopetala,FALSE,FALSE
Equisetopsida,Cucurbitales,Begoniaceae,Begonia weberbaueri,FALSE,FALSE
Equisetopsida,Polytrichales,Polytrichaceae,Polytrichum juniperinum,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Manettia weberbaueri,FALSE,FALSE
Equisetopsida,Ranunculales,Berberidaceae,Berberis beauverdiana,TRUE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Manettia peruviana,FALSE,FALSE
Equisetopsida,Lamiales,Orobanchaceae,Castilleja vadosa,FALSE,FALSE
Equisetopsida,Saxifragales,Saxifragaceae,Saxifraga magellanica,FALSE,FALSE
Equisetopsida,Asparagales,Iridaceae,Ennealophus foliosus,TRUE,FALSE
Equisetopsida,Ranunculales,Ranunculaceae,Ranunculus peruvianus,FALSE,FALSE
Equisetopsida,Ranunculales,Ranunculaceae,Ranunculus praemorsus,FALSE,FALSE
Equisetopsida,Grimmiales,Grimmiaceae,Grimmia longirostris,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Carex crinalis,FALSE,FALSE
Equisetopsida,Liliales,Alstroemeriaceae,Bomarea lopezii,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Pleopeltis thyssanolepis,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Salvia lanicaulis,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Monactis flaverioides,TRUE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Campyloneurum amphostenon,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Campyloneurum albopunctatissimum,FALSE,FALSE
Equisetopsida,Oxalidales,Oxalidaceae,Oxalis peduncularis,FALSE,FALSE
Equisetopsida,Gentianales,Gentianaceae,Halenia caespitosa,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Otholobium munyense,FALSE,TRUE
Equisetopsida,Poales,Cyperaceae,Rhynchospora macrochaeta,FALSE,FALSE
Equisetopsida,Myrtales,Onagraceae,Oenothera versicolor,FALSE,FALSE
Equisetopsida,Asparagales,Iridaceae,Hesperoxiphion niveum,TRUE,TRUE
Equisetopsida,Lamiales,Calceolariaceae,Calceolaria pumila,TRUE,FALSE
Equisetopsida,Rosales,Rosaceae,Hesperomeles ferruginea,FALSE,FALSE
Equisetopsida,Lamiales,Calceolariaceae,Calceolaria pinnata subsp. delicatula,TRUE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum sanchez-vegae,FALSE,FALSE
Equisetopsida,Poales,Juncaceae,Luzula racemosa,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum interandinum,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum hypacrarthrum,TRUE,TRUE
Equisetopsida,Solanales,Solanaceae,Solanum furcatum,FALSE,FALSE
