Clase,Orden,Familia,Especie
Actinopterygii,Characiformes,Characidae,"Moenkhausia oligolepis"
Actinopterygii,Characiformes,Bryconidae,"Brycon melanopterus"
Amphibia,Anura,Craugastoridae,"Pristimantis peruvianus"
Mammalia,Chiroptera,Vespertilionidae,"Myotis riparius"
Amphibia,Anura,Hylidae,"Dendropsophus marmoratus"
Reptilia,Serpentes,Viperidae,"Bothrops atrox"
Amphibia,Anura,Phyllomedusidae,"Phyllomedusa vaillantii"
Amphibia,Gymnophiona,Caeciliidae,"Caecilia tentaculata"
Reptilia,Serpentes,Dipsadidae,"Helicops angulatus"
Mammalia,Chiroptera,Emballonuridae,"Saccopteryx leptura"
Equisetopsida,Malpighiales,Salicaceae,"Casearia fasciculata"
Reptilia,Serpentes,Dipsadidae,"Helicops polylepis"
Reptilia,Crocodylia,Alligatoridae,"Caiman crocodilus"
Aves,Passeriformes,Thraupidae,"Ramphocelus nigrogularis"
Actinopterygii,Siluriformes,Loricariidae,"Planiloricaria cryptodon"
Actinopterygii,Siluriformes,Doradidae,"Pterodoras granulosus"
Aves,Passeriformes,Thamnophilidae,"Cymbilaimus lineatus"
Aves,Piciformes,Picidae,"Campephilus melanoleucos"
Mammalia,Didelphimorphia,Didelphidae,"Gracilinanus peruanus"
Aves,Passeriformes,Thamnophilidae,"Oneillornis salvini"
Mammalia,Rodentia,Cricetidae,"Oecomys superans"
Aves,Passeriformes,Thraupidae,"Ramphocelus carbo"
Mammalia,Chiroptera,Phyllostomidae,"Anoura caudifer"
Actinopterygii,Siluriformes,Pimelodidae,"Goslinia platynema"
Aves,Anseriformes,Anatidae,"Cairina moschata"
Mammalia,Primates,Cebidae,"Saimiri sciureus"
Aves,Gruiformes,Heliornithidae,"Heliornis fulica"
Amphibia,Anura,Microhylidae,"Ctenophryne geayi"
Aves,Apodiformes,Trochilidae,"Heliodoxa aurescens"
Aves,Psittaciformes,Psittacidae,"Brotogeris sanctithomae"
Aves,Strigiformes,Strigidae,"Megascops watsonii"
Actinopterygii,Characiformes,Acestrorhynchidae,"Acestrorhynchus altus"
Aves,Apodiformes,Trochilidae,"Heliomaster longirostris"
Mammalia,Primates,Pitheciidae,"Callicebus toppini"
Mammalia,Carnivora,Mustelidae,"Galictis vittata"
Amphibia,Anura,Craugastoridae,"Pristimantis platydactylus"
Amphibia,Anura,Leptodactylidae,"Edalorhina perezi"
Equisetopsida,Liliales,Alstroemeriaceae,"Bomarea dulcis"
Aves,Galbuliformes,Bucconidae,"Bucco macrodactylus"
Actinopterygii,Characiformes,Characidae,"Ctenobrycon hauxwellianus"
Mammalia,Rodentia,Erethizontidae,"Coendou bicolor"
Amphibia,Anura,Craugastoridae,"Pristimantis reichlei"
Actinopterygii,Siluriformes,Pimelodidae,"Phractocephalus hemioliopterus"
Reptilia,Sauria,Sphaerodactylidae,"Gonatodes humeralis"
Mammalia,Chiroptera,Phyllostomidae,"Anoura geoffroyi"
Equisetopsida,Asterales,Asteraceae,"Mikania dioscoreoides"
Aves,Passeriformes,Tyrannidae,"Ochthornis littoralis"
Actinopterygii,Siluriformes,Heptapteridae,"Pimelodella hasemani"
Mammalia,Primates,Atelidae,"Ateles belzebuth"
Aves,Tinamiformes,Tinamidae,"Crypturellus variegatus"
Reptilia,Sauria,Sphaerodactylidae,"Gonatodes hasemani"
Aves,Passeriformes,Troglodytidae,"Campylorhynchus turdinus"
Aves,Passeriformes,Formicariidae,"Chamaeza campanisona"
Aves,Pelecaniformes,Ardeidae,"Egretta thula"
Aves,Apodiformes,Trochilidae,"Discosura langsdorffi"
Mammalia,Rodentia,Sciuridae,"Hadrosciurus spadiceus"
Mammalia,Chiroptera,Vespertilionidae,"Myotis simus"
Actinopterygii,Siluriformes,Cetopsidae,"Cetopsis candiru"
Aves,Piciformes,Ramphastidae,"Ramphastos vitellinus"
Amphibia,Anura,Craugastoridae,"Pristimantis skydmainos"
Actinopterygii,Characiformes,Curimatidae,"Steindachnerina dobula"
Aves,Tinamiformes,Tinamidae,"Crypturellus undulatus"
Amphibia,Anura,Craugastoridae,"Pristimantis toftae"
Mammalia,Chiroptera,Phyllostomidae,"Hsunycteris thomasi"
Actinopterygii,Gymnotiformes,Sternopygidae,"Eigenmannia virescens"
Mammalia,Chiroptera,Emballonuridae,"Saccopteryx bilineata"
Mammalia,Chiroptera,Phyllostomidae,"Mesophylla macconnelli"
Mammalia,Carnivora,Mustelidae,"Eira barbara"
Equisetopsida,Zingiberales,Marantaceae,"Goeppertia mishuyacu"
Aves,Galliformes,Odontophoridae,"Odontophorus gujanensis"
Actinopterygii,Characiformes,Characidae,"Galeocharax gulo"
Aves,Falconiformes,Falconidae,"Micrastur gilvicollis"
Aves,Piciformes,Picidae,"Dryobates affinis"
Reptilia,Sauria,Tropiduridae,"Plica umbra"
Mammalia,Primates,Pitheciidae,"Callicebus (Plecturocebus) cupreus"
Actinopterygii,Characiformes,Erythrinidae,"Erythrinus erythrinus"
Actinopterygii,Siluriformes,Loricariidae,"Pterygoplichthys pardalis"
Aves,Cathartiformes,Cathartidae,"Sarcoramphus papa"
Aves,Piciformes,Ramphastidae,"Ramphastos tucanus"
Amphibia,Anura,Microhylidae,"Elachistocleis bicolor"
Equisetopsida,Zingiberales,Marantaceae,"Goeppertia chrysoleuca"
Reptilia,Serpentes,Dipsadidae,"Erythrolamprus aesculapii"
Amphibia,Anura,Phyllomedusidae,"Pithecopus palliatus"
Actinopterygii,Siluriformes,Pimelodidae,"Pimelodina flavipinnis"
Aves,Tinamiformes,Tinamidae,"Crypturellus soui"
Aves,Passeriformes,Thraupidae,"Saltator coerulescens"
Actinopterygii,Characiformes,Crenuchidae,"Melanocharacidium rex"
Aves,Passeriformes,Tyrannidae,"Attila bolivianus"
Aves,Falconiformes,Falconidae,"Micrastur ruficollis"
Equisetopsida,Zingiberales,Marantaceae,"Goeppertia altissima"
Reptilia,Serpentes,Dipsadidae,"Erythrolamprus dorsocorallinus"
Aves,Falconiformes,Falconidae,"Daptrius ater"
Amphibia,Anura,Leptodactylidae,"Lithodytes lineatus"
Aves,Tinamiformes,Tinamidae,"Crypturellus obsoletus"
Aves,Falconiformes,Falconidae,"Micrastur semitorquatus"
Reptilia,Serpentes,Dipsadidae,"Erythrolamprus pygmaeus"
Aves,Tinamiformes,Tinamidae,"Crypturellus cinereus"
Actinopterygii,Characiformes,Curimatidae,"Steindachnerina hypostoma"
Reptilia,Serpentes,Dipsadidae,"Erythrolamprus reginae"
Aves,Passeriformes,Thamnophilidae,"Rhegmatorhina melanosticta"
Mammalia,Rodentia,Sciuridae,"Microsciurus flaviventer"
Actinopterygii,Cichliformes,Cichlidae,"Satanoperca jurupari"
Aves,Passeriformes,Troglodytidae,"Microcerculus marginatus"
Actinopterygii,Siluriformes,Pimelodidae,"Hypophthalmus edentatus"
Aves,Tinamiformes,Tinamidae,"Crypturellus bartletti"
Aves,Passeriformes,Tyrannidae,"Pitangus sulphuratus"
Aves,Apodiformes,Trochilidae,"Anthracothorax nigricollis"
Aves,Columbiformes,Columbidae,"Claravis pretiosa"
Aves,Passeriformes,Furnariidae,"Glyphorynchus spirurus"
Aves,Tinamiformes,Tinamidae,"Crypturellus atrocapillus"
Aves,Passeriformes,Thamnophilidae,"Phlegopsis nigromaculata"
Actinopterygii,Siluriformes,Loricariidae,"Otocinclus huaorani"
Aves,Passeriformes,Cotingidae,"Lipaugus vociferans"
Actinopterygii,Characiformes,Cynodontidae,"Rhaphiodon vulpinus"
Actinopterygii,Siluriformes,Heptapteridae,"Rhamdia quelen"
Aves,Passeriformes,Tyrannidae,"Megarynchus pitangua"
Aves,Passeriformes,Thamnophilidae,"Microrhopias quixensis"
Aves,Passeriformes,Tyrannidae,"Elaenia spectabilis"
Aves,Passeriformes,Cotingidae,"Gymnoderus foetidus"
Actinopterygii,Siluriformes,Loricariidae,"Hypostomus ericius"
Actinopterygii,Cichliformes,Cichlidae,"Bujurquina apoparuana"
Aves,Accipitriformes,Accipitridae,"Elanoides forficatus"
Amphibia,Anura,Hylidae,"Hypsiboas boans"
Aves,Passeriformes,Hirundinidae,"Hirundo rustica"
Actinopterygii,Siluriformes,Pimelodidae,"Pimelodus blochii"
Aves,Passeriformes,Thamnophilidae,"Hafferia fortis"
Aves,Galbuliformes,Galbulidae,"Galbula cyanescens"
Mammalia,Chiroptera,Phyllostomidae,"Glossophaga soricina"
Aves,Passeriformes,Troglodytidae,"Cantorchilus leucotis"
Amphibia,Anura,Hylidae,"Hypsiboas cinerascens"
Aves,Cathartiformes,Cathartidae,"Cathartes melambrotus"
Amphibia,Anura,Hylidae,"Hypsiboas fasciatus"
Mammalia,Didelphimorphia,Didelphidae,"Glironia venusta"
Amphibia,Anura,Hylidae,"Hypsiboas geographicus"
Aves,Cuculiformes,Cuculidae,"Crotophaga major"
Aves,Cuculiformes,Cuculidae,"Crotophaga ani"
Mammalia,Rodentia,Cricetidae,"Oligoryzomys microtis"
Aves,Pelecaniformes,Ardeidae,"Cochlearius cochlearius"
Aves,Apodiformes,Trochilidae,"Glaucis hirsutus"
Mammalia,Chiroptera,Phyllostomidae,"Micronycteris megalotis"
Actinopterygii,Characiformes,Characidae,"Astyanax maximus"
Aves,Passeriformes,Furnariidae,"Dendrocolaptes certhia"
Amphibia,Anura,Hylidae,"Hypsiboas tetete"
Aves,Passeriformes,Hirundinidae,"Stelgidopteryx ruficollis"
Actinopterygii,Characiformes,Prochilodontidae,"Prochilodus nigricans"
Actinopterygii,Characiformes,Characidae,"Odontostilbe fugitiva"
Aves,Passeriformes,Hirundinidae,"Atticora fasciata"
Equisetopsida,Poales,Cyperaceae,"Calyptrocarya glomerulata"
Aves,Falconiformes,Falconidae,"Ibycter americanus"
Aves,Passeriformes,Tyrannidae,"Pitangus lictor"
Aves,Cuculiformes,Cuculidae,"Coccyzus melacoryphus"
Reptilia,Testudines,Podocnemididae,"Podocnemis unifilis"
Mammalia,Carnivora,Mustelidae,"Pteronura brasiliensis"
Mammalia,Didelphimorphia,Didelphidae,"Marmosops (Sciophanes) bishopi"
Actinopterygii,Characiformes,Characidae,"Astyanax fasciatus"
Aves,Strigiformes,Strigidae,"Glaucidium hardyi"
Aves,Passeriformes,Thraupidae,"Ixothraupis xanthogastra"
Mammalia,Didelphimorphia,Didelphidae,"Marmosops (Marmosops) noctivagus"
