Clase,Orden,Familia,Especie,endemica,amenazada
Actinopterygii,Characiformes,Characidae,Moenkhausia oligolepis,FALSE,FALSE
Actinopterygii,Characiformes,Bryconidae,Brycon melanopterus,FALSE,FALSE
Amphibia,Anura,Craugastoridae,Pristimantis peruvianus,FALSE,FALSE
Mammalia,Chiroptera,Vespertilionidae,Myotis riparius,FALSE,FALSE
Amphibia,Anura,Hylidae,Dendropsophus marmoratus,FALSE,FALSE
Reptilia,Serpentes,Viperidae,Bothrops atrox,FALSE,FALSE
Amphibia,Anura,Phyllomedusidae,Phyllomedusa vaillantii,FALSE,FALSE
Amphibia,Gymnophiona,Caeciliidae,Caecilia tentaculata,FALSE,FALSE
Reptilia,Serpentes,Dipsadidae,Helicops angulatus,FALSE,FALSE
Mammalia,Chiroptera,Emballonuridae,Saccopteryx leptura,FALSE,FALSE
Equisetopsida,Malpighiales,Salicaceae,Casearia fasciculata,FALSE,FALSE
Reptilia,Serpentes,Dipsadidae,Helicops polylepis,FALSE,FALSE
Reptilia,Crocodylia,Alligatoridae,Caiman crocodilus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Ramphocelus nigrogularis,FALSE,FALSE
Actinopterygii,Siluriformes,Loricariidae,Planiloricaria cryptodon,FALSE,FALSE
Actinopterygii,Siluriformes,Doradidae,Pterodoras granulosus,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Cymbilaimus lineatus,FALSE,FALSE
Aves,Piciformes,Picidae,Campephilus melanoleucos,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Gracilinanus peruanus,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Oneillornis salvini,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Oecomys superans,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Ramphocelus carbo,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Anoura caudifer,FALSE,FALSE
Actinopterygii,Siluriformes,Pimelodidae,Goslinia platynema,FALSE,FALSE
Aves,Anseriformes,Anatidae,Cairina moschata,FALSE,FALSE
Mammalia,Primates,Cebidae,Saimiri sciureus,FALSE,FALSE
Aves,Gruiformes,Heliornithidae,Heliornis fulica,FALSE,FALSE
Amphibia,Anura,Microhylidae,Ctenophryne geayi,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Heliodoxa aurescens,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Brotogeris sanctithomae,FALSE,FALSE
Aves,Strigiformes,Strigidae,Megascops watsonii,FALSE,FALSE
Actinopterygii,Characiformes,Acestrorhynchidae,Acestrorhynchus altus,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Heliomaster longirostris,FALSE,FALSE
Mammalia,Primates,Pitheciidae,Callicebus toppini,FALSE,FALSE
Mammalia,Carnivora,Mustelidae,Galictis vittata,FALSE,FALSE
Amphibia,Anura,Craugastoridae,Pristimantis platydactylus,FALSE,FALSE
Amphibia,Anura,Leptodactylidae,Edalorhina perezi,FALSE,FALSE
Equisetopsida,Liliales,Alstroemeriaceae,Bomarea dulcis,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Bucco macrodactylus,FALSE,FALSE
Actinopterygii,Characiformes,Characidae,Ctenobrycon hauxwellianus,FALSE,FALSE
Mammalia,Rodentia,Erethizontidae,Coendou bicolor,FALSE,FALSE
Amphibia,Anura,Craugastoridae,Pristimantis reichlei,FALSE,FALSE
Actinopterygii,Siluriformes,Pimelodidae,Phractocephalus hemioliopterus,FALSE,FALSE
Reptilia,Sauria,Sphaerodactylidae,Gonatodes humeralis,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Anoura geoffroyi,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Mikania dioscoreoides,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Ochthornis littoralis,FALSE,FALSE
Actinopterygii,Siluriformes,Heptapteridae,Pimelodella hasemani,FALSE,FALSE
Mammalia,Primates,Atelidae,Ateles belzebuth,FALSE,TRUE
Aves,Tinamiformes,Tinamidae,Crypturellus variegatus,FALSE,FALSE
Reptilia,Sauria,Sphaerodactylidae,Gonatodes hasemani,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Campylorhynchus turdinus,FALSE,FALSE
Aves,Passeriformes,Formicariidae,Chamaeza campanisona,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Egretta thula,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Discosura langsdorffi,FALSE,FALSE
Mammalia,Rodentia,Sciuridae,Hadrosciurus spadiceus,FALSE,FALSE
Mammalia,Chiroptera,Vespertilionidae,Myotis simus,FALSE,FALSE
Actinopterygii,Siluriformes,Cetopsidae,Cetopsis candiru,FALSE,FALSE
Aves,Piciformes,Ramphastidae,Ramphastos vitellinus,FALSE,FALSE
Amphibia,Anura,Craugastoridae,Pristimantis skydmainos,FALSE,FALSE
Actinopterygii,Characiformes,Curimatidae,Steindachnerina dobula,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Crypturellus undulatus,FALSE,FALSE
Amphibia,Anura,Craugastoridae,Pristimantis toftae,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Hsunycteris thomasi,FALSE,FALSE
