Clase,Orden,Familia,Especie
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Mammalia,Chiroptera,Phyllostomidae,"Vampyressa melissa"
Aves,Tinamiformes,Tinamidae,"Tinamus osgoodi"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Aves,Passeriformes,Furnariidae,"Anabacerthia striaticollis"
Aves,Psittaciformes,Psittacidae,"Ara militaris"
Mammalia,Primates,Atelidae,"Ateles chamek"
Mammalia,Carnivora,Canidae,"Atelocynus microtis"
Mammalia,Cetartiodactyla,Cervidae,"Blastocerus dichotomus"
Mammalia,Rodentia,Cricetidae,"Rhipidomys ochrogaster"
Equisetopsida,Rosales,Cannabaceae,"Celtis iguanaea"
Mammalia,Carnivora,Mustelidae,"Pteronura brasiliensis"
Equisetopsida,Asparagales,Orchidaceae,"Chaubardia klugii"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Aves,Psittaciformes,Psittacidae,"Primolius couloni"
Aves,Passeriformes,Thraupidae,"Coryphaspiza melanotis"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Aves,Galliformes,Cracidae,"Pauxi koepckeae"
Mammalia,Rodentia,Cricetidae,"Oxymycterus juliacae"
Equisetopsida,Lamiales,Bignoniaceae,"Handroanthus serratifolius"
Aves,Accipitriformes,Accipitridae,"Harpia harpyja"
Aves,Anseriformes,Anatidae,"Oressochen jubatus"
Aves,Passeriformes,Onychorhynchidae,"Onychorhynchus coronatus"
Mammalia,Primates,Atelidae,"Lagothrix lagothricha"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Equisetopsida,Myrtales,Myrtaceae,"Myrcia splendens"
Equisetopsida,Ericales,Sapotaceae,"Manilkara bidentata"
Aves,Accipitriformes,Accipitridae,"Morphnus guianensis"
,,,
