Clase,Orden,Familia,Especie
Equisetopsida,Lamiales,Acanthaceae,"Suessenguthia vargasii"
Equisetopsida,Sapindales,Sapindaceae,"Allophylus densiflorus"
Equisetopsida,Solanales,Solanaceae,"Solanum amnicola"
Equisetopsida,Ericales,Primulaceae,"Ardisia nigrovirens"
Mammalia,Rodentia,Cricetidae,"Rhipidomys ochrogaster"
Equisetopsida,Rosales,Rosaceae,"Prunus detrita"
Equisetopsida,Piperales,Piperaceae,"Piper schunkeanum"
Equisetopsida,Piperales,Piperaceae,"Piper adreptum"
Aves,Apodiformes,Trochilidae,"Phlogophilus harterti"
Aves,Galliformes,Cracidae,"Pauxi koepckeae"
Equisetopsida,Gentianales,Rubiaceae,"Faramea vasquezii"
Equisetopsida,Magnoliales,Annonaceae,"Guatteria scalarinervia"
Equisetopsida,Asparagales,Orchidaceae,"Ornithocephalus caveroi"
Aves,Apodiformes,Trochilidae,"Heliodoxa branickii"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Marmosa) macrotarsus"
,,,
