Clase,Orden,Familia,Especie
Equisetopsida,Lamiales,Bignoniaceae,"Tynanthus schumannianus"
Equisetopsida,Lamiales,Lentibulariaceae,"Utricularia subulata"
Equisetopsida,Fabales,Fabaceae,"Vachellia aroma"
Aves,Passeriformes,Furnariidae,"Synallaxis albigularis"
Actinopterygii,Characiformes,Gasteropelecidae,"Thoracocharax stellatus"
Equisetopsida,Magnoliales,Myristicaceae,"Virola multinervia"
Equisetopsida,Magnoliales,Myristicaceae,"Virola flexuosa"
Aves,Passeriformes,Hirundinidae,"Tachycineta leucorrhoa"
Equisetopsida,Malpighiales,Hypericaceae,"Vismia gracilis"
Equisetopsida,Dilleniales,Dilleniaceae,"Tetracera parviflora"
Equisetopsida,Magnoliales,Myristicaceae,"Virola elongata"
Aves,Passeriformes,Thraupidae,"Stilpnia nigrocincta"
Aves,Passeriformes,Onychorhynchidae,"Terenotriccus erythrurus"
Aves,Apodiformes,Trochilidae,"Threnetes leucurus"
Aves,Passeriformes,Pipridae,"Tyranneutes stolzmanni"
Equisetopsida,Poales,Poaceae,"Streptogyna americana"
Aves,Passeriformes,Tyrannidae,"Tyrannopsis sulphurea"
Aves,Trogoniformes,Trogonidae,"Trogon melanurus"
Equisetopsida,Sapindales,Rutaceae,"Zanthoxylum acuminatum"
Aves,Passeriformes,Tyrannidae,"Tyrannulus elatus"
Mammalia,Chiroptera,Phyllostomidae,"Trachops cirrhosus"
Equisetopsida,Poales,Eriocaulaceae,"Syngonanthus caulescens"
Equisetopsida,Magnoliales,Myristicaceae,"Virola calophylla"
Equisetopsida,Pandanales,Cyclanthaceae,"Thoracocarpus bissectus"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus caudatus"
Mammalia,Perissodactyla,Tapiridae,"Tapirus terrestris"
Equisetopsida,Gentianales,Rubiaceae,"Warszewiczia coccinea"
Aves,Passeriformes,Tyrannidae,"Tyrannus albogularis"
Equisetopsida,Dilleniales,Dilleniaceae,"Tetracera volubilis"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Equisetopsida,Lamiales,Bignoniaceae,"Tabebuia insignis"
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
Equisetopsida,Rosales,Cannabaceae,"Trema micranthum"
Equisetopsida,Polypodiales,Tectariaceae,"Tectaria incisa"
Equisetopsida,Malpighiales,Dichapetalaceae,"Tapura peruviana"
Equisetopsida,Sapindales,Sapindaceae,"Talisia hexaphylla"
Equisetopsida,Magnoliales,Annonaceae,"Xylopia calophylla"
Aves,Passeriformes,Vireonidae,"Vireo olivaceus"
Equisetopsida,Malpighiales,Malpighiaceae,"Tetrapterys crispa"
Equisetopsida,Gentianales,Loganiaceae,"Strychnos mitscherlichii"
Aves,Passeriformes,Thraupidae,"Tangara chilensis"
Equisetopsida,Sapindales,Meliaceae,"Trichilia solitudinis"
Equisetopsida,Arecales,Arecaceae,"Wettinia augusta"
Equisetopsida,Fabales,Fabaceae,"Zygia coccinea var. Macrophylla"
Equisetopsida,Malpighiales,Clusiaceae,"Tovomita stylosa"
Equisetopsida,Malvales,Malvaceae,"Theobroma subincanum"
Mammalia,Chiroptera,Phyllostomidae,"Vampyrum spectrum"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus doliatus"
Aves,Passeriformes,Thraupidae,"Tangara schrankii"
Equisetopsida,Malpighiales,Hypericaceae,"Vismia cayennensis"
Equisetopsida,Lamiales,Acanthaceae,"Suessenguthia vargasii"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Trichomanes elegans"
Equisetopsida,Lamiales,Bignoniaceae,"Tanaecium tetragonolobum"
Aves,Passeriformes,Hirundinidae,"Tachycineta albiventer"
Equisetopsida,Poales,Poaceae,"Taquara micrantha"
Aves,Passeriformes,Tyrannidae,"Tyrannus tyrannus"
Mammalia,Chiroptera,Phyllostomidae,"Vampyriscus bidens"
Equisetopsida,Lamiales,Acanthaceae,"Trichosanchezia chrysothrix"
Equisetopsida,Alismatales,Araceae,"Syngonium podophyllum"
Aves,Tinamiformes,Tinamidae,"Tinamus tao"
Insecta,Lepidoptera,Riodinidae,"Thisbe molela"
Equisetopsida,Gentianales,Rubiaceae,"Uncaria guianensis"
Equisetopsida,Gentianales,Loganiaceae,"Strychnos gubleri"
Aves,Passeriformes,Thamnophilidae,"Thamnomanes ardesiacus"
Aves,Apodiformes,Trochilidae,"Thalurania furcata"
Aves,Passeriformes,Thraupidae,"Tersina viridis"
Equisetopsida,Malvales,Malvaceae,"Theobroma speciosum"
Equisetopsida,Myrtales,Combretaceae,"Terminalia amazonia"
Equisetopsida,Fabales,Fabaceae,"Tachigali bracteosa"
Aves,Charadriiformes,Scolopacidae,"Tringa solitaria"
Aves,Passeriformes,Turdidae,"Turdus amaurochalinus"
Equisetopsida,Gentianales,Rubiaceae,"Tournefortiopsis crispiflora"
Aves,Passeriformes,Thraupidae,"Tangara gyrola"
Equisetopsida,Malvales,Malvaceae,"Theobroma cacao"
Equisetopsida,Fabales,Fabaceae,"Zygia unifoliolata"
Equisetopsida,Sapindales,Sapindaceae,"Talisia cerasina"
Equisetopsida,Fabales,Fabaceae,"Swartzia myrtifolia"
Equisetopsida,Fabales,Fabaceae,"Tachigali paniculata"
Equisetopsida,Malvales,Malvaceae,"Theobroma grandiflorum"
Aves,Apodiformes,Apodidae,"Tachornis squamata"
Aves,Passeriformes,Tyrannidae,"Todirostrum chrysocrotaphum"
Equisetopsida,Magnoliales,Myristicaceae,"Virola pavonis"
Mammalia,Chiroptera,Phyllostomidae,"Uroderma bilobatum"
Aves,Charadriiformes,Charadriidae,"Vanellus cayanus"
Equisetopsida,Gentianales,Loganiaceae,"Strychnos tarapotensis"
Equisetopsida,Sapindales,Anacardiaceae,"Tapirira guianensis"
Equisetopsida,Malpighiales,Clusiaceae,"Symphonia globulifera"
Aves,Tinamiformes,Tinamidae,"Tinamus guttatus"
Aves,Passeriformes,Furnariidae,"Xenops minutus"
Aves,Columbiformes,Columbidae,"Zentrygon frenata"
Mammalia,Chiroptera,Phyllostomidae,"Trinycteris nicefori"
Equisetopsida,Gentianales,Loganiaceae,"Strychnos asperula"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Equisetopsida,Lamiales,Bignoniaceae,"Xylophragma platyphyllum"
Equisetopsida,Sapindales,Meliaceae,"Trichilia rubra"
Aves,Passeriformes,Thamnophilidae,"Taraba major"
Equisetopsida,Myrtales,Melastomataceae,"Triolena amazonica"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia sorbifolia"
Equisetopsida,Malpighiales,Clusiaceae,"Tovomitopsis membranacea"
Mammalia,Pilosa,Myrmecophagidae,"Tamandua tetradactyla"
Equisetopsida,Gentianales,Rubiaceae,"Uncaria tomentosa"
Equisetopsida,Malpighiales,Malpighiaceae,"Tetrapterys stipulacea"
Actinopterygii,Siluriformes,Loricariidae,"Sturisoma nigrirostrum"
Aves,Trogoniformes,Trogonidae,"Trogon ramonianus"
Aves,Passeriformes,Pipridae,"Xenopipo atronitens"
Equisetopsida,Lamiales,Lentibulariaceae,"Utricularia hispida"
Equisetopsida,Sapindales,Meliaceae,"Trichilia micrantha"
Aves,Passeriformes,Tyrannidae,"Zimmerius bolivianus"
Equisetopsida,Magnoliales,Myristicaceae,"Virola sebifera"
Equisetopsida,Magnoliales,Annonaceae,"Unonopsis guatterioides"
Aves,Passeriformes,Tyrannidae,"Syrtidicola fluviatilis"
Aves,Passeriformes,Thraupidae,"Thraupis palmarum"
Aves,Psittaciformes,Psittacidae,"Touit huetii"
Insecta,Coleoptera,Scarabaeidae,"Sulcophanaeus faunus"
Equisetopsida,Sapindales,Meliaceae,"Trichilia maynasiana"
Aves,Passeriformes,Tityridae,"Tityra semifasciata"
Equisetopsida,Magnoliales,Annonaceae,"Xylopia aromatica"
Equisetopsida,Myrtales,Combretaceae,"Terminalia oblonga"
Equisetopsida,Caryophyllales,Polygonaceae,"Triplaris cumingiana"
Aves,Trogoniformes,Trogonidae,"Trogon viridis"
Equisetopsida,Caryophyllales,Polygonaceae,"Triplaris poeppigiana"
Aves,Trogoniformes,Trogonidae,"Trogon collaris"
Equisetopsida,Magnoliales,Myristicaceae,"Virola mollissima"
Aves,Passeriformes,Furnariidae,"Synallaxis albescens"
Equisetopsida,Magnoliales,Annonaceae,"Xylopia benthamii"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira magna"
Aves,Passeriformes,Furnariidae,"Xenops rutilans"
Aves,Passeriformes,Thraupidae,"Tangara arthus"
Mammalia,Chiroptera,Phyllostomidae,"Uroderma magnirostrum"
Aves,Passeriformes,Turdidae,"Turdus ignobilis"
Equisetopsida,Lamiales,Lamiaceae,"Vitex triflora"
Actinopterygii,Characiformes,Characidae,"Tetragonopterus argenteus"
