Clase,Orden,Familia,Especie
Equisetopsida,Fabales,Fabaceae,"Erythrina smithiana"
Mammalia,Chiroptera,Vespertilionidae,"Myotis nigricans"
Equisetopsida,Malpighiales,Euphorbiaceae,"Croton erythrochilum"
Aves,Apodiformes,Trochilidae,"Chaetocercus bombus"
Mammalia,Chiroptera,Phyllostomidae,"Lonchophylla hesperia"
Aves,Passeriformes,Hirundinidae,"Stelgidopteryx ruficollis"
Mammalia,Rodentia,Erethizontidae,"Coendou bicolor"
Mammalia,Chiroptera,Vespertilionidae,"Myotis keaysi"
Equisetopsida,Polypodiales,Pteridaceae,"Adiantum alarconianum"
Aves,Passeriformes,Tyrannidae,"Phaeomyias murina"
Equisetopsida,Malvales,Malvaceae,"Anoda cristata"
Equisetopsida,Malpighiales,Euphorbiaceae,"Croton glabelus"
Aves,Piciformes,Picidae,"Picumnus sclateri"
Equisetopsida,Poales,Poaceae,"Steinchisma laxum"
Mammalia,Carnivora,Mustelidae,"Lontra longicaudis"
Aves,Passeriformes,Thraupidae,"Coereba flaveola"
Equisetopsida,Malvales,Malvaceae,"Abutilon pedunculare"
Equisetopsida,Gentianales,Rubiaceae,"Sphinctanthus aurantiacus"
Equisetopsida,Myrtales,Myrtaceae,"Psidium rostratum"
Equisetopsida,Gentianales,Apocynaceae,"Aspidosperma excelsum"
Equisetopsida,Magnoliales,Annonaceae,"Annona muricata"
Equisetopsida,Piperales,Piperaceae,"Piper divulgatum"
Equisetopsida,Malvales,Malvaceae,"Abutilon densiflorum"
Mammalia,Chiroptera,Phyllostomidae,"Lophostoma occidentalis"
Amphibia,Anura,Craugastoridae,"Pristimantis lymani"
Aves,Passeriformes,Passerellidae,"Atlapetes seebohmi"
Reptilia,Sauria,Teiidae,"Medopheos edracanthus"
Aves,Apodiformes,Trochilidae,"Phaethornis griseogularis"
Equisetopsida,Asparagales,Orchidaceae,"Aspasia psittacina"
Equisetopsida,Fabales,Fabaceae,"Dianthera comata"
Equisetopsida,Solanales,Solanaceae,"Solanum acuminatum"
Equisetopsida,Malvales,Malvaceae,"Eriotheca ruizii"
Actinopterygii,Perciformes,Gerreidae,"Diapterus peruvianus"
Equisetopsida,Lamiales,Verbenaceae,"Duranta erecta"
Equisetopsida,Solanales,Convolvulaceae,"Cuscuta grandiflora"
Aves,Passeriformes,Tyrannidae,"Platyrinchus mystaceus"
Aves,Piciformes,Picidae,"Colaptes rubiginosus"
Equisetopsida,Solanales,Convolvulaceae,"Ipomoea asarifolia"
Equisetopsida,Malvales,Malvaceae,"Eriotheca discolor"
Equisetopsida,Solanales,Solanaceae,"Solanum aloysiifolium"
Aves,Passeriformes,Tyrannidae,"Myiozetetes similis"
Actinopterygii,Siluriformes,Loricariidae,"Chaetostoma microps"
Equisetopsida,Malpighiales,Euphorbiaceae,"Acalypha villosa"
Aves,Passeriformes,Tyrannidae,"Phyllomyias cinereiceps"
Aves,Apodiformes,Trochilidae,"Phaethornis longirostris"
