Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Fabales,Fabaceae,Erythrina smithiana,FALSE,FALSE
Mammalia,Chiroptera,Vespertilionidae,Myotis nigricans,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Croton erythrochilum,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Chaetocercus bombus,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Lonchophylla hesperia,FALSE,TRUE
Aves,Passeriformes,Hirundinidae,Stelgidopteryx ruficollis,FALSE,FALSE
Mammalia,Rodentia,Erethizontidae,Coendou bicolor,FALSE,FALSE
Mammalia,Chiroptera,Vespertilionidae,Myotis keaysi,FALSE,FALSE
Equisetopsida,Polypodiales,Pteridaceae,Adiantum alarconianum,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Phaeomyias murina,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Anoda cristata,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Croton glabelus,FALSE,FALSE
Aves,Piciformes,Picidae,Picumnus sclateri,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Steinchisma laxum,FALSE,FALSE
Mammalia,Carnivora,Mustelidae,Lontra longicaudis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Coereba flaveola,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Abutilon pedunculare,TRUE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Sphinctanthus aurantiacus,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Psidium rostratum,TRUE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Aspidosperma excelsum,FALSE,FALSE
Equisetopsida,Magnoliales,Annonaceae,Annona muricata,FALSE,FALSE
Equisetopsida,Piperales,Piperaceae,Piper divulgatum,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Abutilon densiflorum,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Lophostoma occidentalis,FALSE,TRUE
Amphibia,Anura,Craugastoridae,Pristimantis lymani,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Atlapetes seebohmi,FALSE,FALSE
Reptilia,Sauria,Teiidae,Medopheos edracanthus,TRUE,FALSE
Aves,Apodiformes,Trochilidae,Phaethornis griseogularis,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Aspasia psittacina,FALSE,TRUE
Equisetopsida,Fabales,Fabaceae,Dianthera comata,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum acuminatum,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Eriotheca ruizii,FALSE,FALSE
Actinopterygii,Perciformes,Gerreidae,Diapterus peruvianus,FALSE,FALSE
Equisetopsida,Lamiales,Verbenaceae,Duranta erecta,FALSE,FALSE
Equisetopsida,Solanales,Convolvulaceae,Cuscuta grandiflora,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Platyrinchus mystaceus,FALSE,FALSE
Aves,Piciformes,Picidae,Colaptes rubiginosus,FALSE,FALSE
Equisetopsida,Solanales,Convolvulaceae,Ipomoea asarifolia,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Eriotheca discolor,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum aloysiifolium,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiozetetes similis,FALSE,FALSE
Actinopterygii,Siluriformes,Loricariidae,Chaetostoma microps,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Acalypha villosa,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Phyllomyias cinereiceps,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Phaethornis longirostris,FALSE,FALSE
Equisetopsida,Solanales,Convolvulaceae,Cuscuta paitana,TRUE,FALSE
Equisetopsida,Solanales,Convolvulaceae,Cuscuta peruviana,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Lophotriccus pileatus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Asemospiza obscura,FALSE,FALSE
Equisetopsida,Solanales,Convolvulaceae,Merremia umbellata,FALSE,FALSE
