Clase,Orden,Familia,Especie
Aves,Apodiformes,Trochilidae,"Heliangelus regalis"
Mammalia,Primates,Atelidae,"Lagothrix lagothricha"
Mammalia,Primates,Pitheciidae,"Cacajao calvus"
Aves,Psittaciformes,Psittacidae,"Ara militaris"
Aves,Accipitriformes,Accipitridae,"Morphnus guianensis"
Reptilia,Testudines,Podocnemididae,"Podocnemis expansa"
Reptilia,Testudines,Podocnemididae,"Podocnemis sextuberculata"
Reptilia,Testudines,Podocnemididae,"Podocnemis unifilis"
Aves,Galliformes,Cracidae,"Aburria aburri"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Aves,Piciformes,Capitonidae,"Capito wallacei"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum melanoporphyreum"
Aves,Accipitriformes,Accipitridae,"Harpia harpyja"
Mammalia,Primates,Cebidae,"Callimico goeldii"
Aves,Psittaciformes,Psittacidae,"Primolius couloni"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Mammalia,Carnivora,Mustelidae,"Pteronura brasiliensis"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Amphibia,Anura,Bufonidae,"Atelopus reticulatus"
Amphibia,Anura,Bufonidae,"Atelopus pulcher"
Amphibia,Anura,Bufonidae,"Atelopus erythropus"
Amphibia,Anura,Bufonidae,"Atelopus dimorphus"
Amphibia,Anura,Bufonidae,"Atelopus andinus"
Mammalia,Carnivora,Canidae,"Atelocynus microtis"
Aves,Passeriformes,Onychorhynchidae,"Onychorhynchus coronatus"
Mammalia,Primates,Atelidae,"Ateles chamek"
Mammalia,Primates,Atelidae,"Ateles belzebuth"
Amphibia,Anura,Bufonidae,"Rhinella veraguensis"
Aves,Psittaciformes,Psittacidae,"Touit stictopterus"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Aves,Apodiformes,Trochilidae,"Taphrolesbia griseiventris"
,,,
