Clase,Orden,Familia,Especie
Amphibia,Anura,Dendrobatidae,"Ranitomeya variabilis"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria cajabambae"
Aves,Passeriformes,Thraupidae,"Ramphocelus melanogaster"
Aves,Apodiformes,Trochilidae,"Heliodoxa branickii"
Equisetopsida,Asterales,Asteraceae,"Mikania bulbisetifera"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria azulensis"
Equisetopsida,Asparagales,Orchidaceae,"Microchilus plowmanii"
Equisetopsida,Polypodiales,Polypodiaceae,"Microgramma fosteri"
Equisetopsida,Celastrales,Celastraceae,"Schaefferia serrata"
Reptilia,Sauria,Hoplocercidae,"Enyalioides azulae"
Reptilia,Sauria,Hoplocercidae,"Enyalioides binzayedi"
Reptilia,Sauria,Hoplocercidae,"Enyalioides rudolfarndti"
Aves,Piciformes,Capitonidae,"Capito wallacei"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum azulensis"
Aves,Passeriformes,Pipridae,"Machaeropterus eckelberryi"
Equisetopsida,Asparagales,Orchidaceae,"Octomeria scirpoidea"
Amphibia,Anura,Dendrobatidae,"Ameerega cainarachi"
Amphibia,Anura,Dendrobatidae,"Ameerega rubriventris"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum melanoporphyreum"
Amphibia,Anura,Bufonidae,"Rhinella lilyrodriguezae"
Equisetopsida,Asparagales,Orchidaceae,"Oncidium tipuloides"
Amphibia,Anura,Craugastoridae,"Pristimantis bearsei"
Amphibia,Anura,Craugastoridae,"Pristimantis mendax"
Equisetopsida,Asparagales,Orchidaceae,"Cyrtochilum volubile"
Equisetopsida,Poales,Bromeliaceae,"Aechmea ferruginea"
Equisetopsida,Gentianales,Rubiaceae,"Joosia dichotoma"
Amphibia,Anura,Bufonidae,"Atelopus reticulatus"
Amphibia,Anura,Bufonidae,"Atelopus pulcher"
Amphibia,Anura,Bufonidae,"Atelopus erythropus"
Amphibia,Anura,Bufonidae,"Atelopus dimorphus"
Amphibia,Anura,Bufonidae,"Atelopus andinus"
Equisetopsida,Asparagales,Orchidaceae,"Miltoniopsis bismarckii"
Aves,Passeriformes,Thamnophilidae,"Myrmoderus eowilsoni"
Aves,Passeriformes,Tyrannidae,"Zimmerius viridiflavus"
Aves,Apodiformes,Trochilidae,"Taphrolesbia griseiventris"
,,,
