Clase,Orden,Familia,Especie
Aves,Passeriformes,Thamnophilidae,"Myrmophylax atrothorax"
Aves,Columbiformes,Columbidae,"Leptotila verreauxi"
Aves,Passeriformes,Formicariidae,"Formicarius rufipectus"
Aves,Passeriformes,Grallariidae,"Myrmothera berlepschi"
Aves,Passeriformes,Fringillidae,"Euphonia chrysopasta"
Aves,Columbiformes,Columbidae,"Leptotila rufaxilla"
Reptilia,Sauria,Teiidae,"Kentropyx pelviceps"
Aves,Apodiformes,Trochilidae,"Klais guimeti"
Aves,Accipitriformes,Accipitridae,"Accipiter superciliosus"
Aves,Passeriformes,Formicariidae,"Formicarius colma"
Aves,Passeriformes,Cotingidae,"Pipreola frontalis"
Aves,Apodiformes,Trochilidae,"Heliangelus regalis"
Aves,Passeriformes,Fringillidae,"Euphonia laniirostris"
Aves,Passeriformes,Fringillidae,"Euphonia mesochrysa"
Aves,Passeriformes,Tyrannidae,"Knipolegus aterrimus"
Mammalia,Didelphimorphia,Didelphidae,"Didelphis marsupialis"
Aves,Passeriformes,Furnariidae,"Sittasomus griseicapillus"
Aves,Passeriformes,Grallariidae,"Myrmothera campanisona"
Aves,Passeriformes,Fringillidae,"Euphonia minuta"
Aves,Passeriformes,Formicariidae,"Formicarius analis"
Aves,Passeriformes,Tyrannidae,"Knipolegus poecilurus"
Aves,Passeriformes,Tyrannidae,"Fluvicola pica"
Aves,Caprimulgiformes,Caprimulgidae,"Antrostomus sericocaudatus"
Aves,Passeriformes,Thamnophilidae,"Myrmotherula axillaris"
Equisetopsida,Commelinales,Commelinaceae,"Floscopa robusta"
Equisetopsida,Malpighiales,Passifloraceae,"Passiflora candollei"
Aves,Gruiformes,Rallidae,"Anurolimnas castaneiceps"
Aves,Passeriformes,Fringillidae,"Euphonia rufiventris"
Aves,Passeriformes,Vireonidae,"Pachysylvia hypoxantha"
Aves,Piciformes,Picidae,"Dryobates affinis"
Aves,Apodiformes,Apodidae,"Aeronautes montivagus"
Aves,Coraciiformes,Momotidae,"Momotus momota"
Aves,Passeriformes,Fringillidae,"Euphonia xanthogaster"
Aves,Apodiformes,Trochilidae,"Florisuga mellivora"
Aves,Passeriformes,Tyrannidae,"Leptopogon superciliaris"
Aves,Pelecaniformes,Threskiornithidae,"Mesembrinibis cayennensis"
Aves,Passeriformes,Tyrannidae,"Piprites chloris"
