Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Passeriformes,Thamnophilidae,Myrmophylax atrothorax,FALSE,FALSE
Aves,Columbiformes,Columbidae,Leptotila verreauxi,FALSE,FALSE
Aves,Passeriformes,Formicariidae,Formicarius rufipectus,FALSE,FALSE
Aves,Passeriformes,Grallariidae,Myrmothera berlepschi,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Euphonia chrysopasta,FALSE,FALSE
Aves,Columbiformes,Columbidae,Leptotila rufaxilla,FALSE,FALSE
Reptilia,Sauria,Teiidae,Kentropyx pelviceps,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Klais guimeti,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Accipiter superciliosus,FALSE,FALSE
Aves,Passeriformes,Formicariidae,Formicarius colma,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Pipreola frontalis,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Heliangelus regalis,FALSE,TRUE
Aves,Passeriformes,Fringillidae,Euphonia laniirostris,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Euphonia mesochrysa,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Knipolegus aterrimus,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Didelphis marsupialis,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Sittasomus griseicapillus,FALSE,FALSE
Aves,Passeriformes,Grallariidae,Myrmothera campanisona,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Euphonia minuta,FALSE,FALSE
Aves,Passeriformes,Formicariidae,Formicarius analis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Knipolegus poecilurus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Fluvicola pica,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Antrostomus sericocaudatus,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Myrmotherula axillaris,FALSE,FALSE
Equisetopsida,Commelinales,Commelinaceae,Floscopa robusta,FALSE,FALSE
Equisetopsida,Malpighiales,Passifloraceae,Passiflora candollei,FALSE,FALSE
Aves,Gruiformes,Rallidae,Anurolimnas castaneiceps,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Euphonia rufiventris,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Pachysylvia hypoxantha,FALSE,FALSE
Aves,Piciformes,Picidae,Dryobates affinis,FALSE,FALSE
Aves,Apodiformes,Apodidae,Aeronautes montivagus,FALSE,FALSE
Aves,Coraciiformes,Momotidae,Momotus momota,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Euphonia xanthogaster,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Florisuga mellivora,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Leptopogon superciliaris,FALSE,FALSE
Aves,Pelecaniformes,Threskiornithidae,Mesembrinibis cayennensis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Piprites chloris,FALSE,FALSE
Equisetopsida,Lamiales,Acanthaceae,Ruellia yurimaguensis,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Chelidoptera tenebrosa,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Henicorhina leucosticta,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Leptopogon amaurocephalus,FALSE,FALSE
Aves,Galliformes,Odontophoridae,Odontophorus stellatus,FALSE,FALSE
Equisetopsida,Malpighiales,Passifloraceae,Passiflora coccinea,FALSE,FALSE
Equisetopsida,Lamiales,Acanthaceae,Fittonia albivenis,FALSE,FALSE
Mammalia,Primates,Cebidae,Aotus nigriceps,FALSE,FALSE
Aves,Strigiformes,Strigidae,Megascops roraimae,FALSE,FALSE
Aves,Passeriformes,Icteridae,Molothrus oryzivorus,FALSE,FALSE
Reptilia,Testudines,Testudinidae,Chelonoidis denticulatus,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Henicorhina leucoptera,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Leptodon cayanensis,FALSE,FALSE
Equisetopsida,Lamiales,Acanthaceae,Ruellia thyrsostachya,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Myrmotherula brachyura,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Graydidascalus brachyurus,FALSE,FALSE
Reptilia,Serpentes,Dipsadidae,Leptodeira annulata,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Cissopis leverianus,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus ismaeli,FALSE,FALSE
Amphibia,Anura,Microhylidae,Chiasmocleis bassleri,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Myrmotherula ignota,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Sirystes albocinereus,FALSE,FALSE
Amphibia,Anura,Leptodactylidae,Leptodactylus pentadactylus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Dendrexetastes rufigula,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Dendrocincla merula,FALSE,FALSE
Aves,Passeriformes,Cinclidae,Cinclus leucocephalus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Hemitriccus zosterops,FALSE,FALSE
Aves,Eurypygiformes,Eurypygidae,Eurypyga helias,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Myrmotherula longipennis,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Hylophylax naevius,FALSE,FALSE
Aves,Galliformes,Cracidae,Penelope jacquacu,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Myrmotherula menetriesii,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Hemitriccus rufigularis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Peltophorum dubium,FALSE,FALSE
Aves,Passeriformes,Icteridae,Psarocolius angustifrons,FALSE,FALSE
Equisetopsida,Lamiales,Acanthaceae,Ruellia tarapotana,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Chiroderma salvini,FALSE,FALSE
Equisetopsida,Lamiales,Acanthaceae,Aphelandra aurantiaca,FALSE,FALSE
Aves,Passeriformes,Icteridae,Psarocolius bifasciatus,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Bubulcus ibis,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Spizaetus tyrannus,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Chiroderma villosum,FALSE,FALSE
Mammalia,Didelphimorphia,Didelphidae,Chironectes minimus,FALSE,FALSE
Aves,Passeriformes,Icteridae,Psarocolius decumanus,FALSE,FALSE
Aves,Galliformes,Odontophoridae,Odontophorus speciosus,FALSE,FALSE
Aves,Passeriformes,Pipridae,Lepidothrix isidorei,FALSE,FALSE
Aves,Passeriformes,Pipridae,Lepidothrix coronata,FALSE,FALSE
Equisetopsida,Lamiales,Acanthaceae,Aphelandra montis-scalaris,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Hemitriccus iohannis,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Myrmotherula schisticolor,FALSE,FALSE
Aves,Gruiformes,Psophiidae,Psophia leucoptera,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Serpophaga cinerea,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Pseudastur albicollis,FALSE,FALSE
Aves,Strigiformes,Strigidae,Ciccaba huhula,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Brachyotum naudinii,FALSE,FALSE
Aves,Galliformes,Cracidae,Mitu tuberosum,FALSE,FALSE
Aves,Opisthocomiformes,Opisthocomidae,Opisthocomus hoazin,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Megastictus margaritatus,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Psittacara leucophthalmus,FALSE,FALSE
Mammalia,Primates,Atelidae,Lagothrix lagothricha,FALSE,TRUE
Aves,Passeriformes,Cardinalidae,Habia rubica,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Lepidocolaptes duidae,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Eutoxeres aquila,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Chrysuronia oenone,FALSE,FALSE
Equisetopsida,Alismatales,Alismataceae,Aquarius horizontalis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Dacnis lineata,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Eutoxeres condamini,FALSE,FALSE
Aves,Coraciiformes,Alcedinidae,Chloroceryle aenea,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Pseudocolaptes boissonneautii,FALSE,FALSE
Amphibia,Anura,Bufonidae,Rhinella margaritifera,FALSE,FALSE
Aves,Coraciiformes,Alcedinidae,Chloroceryle amazona,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Ara ararauna,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Artibeus obscurus,FALSE,FALSE
Mammalia,Primates,Pitheciidae,Cacajao calvus,FALSE,TRUE
Aves,Psittaciformes,Psittacidae,Ara chloropterus,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Monotagma juruanum,FALSE,FALSE
Equisetopsida,Malpighiales,Clusiaceae,Chrysochlamys montieliae,FALSE,FALSE
Aves,Coraciiformes,Alcedinidae,Chloroceryle americana,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Ara macao,FALSE,FALSE
Aves,Passeriformes,Icteridae,Cacicus cela,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Artibeus lituratus,FALSE,FALSE
Aves,Passeriformes,Icteridae,Lampropsar tanagrinus,FALSE,FALSE
Aves,Gruiformes,Rallidae,Aramides cajaneus,FALSE,FALSE
Aves,Columbiformes,Columbidae,Patagioenas cayennensis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Hemithraupis guira,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Dacnis albiventris,FALSE,FALSE
Aves,Coraciiformes,Alcedinidae,Chloroceryle inda,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Metopothrix aurantiaca,FALSE,FALSE
Equisetopsida,Sapindales,Sapindaceae,Paullinia reticulata,FALSE,FALSE
Aves,Passeriformes,Mitrospingidae,Lamprospiza melanoleuca,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Ara militaris,FALSE,TRUE
Aves,Gruiformes,Aramidae,Aramus guarauna,FALSE,FALSE
Aves,Passeriformes,Tityridae,Laniocera hypopyrra,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Ara severus,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Carollia castanea,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Dendrocincla fuliginosa,FALSE,FALSE
Mammalia,Primates,Cebidae,Saguinus (Leontocebus) fuscicollis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Hemithraupis flavicollis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Chlorophanes spiza,FALSE,FALSE
Mammalia,Carnivora,Felidae,Leopardus pardalis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Lanio versicolor,FALSE,FALSE
Aves,Falconiformes,Falconidae,Falco rufigularis,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Aratinga weddellii,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Saltator maximus,FALSE,FALSE
Mammalia,Primates,Pitheciidae,Pithecia monachus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila corvina,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Chordeiles rupestris,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Chlorophonia cyanea,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Carollia perspicillata,FALSE,FALSE
Aves,Passeriformes,Pipridae,Chloropipo unicolor,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Naucleopsis concinna,FALSE,FALSE
Amphibia,Anura,Dendrobatidae,Ranitomeya variabilis,TRUE,FALSE
Aves,Passeriformes,Passerellidae,Chlorospingus flavigularis,FALSE,FALSE
Mammalia,Carnivora,Procyonidae,Nasua nasua,FALSE,FALSE
Aves,Passeriformes,Parulidae,Setophaga pitiayumi,FALSE,FALSE
Aves,Passeriformes,Pipridae,Pseudopipra pipra,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Arremon brunneinucha,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Arremon aurantiirostris,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Aciotis rubricaulis,FALSE,FALSE
Aves,Passeriformes,Parulidae,Setophaga ruticilla,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Ardea alba,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Ardea cocoi,FALSE,FALSE
Equisetopsida,Piperales,Aristolochiaceae,Aristolochia brachylimba,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Lathrotriccus euleri,FALSE,FALSE
Aves,Columbiformes,Columbidae,Patagioenas subvinacea,FALSE,FALSE
Aves,Passeriformes,Cardinalidae,Chlorothraupis carmioli,FALSE,FALSE
Amphibia,Anura,Dendrobatidae,"Ranitomeya sirensis (Ranitomeya biolat, Ranitomeya lamasi )",FALSE,FALSE
Mammalia,Pilosa,Choloepodidae,Choloepus hoffmanni,FALSE,FALSE
Aves,Galbuliformes,Galbulidae,Brachygalba albogularis,FALSE,FALSE
Aves,Columbiformes,Columbidae,Patagioenas speciosa,FALSE,FALSE
Actinopterygii,Characiformes,Erythrinidae,Hoplias malabaricus,FALSE,FALSE
Aves,Columbiformes,Columbidae,Patagioenas plumbea,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Legatus leucophaius,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Nasica longirostris,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Brotogeris versicolurus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Ornithion inerme,FALSE,FALSE
Aves,Passeriformes,Icteridae,Cacicus latirostris,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Mionectes oleagineus,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Duroia hirsuta,FALSE,FALSE
Aves,Passeriformes,Grallariidae,Grallaria guatimalensis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Ramphotrigon ruficauda,FALSE,FALSE
Amphibia,Anura,Craugastoridae,Oreobates quixensis,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Brotogeris sanctithomae,FALSE,FALSE
Aves,Passeriformes,Icteridae,Cacicus oseryi,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea allenii,FALSE,FALSE
Aves,Passeriformes,Icteridae,Cacicus solitarius,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Bucco capensis,FALSE,FALSE
Aves,Passeriformes,Icteridae,Cacicus uropygialis,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Rostrhamus sociabilis,FALSE,FALSE
Equisetopsida,Lamiales,Acanthaceae,Dianthera appendiculata,FALSE,FALSE
Equisetopsida,Lamiales,Acanthaceae,Sanchezia longiflora,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Bucco macrodactylus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Dendroplex picus,FALSE,FALSE
Aves,Strigiformes,Strigidae,Megascops watsonii,FALSE,FALSE
Aves,Piciformes,Picidae,Campephilus rubricollis,FALSE,FALSE
Reptilia,Crocodylia,Alligatoridae,Caiman crocodilus,FALSE,FALSE
Equisetopsida,Piperales,Piperaceae,Piper umbellatum,FALSE,FALSE
Equisetopsida,Lamiales,Calceolariaceae,Calceolaria cajabambae,TRUE,FALSE
Aves,Passeriformes,Thraupidae,Ramphocelus nigrogularis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Ramphocelus melanogaster,TRUE,FALSE
Aves,Passeriformes,Thraupidae,Ramphocelus carbo,FALSE,FALSE
Aves,Charadriiformes,Recurvirostridae,Himantopus mexicanus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Phyllomyias burmeisteri,FALSE,FALSE
Aves,Anseriformes,Anatidae,Cairina moschata,FALSE,FALSE
Equisetopsida,Laurales,Lauraceae,Ocotea aciphylla,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Heliothryx auritus,FALSE,FALSE
Amphibia,Anura,Hylidae,Dendropsophus parviceps,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Casiornis rufus,FALSE,FALSE
Aves,Gruiformes,Heliornithidae,Heliornis fulica,FALSE,FALSE
Equisetopsida,Malpighiales,Bonnetiaceae,Bonnetia paniculata,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Heliodoxa aurescens,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Heliomaster longirostris,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Heliodoxa schreibersii,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Heliodoxa branickii,TRUE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia stephanotricha,FALSE,FALSE
Amphibia,Anura,Leptodactylidae,Edalorhina perezi,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Maxillaria mapiriensis,FALSE,FALSE
Reptilia,Sauria,Sphaerodactylidae,Gonatodes humeralis,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Bucco tamatia,FALSE,FALSE
Amphibia,Caudata,Plethodontidae,Bolitoglossa awajun,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Egretta caerulea,FALSE,FALSE
Reptilia,Sauria,Sphaerodactylidae,Gonatodes hasemani,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Crypturellus variegatus,FALSE,FALSE
Aves,Passeriformes,Polioptilidae,Ramphocaenus melanurus,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Mikania bulbisetifera,TRUE,FALSE
Aves,Passeriformes,Cotingidae,Gymnoderus foetidus,FALSE,FALSE
Aves,Piciformes,Picidae,Campephilus melanoleucos,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Egretta thula,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Ochthornis littoralis,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia verruculosa,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Crypturellus undulatus,FALSE,FALSE
Aves,Piciformes,Ramphastidae,Ramphastos vitellinus,FALSE,FALSE
Aves,Falconiformes,Falconidae,Micrastur gilvicollis,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Campylorhynchus turdinus,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Phoenicircus nigricollis,FALSE,FALSE
Aves,Steatornithiformes,Steatornithidae,Steatornis caripensis,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Crypturellus soui,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Hypocnemis peruviana,FALSE,FALSE
Equisetopsida,Polypodiales,Saccolomataceae,Saccoloma inaequale,FALSE,FALSE
Mammalia,Carnivora,Mustelidae,Eira barbara,FALSE,FALSE
Amphibia,Anura,Hylidae,Dendropsophus leucophyllatus,FALSE,FALSE
Aves,Falconiformes,Falconidae,Micrastur mirandollei,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Maxillaria azulensis,TRUE,FALSE
Aves,Passeriformes,Thamnophilidae,Rhegmatorhina melanosticta,FALSE,FALSE
Aves,Piciformes,Ramphastidae,Ramphastos tucanus,FALSE,FALSE
Aves,Galliformes,Odontophoridae,Odontophorus gujanensis,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Campylopterus largipennis,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Hypocnemis subflava,FALSE,FALSE
Aves,Falconiformes,Falconidae,Micrastur ruficollis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Elaenia albiceps,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Morphnus guianensis,FALSE,TRUE
Aves,Tinamiformes,Tinamidae,Crypturellus obsoletus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Phyllomyias griseiceps,FALSE,FALSE
Aves,Galliformes,Cracidae,Pipile cumanensis,FALSE,FALSE
Aves,Falconiformes,Falconidae,Micrastur semitorquatus,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Crypturellus cinereus,FALSE,FALSE
Mammalia,Rodentia,Sciuridae,Microsciurus flaviventer,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Elaenia flavogaster,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Sarcoramphus papa,FALSE,FALSE
Aves,Passeriformes,Polioptilidae,Microbates cinereiventris,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Cathartes aura,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Elaenia gigas,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Microrhopias quixensis,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Crypturellus bartletti,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Blakea rosea,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila angolensis,FALSE,FALSE
Aves,Falconiformes,Falconidae,Daptrius ater,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Blakea henripittieri,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Blakea brasiliensis,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Microcerculus marginatus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Glyphorynchus spirurus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Elaenia spectabilis,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Phlegopsis nigromaculata,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Microchilus plowmanii,TRUE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Microgramma acatallela,FALSE,FALSE
Equisetopsida,Ericales,Ericaceae,Satyria panurensis,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Cathartes burrovianus,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Cathartes melambrotus,FALSE,FALSE
Aves,Passeriformes,Pipridae,Cryptopipo holochlora,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Hafferia fortis,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Elanoides forficatus,FALSE,FALSE
Amphibia,Anura,Hylidae,Hypsiboas boans,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Microgramma fosteri,TRUE,FALSE
Aves,Passeriformes,Troglodytidae,Cyphorhinus arada,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Crotophaga major,FALSE,FALSE
Amphibia,Anura,Hylidae,Hypsiboas fasciatus,FALSE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Bignonia aequinoctialis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Megarynchus pitangua,FALSE,FALSE
Aves,Strigiformes,Strigidae,Aegolius harrisii,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Phlebodium decumanum,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Glaucis hirsutus,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Crotophaga ani,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Nystalus obamai,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Cantorchilus leucotis,FALSE,FALSE
Aves,Charadriiformes,Rhynchopidae,Rynchops niger,FALSE,FALSE
Aves,Passeriformes,Turdidae,Catharus maculatus,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia cauingia,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Mionectes striaticollis,FALSE,FALSE
Equisetopsida,Lamiales,Gesneriaceae,Besleria vanderwerffii,FALSE,FALSE
Reptilia,Testudines,Podocnemididae,Podocnemis expansa,FALSE,TRUE
Aves,Strigiformes,Strigidae,Glaucidium parkeri,FALSE,FALSE
Equisetopsida,Ericales,Ericaceae,Sphyrospermum buxifolium,FALSE,FALSE
Reptilia,Testudines,Podocnemididae,Podocnemis sextuberculata,FALSE,TRUE
Aves,Passeriformes,Turdidae,Catharus ustulatus,FALSE,FALSE
Aves,Falconiformes,Falconidae,Ibycter americanus,FALSE,FALSE
Reptilia,Testudines,Podocnemididae,Podocnemis unifilis,FALSE,TRUE
Aves,Galliformes,Cracidae,Aburria aburri,FALSE,TRUE
Aves,Strigiformes,Strigidae,Glaucidium hardyi,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Cyanerpes caeruleus,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Querula purpurata,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Poecilotriccus capitalis,FALSE,FALSE
Equisetopsida,Lamiales,Gesneriaceae,Besleria azulensis,FALSE,FALSE
Actinopterygii,Characiformes,Characidae,Moenkhausia simulata,FALSE,FALSE
Mammalia,Primates,Cebidae,Saimiri sciureus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Hirundinea ferruginea,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Sayornis nigricans,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Poecilotriccus latirostris,FALSE,FALSE
Equisetopsida,Ericales,Lecythidaceae,Allantoma decandra,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Calyptrocarya bicolor,FALSE,FALSE
Amphibia,Anura,Aromobatidae,Allobates femoralis,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Dendroma rufa,FALSE,FALSE
