Clase,Orden,Familia,Especie
Aves,Passeriformes,Vireonidae,"Pachysylvia hypoxantha"
Aves,Piciformes,Ramphastidae,"Ramphastos tucanus"
Equisetopsida,Gentianales,Apocynaceae,"Lacmellea edulis"
Equisetopsida,Zingiberales,Heliconiaceae,"Heliconia chartacea"
Aves,Passeriformes,Icteridae,"Psarocolius angustifrons"
Equisetopsida,Ericales,Lecythidaceae,"Gustavia longifolia"
Aves,Eurypygiformes,Eurypygidae,"Eurypyga helias"
Equisetopsida,Malpighiales,Rhizophoraceae,"Cassipourea peruviana"
Equisetopsida,Malvales,Malvaceae,"Apeiba tibourbou"
Aves,Passeriformes,Thamnophilidae,"Myrmelastes hyperythrus"
Equisetopsida,Solanales,Convolvulaceae,"Dicranostyles holostyla"
Aves,Passeriformes,Thamnophilidae,"Megastictus margaritatus"
Equisetopsida,Sapindales,Rutaceae,"Ertela trifolia"
Aves,Galliformes,Cracidae,"Penelope jacquacu"
Actinopterygii,Characiformes,Hemiodontidae,"Hemiodus unimaculatus"
Reptilia,Serpentes,Viperidae,"Bothrocophias hyoprora"
Equisetopsida,Lamiales,Bignoniaceae,"Callichlamys latifolia"
Actinopterygii,Characiformes,Characidae,"Moenkhausia collettii"
Aves,Gruiformes,Heliornithidae,"Heliornis fulica"
Aves,Passeriformes,Thamnophilidae,"Myrmotherula menetriesii"
Equisetopsida,Sapindales,Simaroubaceae,"Simarouba amara"
Aves,Tinamiformes,Tinamidae,"Crypturellus soui"
Aves,Apodiformes,Trochilidae,"Heliodoxa aurescens"
Equisetopsida,Zingiberales,Marantaceae,"Goeppertia contrafenestra"
Equisetopsida,Myrtales,Melastomataceae,"Miconia grandifoliata"
Equisetopsida,Alismatales,Araceae,"Dieffenbachia parvifolia"
Reptilia,Sauria,Gymnophthalmidae,"Leposoma parietale"
Equisetopsida,Rosales,Urticaceae,"Cecropia sciadophylla"
Equisetopsida,Zingiberales,Costaceae,"Costus scaber"
Aves,Passeriformes,Tyrannidae,"Cnipodectes subbrunneus"
Equisetopsida,Alismatales,Araceae,"Montrichardia linifera"
Aves,Galbuliformes,Bucconidae,"Malacoptila fusca"
Equisetopsida,Arecales,Arecaceae,"Attalea insignis"
Equisetopsida,Alismatales,Araceae,"Anthurium eminens"
Aves,Piciformes,Picidae,"Picumnus rufiventris"
Actinopterygii,Characiformes,Characidae,"Moenkhausia megalops"
Aves,Passeriformes,Thraupidae,"Dacnis lineata"
Aves,Nyctibiiformes,Nyctibiidae,"Nyctibius grandis"
Aves,Piciformes,Ramphastidae,"Selenidera reinwardtii"
Equisetopsida,Rosales,Moraceae,"Sorocea steinbachii"
Aves,Passeriformes,Corvidae,"Cyanocorax violaceus"
Reptilia,Sauria,Gymnophthalmidae,"Arthrosaura reticulata"
Equisetopsida,Fabales,Fabaceae,"Inga auristellae"
Equisetopsida,Alismatales,Araceae,"Philodendron fragrantissimum"
Aves,Passeriformes,Tyrannidae,"Myiarchus ferox"
Equisetopsida,Rosales,Moraceae,"Sorocea pubivena subsp. oligotricha"
Equisetopsida,Lamiales,Bignoniaceae,"Handroanthus chrysanthus"
Aves,Accipitriformes,Accipitridae,"Spizaetus tyrannus"
Aves,Passeriformes,Icteridae,"Psarocolius bifasciatus"
Equisetopsida,Myrtales,Myrtaceae,"Myrcia neospeciosa"
Equisetopsida,Fabales,Fabaceae,"Cojoba arborea"
Aves,Passeriformes,Furnariidae,"Dendroma erythroptera"
Equisetopsida,Fabales,Fabaceae,"Bauhinia brachycalyx"
Actinopterygii,Siluriformes,Loricariidae,"Limatulichthys griseus"
Aves,Passeriformes,Tityridae,"Pachyramphus marginatus"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea tomentosa"
Equisetopsida,Sapindales,Meliaceae,"Cedrela odorata"
Equisetopsida,Fabales,Fabaceae,"Inga brachyrhachis"
Aves,Piciformes,Capitonidae,"Capito aurovirens"
Equisetopsida,Alismatales,Araceae,"Philodendron ernestii"
Equisetopsida,Rosales,Moraceae,"Sorocea muriculata"
Equisetopsida,Arecales,Arecaceae,"Socratea exorrhiza"
Aves,Passeriformes,Thamnophilidae,"Myrmotherula multostriata"
Mammalia,Primates,Cebidae,"Saguinus (Leontocebus) nigricollis"
Equisetopsida,Fabales,Fabaceae,"Inga capitata"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea stenostachya"
Aves,Passeriformes,Tyrannidae,"Corythopis torquatus"
