Clase,Orden,Familia,Especie
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana sphaerocephala"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana weberbaueri"
Aves,Apodiformes,Trochilidae,"Thaumasius taczanowskii"
Equisetopsida,Asterales,Asteraceae,"Viguiera peruviana"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana connata"
Amphibia,Anura,Telmatobiidae,"Telmatobius mayoloi"
Equisetopsida,Asterales,Asteraceae,"Werneria weberbaueriana"
Equisetopsida,Santalales,Loranthaceae,"Tristerix pubescens"
Equisetopsida,Santalales,Loranthaceae,"Tristerix chodatianus"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia cerrateana"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia lopezii"
Aves,Passeriformes,Cotingidae,"Zaratornis stresemanni"
Aves,Passeriformes,Furnariidae,"Synallaxis zimmeri"
Aves,Apodiformes,Trochilidae,"Taphrolesbia griseiventris"
Equisetopsida,Asparagales,Amaryllidaceae,"Trichlora peruviana"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana globularis"
Aves,Passeriformes,Thraupidae,"Incaspiza pulchra"
Equisetopsida,Solanales,Solanaceae,"Saracha spinosa"
Aves,Passeriformes,Thraupidae,"Incaspiza personata"
Equisetopsida,Poales,Cyperaceae,"Carex hebetata"
Equisetopsida,Gentianales,Gentianaceae,"Gentianella thyrsoidea"
Equisetopsida,Lamiales,Calceolariaceae,"Drymaria fasciculata"
Equisetopsida,Poales,Bromeliaceae,"Puya cerrateana"
Equisetopsida,Poales,Cyperaceae,"Carex davidsmithii"
Equisetopsida,Asterales,Asteraceae,"Jungia schuerae"
Equisetopsida,Poales,Bromeliaceae,"Puya argentea"
Equisetopsida,Asterales,Asteraceae,"Jungia stuebelii"
Equisetopsida,Poales,Bromeliaceae,"Puya angusta"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Drymaria engleriana"
Equisetopsida,Solanales,Solanaceae,"Solanum hastiforme"
Aves,Passeriformes,Passerellidae,"Atlapetes rufigenis"
Equisetopsida,Liliales,Alstroemeriaceae,"Bomarea albimontana"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum inamoenum"
Equisetopsida,Piperales,Piperaceae,"Peperomia minuta"
Equisetopsida,Asparagales,Amaryllidaceae,"Stenomesson luteum"
Equisetopsida,Asterales,Asteraceae,"Gamochaeta cabrerae"
Equisetopsida,Solanales,Solanaceae,"Solanum sogarandinum"
Mammalia,Rodentia,Cricetidae,"Calomys sorellus"
Equisetopsida,Solanales,Solanaceae,"Solanum huarochiriense"
Equisetopsida,Rosales,Rosaceae,"Polylepis microphylla"
Equisetopsida,Caryophyllales,Cactaceae,"Cleistocactus fieldianus"
Equisetopsida,Asterales,Asteraceae,"Paranephelius ferreyrii"
Equisetopsida,Poales,Poaceae,"Poa amplivaginata"
Equisetopsida,Poales,Poaceae,"Festuca rigidifolia"
Equisetopsida,Liliales,Alstroemeriaceae,"Bomarea parvifolia"
Equisetopsida,Solanales,Solanaceae,"Nicotiana thyrsiflora"
Equisetopsida,Asterales,Asteraceae,"Coreopsis sherffii"
Equisetopsida,Polypodiales,Dryopteridaceae,"Elaphoglossum ruficomum"
Equisetopsida,Dioscoreales,Dioscoreaceae,"Dioscorea ancachsensis"
Equisetopsida,Malpighiales,Euphorbiaceae,"Sebastiania hapoclada"
Mammalia,Rodentia,Cricetidae,"Akodon orophilus"
Equisetopsida,Gentianales,Gentianaceae,"Gentianella tristicha"
Equisetopsida,Myrtales,Melastomataceae,"Miconia alpina"
Amphibia,Anura,Hemiphractidae,"Gastrotheca peruana"
Equisetopsida,Liliales,Alstroemeriaceae,"Bomarea vargasii"
Equisetopsida,Poales,Poaceae,"Paspalum tuberosum"
Equisetopsida,Malpighiales,Passifloraceae,"Passiflora lobbii subsp. lobbii"
Equisetopsida,Asterales,Asteraceae,"Chersodoma ovopedata"
