Clase,Orden,Familia,Especie
Equisetopsida,Sapindales,Meliaceae,"Swietenia macrophylla"
Aves,Psittaciformes,Psittacidae,"Touit stictopterus"
Aves,Passeriformes,Thraupidae,"Tangara arthus"
Aves,Passeriformes,Furnariidae,"Synallaxis albigularis"
Mammalia,Pilosa,Myrmecophagidae,"Tamandua tetradactyla"
Aves,Passeriformes,Thraupidae,"Tangara chrysotis"
Aves,Passeriformes,Thraupidae,"Tangara cyanotis"
Aves,Passeriformes,Thraupidae,"Tangara gyrola"
Aves,Passeriformes,Thraupidae,"Tangara nigroviridis"
Aves,Passeriformes,Thraupidae,"Tangara parzudakii"
Aves,Passeriformes,Thraupidae,"Tangara vassorii"
Aves,Passeriformes,Thraupidae,"Tangara xanthocephala"
Aves,Passeriformes,Furnariidae,"Syndactyla subalaris"
Aves,Passeriformes,Furnariidae,"Synallaxis azarae"
Aves,Passeriformes,Furnariidae,"Synallaxis unirufa"
Aves,Passeriformes,Furnariidae,"Synallaxis moesta"
Aves,Passeriformes,Furnariidae,"Xiphocolaptes promeropirhynchus"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus triangularis"
Aves,Passeriformes,Furnariidae,"Xenops rutilans"
Aves,Passeriformes,Furnariidae,"Xenops minutus"
Aves,Passeriformes,Furnariidae,"Xenerpestes singularis"
Mammalia,Cetartiodactyla,Tayassuidae,"Tayassu pecari"
Aves,Passeriformes,Thraupidae,"Wetmorethraupis sterrhopteron"
Aves,Passeriformes,Thraupidae,"Stilpnia cyanicollis"
Aves,Passeriformes,Thraupidae,"Stilpnia nigrocincta"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Equisetopsida,Asparagales,Orchidaceae,"Symbolanthus condorensis"
Aves,Passeriformes,Thraupidae,"Tersina viridis"
Aves,Apodiformes,Trochilidae,"Thalurania furcata"
Aves,Passeriformes,Vireonidae,"Vireo leucophrys"
Aves,Apodiformes,Apodidae,"Streptoprocne rutila"
Aves,Passeriformes,Thamnophilidae,"Thamnistes rufescens"
Aves,Apodiformes,Apodidae,"Streptoprocne zonaris"
