Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Sapindales,Meliaceae,Swietenia macrophylla,FALSE,TRUE
Aves,Psittaciformes,Psittacidae,Touit stictopterus,FALSE,TRUE
Aves,Passeriformes,Thraupidae,Tangara arthus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis albigularis,FALSE,FALSE
Mammalia,Pilosa,Myrmecophagidae,Tamandua tetradactyla,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara chrysotis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara cyanotis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara gyrola,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara nigroviridis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara parzudakii,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara vassorii,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara xanthocephala,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Syndactyla subalaris,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis azarae,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis unirufa,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis moesta,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphocolaptes promeropirhynchus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus triangularis,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xenops rutilans,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xenops minutus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xenerpestes singularis,FALSE,FALSE
Mammalia,Cetartiodactyla,Tayassuidae,Tayassu pecari,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Wetmorethraupis sterrhopteron,FALSE,TRUE
Aves,Passeriformes,Thraupidae,Stilpnia cyanicollis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Stilpnia nigrocincta,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Vultur gryphus,FALSE,TRUE
Equisetopsida,Asparagales,Orchidaceae,Symbolanthus condorensis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tersina viridis,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Thalurania furcata,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Vireo leucophrys,FALSE,FALSE
Aves,Apodiformes,Apodidae,Streptoprocne rutila,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnistes rufescens,FALSE,FALSE
Aves,Apodiformes,Apodidae,Streptoprocne zonaris,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Zimmerius viridiflavus,TRUE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus palliatus,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Vampyriscus brocki,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus unicolor,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Uropsalis lyra,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Uroderma bilobatum,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannus melancholicus,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus serranus,FALSE,FALSE
