Clase,Orden,Familia,Especie
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia piurensis"
Mammalia,Rodentia,Cricetidae,"Thomasomys praetor"
Mammalia,Rodentia,Cricetidae,"Thomasomys caudivarius"
Equisetopsida,Sapindales,Meliaceae,"Swietenia macrophylla"
Equisetopsida,Arecales,Arecaceae,"Euterpe luminosa"
Equisetopsida,Rosales,Rosaceae,"Polylepis besseri"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria dillonii"
Equisetopsida,Rosales,Rosaceae,"Polylepis sericea"
Equisetopsida,Rosales,Cannabaceae,"Celtis iguanaea"
Equisetopsida,Fabales,Fabaceae,"Copaifera paupera"
Mammalia,Cetartiodactyla,Cervidae,"Mazama chunyi"
Equisetopsida,Fabales,Fabaceae,"Amburana acreana"
Mammalia,Rodentia,Abrocomidae,"Cuscomys oblativus"
Equisetopsida,Poales,Poaceae,"Aulonemia queko"
Equisetopsida,Sapindales,Meliaceae,"Cedrela odorata"
Equisetopsida,Sapindales,Meliaceae,"Cedrela fissilis"
Mammalia,Didelphimorphia,Didelphidae,"Monodelphis (Mygalodelphys) osgoodi"
Equisetopsida,Asparagales,Orchidaceae,"Prosthechea fusca"
Equisetopsida,Asparagales,Orchidaceae,"Anguloa virginalis"
Equisetopsida,Asparagales,Orchidaceae,"Epistephium duckei"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus oleifolius"
Equisetopsida,Asparagales,Orchidaceae,"Odontoglossum harryanum"
Equisetopsida,Dipsacales,Caprifoliaceae,"Stangea wandae"
Equisetopsida,Asparagales,Orchidaceae,"Lycaste gigantea"
,,,
