Clase,Orden,Familia,Especie
Equisetopsida,Ericales,Ericaceae,"Vaccinium floribundum"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana jasminoides"
Equisetopsida,Oxalidales,Elaeocarpaceae,"Vallea stipularis"
Equisetopsida,Asparagales,Orchidaceae,"Xylobium colleyi"
Equisetopsida,Asparagales,Orchidaceae,"Vanilla ruiziana"
Equisetopsida,Asparagales,Orchidaceae,"Xylobium coelia"
Mammalia,Rodentia,Cricetidae,"Thomasomys gracilis"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Aves,Trogoniformes,Trogonidae,"Trogon personatus"
Equisetopsida,Gentianales,Apocynaceae,"Tabernaemontana vanheurckii"
Equisetopsida,Asparagales,Orchidaceae,"Trichosalpinx scabridula"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira bidens"
Equisetopsida,Sapindales,Meliaceae,"Trichilia elegans"
Equisetopsida,Ericales,Symplocaceae,"Symplocos nana"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Equisetopsida,Fabales,Fabaceae,"Zygia coccinea"
Aves,Caprimulgiformes,Caprimulgidae,"Uropsalis segmentata"
Equisetopsida,Sapindales,Meliaceae,"Trichilia poeppigii"
Equisetopsida,Sapindales,Rutaceae,"Toxosiphon macropodus"
Equisetopsida,Polypodiales,Polypodiaceae,"Terpsichore bipinnata"
Equisetopsida,Sapindales,Anacardiaceae,"Toxicodendron striatum"
Mammalia,Cetartiodactyla,Tayassuidae,"Tayassu pecari"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia cochensis"
Equisetopsida,Alismatales,Araceae,"Xanthosoma puberulum"
Equisetopsida,Ericales,Symplocaceae,"Symplocos quitensis"
Equisetopsida,Rosales,Urticaceae,"Urera simplex"
Equisetopsida,Gentianales,Apocynaceae,"Tassadia obovata"
Equisetopsida,Lamiales,Gesneriaceae,"Trichodrymonia metamorphophylla"
Equisetopsida,Poales,Xyridaceae,"Xyris subulata var. breviscapa"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia crassifolia"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia fagaroides"
Equisetopsida,Asparagales,Orchidaceae,"Trichosalpinx chamaelepanthes"
Equisetopsida,Asparagales,Orchidaceae,"Xanthoxerampellia rufescens"
