Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Ericales,Ericaceae,Vaccinium floribundum,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana jasminoides,FALSE,FALSE
Equisetopsida,Oxalidales,Elaeocarpaceae,Vallea stipularis,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Xylobium colleyi,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Vanilla ruiziana,TRUE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Xylobium coelia,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Thomasomys gracilis,TRUE,FALSE
Mammalia,Carnivora,Ursidae,Tremarctos ornatus,FALSE,TRUE
Aves,Trogoniformes,Trogonidae,Trogon personatus,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Tabernaemontana vanheurckii,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Trichosalpinx scabridula,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Sturnira bidens,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Trichilia elegans,FALSE,FALSE
Equisetopsida,Ericales,Symplocaceae,Symplocos nana,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Zonotrichia capensis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Zygia coccinea,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Uropsalis segmentata,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Trichilia poeppigii,FALSE,FALSE
Equisetopsida,Sapindales,Rutaceae,Toxosiphon macropodus,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Terpsichore bipinnata,TRUE,FALSE
Equisetopsida,Sapindales,Anacardiaceae,Toxicodendron striatum,FALSE,FALSE
Mammalia,Cetartiodactyla,Tayassuidae,Tayassu pecari,FALSE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia cochensis,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Xanthosoma puberulum,FALSE,FALSE
Equisetopsida,Ericales,Symplocaceae,Symplocos quitensis,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urera simplex,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Tassadia obovata,FALSE,FALSE
