Clase,Orden,Familia,Especie
Equisetopsida,Myrtales,Melastomataceae,"Votomita pubescens"
Mammalia,Rodentia,Sciuridae,"Hadrosciurus pyrrhinus"
Reptilia,Serpentes,Dipsadidae,"Helicops yacu"
Mammalia,Chiroptera,Phyllostomidae,"Micronycteris matses"
Mammalia,Rodentia,Cricetidae,"Amphinectomys savamis"
Equisetopsida,Sapindales,Rutaceae,"Sohnreyia terminalioides"
Equisetopsida,Myrtales,Myrtaceae,"Myrcia sessilis"
Equisetopsida,Ericales,Primulaceae,"Cybianthus flavovirens"
Equisetopsida,Pandanales,Cyclanthaceae,"Dicranopygium latissimum"
Mammalia,Rodentia,Cricetidae,"Neusticomys peruviensis"
Equisetopsida,Lamiales,Gesneriaceae,"Besleria racemosa"
Amphibia,Anura,Bufonidae,"Rhinella angeli"
,,,
