Clase,Orden,Familia,Especie
Aves,Passeriformes,Furnariidae,"Xiphocolaptes promeropirhynchus"
Equisetopsida,Arecales,Arecaceae,"Wettinia augusta"
Aves,Passeriformes,Tityridae,"Tityra semifasciata"
Mammalia,Perissodactyla,Tapiridae,"Tapirus terrestris"
Mammalia,Chiroptera,Thyropteridae,"Thyroptera tricolor"
Equisetopsida,Gentianales,Apocynaceae,"Tabernaemontana sananho"
Equisetopsida,Arecales,Arecaceae,"Wendlandiella gracilis"
Equisetopsida,Cycadales,Zamiaceae,"Zamia poeppigiana"
Equisetopsida,Sapindales,Meliaceae,"Trichilia pallida"
Mammalia,Pilosa,Myrmecophagidae,"Tamandua tetradactyla"
Equisetopsida,Malvales,Malvaceae,"Theobroma cacao"
Equisetopsida,Gentianales,Apocynaceae,"Tabernaemontana coriacea"
Aves,Passeriformes,Tityridae,"Tityra cayana"
Equisetopsida,Fabales,Fabaceae,"Tachigali formicarum"
Aves,Passeriformes,Thraupidae,"Tangara schrankii"
Equisetopsida,Gentianales,Apocynaceae,"Tabernaemontana macrocalyx"
Aves,Trogoniformes,Trogonidae,"Trogon collaris"
Equisetopsida,Magnoliales,Myristicaceae,"Virola calophylla"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus murinus"
Reptilia,Serpentes,Dipsadidae,"Xenodon severus"
Aves,Passeriformes,Thraupidae,"Tangara gyrola"
Aves,Passeriformes,Tyrannidae,"Tolmomyias poliocephalus"
Aves,Passeriformes,Tyrannidae,"Tyrannulus elatus"
Equisetopsida,Zingiberales,Marantaceae,"Stromanthe stromanthoides"
Aves,Passeriformes,Furnariidae,"Thripophaga fusciceps"
Mammalia,Sirenia,Trichechidae,"Trichechus inunguis"
Aves,Passeriformes,Thraupidae,"Stilpnia nigrocincta"
Equisetopsida,Laurales,Lauraceae,"Yasunia quadrata"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus elegans"
Equisetopsida,Commelinales,Commelinaceae,"Tradescantia zanonia"
Equisetopsida,Magnoliales,Myristicaceae,"Virola elongata"
Aves,Passeriformes,Pipridae,"Tyranneutes stolzmanni"
Aves,Passeriformes,Tyrannidae,"Todirostrum chrysocrotaphum"
Aves,Passeriformes,Thamnophilidae,"Taraba major"
Aves,Passeriformes,Thamnophilidae,"Thamnomanes saturninus"
Aves,Passeriformes,Thraupidae,"Tangara callophrys"
Aves,Charadriiformes,Charadriidae,"Vanellus cayanus"
Aves,Apodiformes,Trochilidae,"Topaza pyra"
Equisetopsida,Malpighiales,Clusiaceae,"Symphonia globulifera"
Aves,Trogoniformes,Trogonidae,"Trogon curucui"
Equisetopsida,Rosales,Urticaceae,"Urera laciniata"
Equisetopsida,Crossosomatales,Staphyleaceae,"Turpinia occidentalis"
Equisetopsida,Gleicheniales,Gleicheniaceae,"Sticherus tomentosus"
