Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Passeriformes,Furnariidae,Xiphocolaptes promeropirhynchus,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Wettinia augusta,FALSE,FALSE
Aves,Passeriformes,Tityridae,Tityra semifasciata,FALSE,FALSE
Mammalia,Perissodactyla,Tapiridae,Tapirus terrestris,FALSE,FALSE
Mammalia,Chiroptera,Thyropteridae,Thyroptera tricolor,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Tabernaemontana sananho,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Wendlandiella gracilis,FALSE,FALSE
Equisetopsida,Cycadales,Zamiaceae,Zamia poeppigiana,FALSE,TRUE
Equisetopsida,Sapindales,Meliaceae,Trichilia pallida,FALSE,FALSE
Mammalia,Pilosa,Myrmecophagidae,Tamandua tetradactyla,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Theobroma cacao,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Tabernaemontana coriacea,FALSE,FALSE
Aves,Passeriformes,Tityridae,Tityra cayana,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Tachigali formicarum,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara schrankii,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Tabernaemontana macrocalyx,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon collaris,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola calophylla,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus murinus,FALSE,FALSE
Reptilia,Serpentes,Dipsadidae,Xenodon severus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara gyrola,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tolmomyias poliocephalus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannulus elatus,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Stromanthe stromanthoides,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Thripophaga fusciceps,FALSE,FALSE
Mammalia,Sirenia,Trichechidae,Trichechus inunguis,FALSE,TRUE
Aves,Passeriformes,Thraupidae,Stilpnia nigrocincta,FALSE,FALSE
Equisetopsida,Laurales,Lauraceae,Yasunia quadrata,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus elegans,FALSE,FALSE
Equisetopsida,Commelinales,Commelinaceae,Tradescantia zanonia,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola elongata,FALSE,FALSE
Aves,Passeriformes,Pipridae,Tyranneutes stolzmanni,FALSE,FALSE
