Clase,Orden,Familia,Especie
Equisetopsida,Polypodiales,Dryopteridaceae,"Cyclodium meniscioides"
Aves,Galbuliformes,Galbulidae,"Galbula albirostris"
Actinopterygii,Characiformes,Curimatidae,"Cyphocharax pantostictos"
Actinopterygii,Characiformes,Curimatidae,"Steindachnerina bimaculata"
Aves,Accipitriformes,Accipitridae,"Ictinia plumbea"
Actinopterygii,Characiformes,Characidae,"Moenkhausia dichroura"
Equisetopsida,Oxalidales,Elaeocarpaceae,"Sloanea guianensis"
Equisetopsida,Gentianales,Apocynaceae,"Odontadenia puncticulosa"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Actinopterygii,Characiformes,Characidae,"Bryconops melanurus"
Aves,Passeriformes,Tyrannidae,"Myiornis ecaudatus"
Equisetopsida,Arecales,Arecaceae,"Iriartella setigera"
Mammalia,Primates,Cebidae,"Cebuella pygmaea"
Aves,Cuculiformes,Cuculidae,"Coccyzus americanus"
Reptilia,Serpentes,Dipsadidae,"Oxyrhopus formosus"
Equisetopsida,Alismatales,Araceae,"Philodendron tripartitum"
Equisetopsida,Malvales,Malvaceae,"Quararibea amazonica"
Aves,Piciformes,Picidae,"Piculus flavigula"
Aves,Caprimulgiformes,Caprimulgidae,"Lurocalis semitorquatus"
Equisetopsida,Fabales,Fabaceae,"Brownea grandiceps"
Aves,Galbuliformes,Bucconidae,"Monasa nigrifrons"
Aves,Passeriformes,Thraupidae,"Eucometis penicillata"
Equisetopsida,Sapindales,Meliaceae,"Guarea cristata"
Aves,Passeriformes,Furnariidae,"Cranioleuca gutturata"
Equisetopsida,Malvales,Malvaceae,"Quararibea guianensis"
Aves,Passeriformes,Hirundinidae,"Atticora fasciata"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea nigricans"
Equisetopsida,Ericales,Sapotaceae,"Ecclinusa lanceolata"
Equisetopsida,Alismatales,Araceae,"Philodendron wittianum"
Equisetopsida,Lamiales,Gesneriaceae,"Columnea ericae"
Reptilia,Sauria,Gymnophthalmidae,"Alopoglossus atriventris"
Aves,Passeriformes,Thamnophilidae,"Cymbilaimus lineatus"
Aves,Passeriformes,Thamnophilidae,"Euchrepomis spodioptila"
Aves,Strigiformes,Strigidae,"Megascops choliba"
Aves,Galbuliformes,Galbulidae,"Galbula chalcothorax"
Aves,Passeriformes,Furnariidae,"Dendrocolaptes certhia"
Actinopterygii,Characiformes,Characidae,"Creagrutus cochui"
Amphibia,Anura,Hylidae,"Osteocephalus deridens"
Equisetopsida,Myrtales,Combretaceae,"Combretum laxum"
Actinopterygii,Siluriformes,Pimelodidae,"Brachyplatystoma filamentosum"
Actinopterygii,Characiformes,Characidae,"Axelrodia stigmatias"
Equisetopsida,Sapindales,Burseraceae,"Protium altsonii"
Equisetopsida,Malvales,Malvaceae,"Quararibea wittii"
Equisetopsida,Malpighiales,Euphorbiaceae,"Hura crepitans"
Equisetopsida,Myrtales,Combretaceae,"Combretum llewelynii"
Equisetopsida,Ericales,Sapotaceae,"Pouteria torta"
Aves,Passeriformes,Furnariidae,"Berlepschia rikeri"
Aves,Passeriformes,Thraupidae,"Dacnis lineata"
Mammalia,Rodentia,Dasyproctidae,"Dasyprocta fuliginosa"
Actinopterygii,Gymnotiformes,Gymnotidae,"Electrophorus electricus"
Aves,Passeriformes,Furnariidae,"Sclerurus rufigularis"
Actinopterygii,Siluriformes,Pimelodidae,"Pimelodus ornatus"
Aves,Passeriformes,Furnariidae,"Philydor erythrocercum"
Actinopterygii,Gymnotiformes,Apteronotidae,"Compsaraia samueli"
Aves,Pelecaniformes,Ardeidae,"Cochlearius cochlearius"
Equisetopsida,Malpighiales,Salicaceae,"Ryania speciosa"
Aves,Accipitriformes,Accipitridae,"Buteogallus meridionalis"
Aves,Passeriformes,Tyrannidae,"Myiopagis gaimardii"
Actinopterygii,Cichliformes,Cichlidae,"Crenicichla anthurus"
Equisetopsida,Alismatales,Araceae,"Anthurium kunthii"
Equisetopsida,Arecales,Arecaceae,"Iriartea deltoidea"
Actinopterygii,Characiformes,Chalceidae,"Chalceus macrolepidotus"
Actinopterygii,Cichliformes,Cichlidae,"Crenicichla johanna"
Equisetopsida,Magnoliales,Annonaceae,"Duguetia latifolia"
Equisetopsida,Arecales,Arecaceae,"Aiphanes ulei"
Equisetopsida,Magnoliales,Myristicaceae,"Compsoneura capitellata"
Equisetopsida,Malpighiales,Erythroxylaceae,"Erythroxylum macrophyllum"
Aves,Passeriformes,Icteridae,"Icterus cayanensis"
Mammalia,Carnivora,Mustelidae,"Pteronura brasiliensis"
Aves,Apodiformes,Apodidae,"Chaetura brachyura"
Amphibia,Anura,Aromobatidae,"Allobates trilineatus"
Aves,Passeriformes,Hirundinidae,"Progne tapera"
Actinopterygii,Cichliformes,Cichlidae,"Crenicichla proteus"
Aves,Galbuliformes,Bucconidae,"Monasa morphoeus"
Equisetopsida,Malvales,Malvaceae,"Cavanillesia umbellata"
Actinopterygii,Characiformes,Curimatidae,"Curimatella alburnus"
Actinopterygii,Characiformes,Crenuchidae,"Crenuchus spilurus"
Equisetopsida,Malpighiales,Euphorbiaceae,"Conceveiba guianensis"
Equisetopsida,Gentianales,Rubiaceae,"Bertiera guianensis"
Actinopterygii,Characiformes,Characidae,"Moenkhausia oligolepis"
Aves,Passeriformes,Cotingidae,"Querula purpurata"
Actinopterygii,Siluriformes,Loricariidae,"Rineloricaria lanceolata"
Amphibia,Anura,Aromobatidae,"Allobates femoralis"
Aves,Passeriformes,Tyrannidae,"Rhytipterna simplex"
Aves,Passeriformes,Thraupidae,"Paroaria gularis"
Equisetopsida,Malpighiales,Euphorbiaceae,"Conceveiba rhytidocarpa"
Equisetopsida,Sapindales,Rutaceae,"Conchocarpus ucayalinus"
Equisetopsida,Gentianales,Rubiaceae,"Calycophyllum megistocaulum"
Aves,Passeriformes,Icteridae,"Molothrus bonariensis"
Actinopterygii,Characiformes,Curimatidae,"Cyphocharax spiluropsis"
Aves,Galbuliformes,Bucconidae,"Notharchus hyperrhynchus"
Aves,Strigiformes,Strigidae,"Glaucidium brasilianum"
Actinopterygii,Cichliformes,Cichlidae,"Astronotus ocellatus"
Equisetopsida,Ericales,Lecythidaceae,"Allantoma decandra"
Aves,Passeriformes,Furnariidae,"Dendrocolaptes picumnus"
Aves,Passeriformes,Tyrannidae,"Poecilotriccus latirostris"
Aves,Passeriformes,Cotingidae,"Lipaugus vociferans"
Actinopterygii,Characiformes,Curimatidae,"Curimata aspera"
Equisetopsida,Sapindales,Anacardiaceae,"Anacardium giganteum"
Equisetopsida,Lamiales,Gesneriaceae,"Besleria aggregata"
Actinopterygii,Characiformes,Bryconidae,"Salminus iquitensis"
Actinopterygii,Characiformes,Bryconidae,"Brycon amazonicus"
Aves,Strigiformes,Strigidae,"Glaucidium hardyi"
Actinopterygii,Characiformes,Prochilodontidae,"Prochilodus nigricans"
Aves,Passeriformes,Tyrannidae,"Poecilotriccus capitalis"
Mammalia,Cetartiodactyla,Cervidae,"Mazama americana"
Aves,Psittaciformes,Psittacidae,"Pionites melanocephalus"
Actinopterygii,Cichliformes,Cichlidae,"Heros efasciatus"
Aves,Passeriformes,Pipridae,"Heterocercus aurantiivertex"
Aves,Piciformes,Picidae,"Dryocopus lineatus"
Equisetopsida,Arecales,Arecaceae,"Chamaedorea pinnatifrons"
Actinopterygii,Characiformes,Crenuchidae,"Characidium etheostoma"
Aves,Falconiformes,Falconidae,"Ibycter americanus"
Aves,Passeriformes,Furnariidae,"Philydor pyrrhodes"
Aves,Accipitriformes,Accipitridae,"Spizaetus ornatus"
Aves,Piciformes,Capitonidae,"Capito auratus"
Equisetopsida,Malvales,Malvaceae,"Sterculia tessmannii"
Equisetopsida,Malpighiales,Euphorbiaceae,"Croton cuneatus"
Equisetopsida,Malpighiales,Euphorbiaceae,"Alchorneopsis floribunda"
Amphibia,Anura,Bufonidae,"Rhinella margaritifera"
Aves,Passeriformes,Hirundinidae,"Atticora tibialis"
Equisetopsida,Rosales,Moraceae,"Brosimum rubescens"
Aves,Passeriformes,Furnariidae,"Sclerurus caudacutus"
Equisetopsida,Malpighiales,Euphorbiaceae,"Alchornea triplinervia"
Reptilia,Testudines,Podocnemididae,"Podocnemis sextuberculata"
Equisetopsida,Sapindales,Burseraceae,"Protium divaricatum"
Aves,Trogoniformes,Trogonidae,"Pharomachrus pavoninus"
Equisetopsida,Magnoliales,Annonaceae,"Duguetia quitarensis"
Aves,Passeriformes,Thamnophilidae,"Myrmelastes schistaceus"
Equisetopsida,Alismatales,Araceae,"Monstera lechleriana"
Equisetopsida,Sapindales,Sapindaceae,"Cupania cinerea"
Equisetopsida,Magnoliales,Annonaceae,"Guatteria punctata"
Amphibia,Anura,Bufonidae,"Rhinella marina"
Equisetopsida,Fabales,Polygalaceae,"Moutabea aculeata"
Equisetopsida,Malpighiales,Chrysobalanaceae,"Licania harlingii"
Aves,Passeriformes,Tyrannidae,"Myiopagis caniceps"
Reptilia,Serpentes,Dipsadidae,"Oxyrhopus melanogenys"
Equisetopsida,Arecales,Arecaceae,"Desmoncus polyacanthos"
Reptilia,Testudines,Chelidae,"Mesoclemmys gibba"
Reptilia,Serpentes,Dipsadidae,"Clelia clelia"
Equisetopsida,Apiales,Araliaceae,"Dendropanax macropodus"
Aves,Galbuliformes,Bucconidae,"Notharchus tectus"
Equisetopsida,Myrtales,Melastomataceae,"Mouriri myrtilloides"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea justiciifolia"
Equisetopsida,Poales,Poaceae,"Pharus latifolius"
Amphibia,Anura,Hylidae,"Hypsiboas punctatus"
Equisetopsida,Rosales,Urticaceae,"Pourouma phaeotricha"
Aves,Cuculiformes,Cuculidae,"Crotophaga ani"
Aves,Coraciiformes,Alcedinidae,"Megaceryle torquata"
