Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Polypodiales,Dryopteridaceae,Cyclodium meniscioides,FALSE,FALSE
Aves,Galbuliformes,Galbulidae,Galbula albirostris,FALSE,FALSE
Actinopterygii,Characiformes,Curimatidae,Cyphocharax pantostictos,FALSE,FALSE
Actinopterygii,Characiformes,Curimatidae,Steindachnerina bimaculata,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Ictinia plumbea,FALSE,FALSE
Actinopterygii,Characiformes,Characidae,Moenkhausia dichroura,FALSE,FALSE
Equisetopsida,Oxalidales,Elaeocarpaceae,Sloanea guianensis,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Odontadenia puncticulosa,FALSE,FALSE
Mammalia,Primates,Atelidae,Alouatta seniculus,FALSE,TRUE
Actinopterygii,Characiformes,Characidae,Bryconops melanurus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiornis ecaudatus,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Iriartella setigera,FALSE,FALSE
Mammalia,Primates,Cebidae,Cebuella pygmaea,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Coccyzus americanus,FALSE,FALSE
Reptilia,Serpentes,Dipsadidae,Oxyrhopus formosus,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Philodendron tripartitum,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Quararibea amazonica,FALSE,FALSE
Aves,Piciformes,Picidae,Piculus flavigula,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Lurocalis semitorquatus,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Brownea grandiceps,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Monasa nigrifrons,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Eucometis penicillata,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Guarea cristata,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Cranioleuca gutturata,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Quararibea guianensis,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Atticora fasciata,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea nigricans,FALSE,FALSE
Equisetopsida,Ericales,Sapotaceae,Ecclinusa lanceolata,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Philodendron wittianum,FALSE,FALSE
Equisetopsida,Lamiales,Gesneriaceae,Columnea ericae,FALSE,FALSE
Reptilia,Sauria,Gymnophthalmidae,Alopoglossus atriventris,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Cymbilaimus lineatus,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Euchrepomis spodioptila,FALSE,FALSE
Aves,Strigiformes,Strigidae,Megascops choliba,FALSE,FALSE
Aves,Galbuliformes,Galbulidae,Galbula chalcothorax,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Dendrocolaptes certhia,FALSE,FALSE
Actinopterygii,Characiformes,Characidae,Creagrutus cochui,FALSE,FALSE
Amphibia,Anura,Hylidae,Osteocephalus deridens,FALSE,FALSE
Equisetopsida,Myrtales,Combretaceae,Combretum laxum,FALSE,FALSE
Actinopterygii,Siluriformes,Pimelodidae,Brachyplatystoma filamentosum,FALSE,FALSE
Actinopterygii,Characiformes,Characidae,Axelrodia stigmatias,FALSE,FALSE
Equisetopsida,Sapindales,Burseraceae,Protium altsonii,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Quararibea wittii,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Hura crepitans,FALSE,FALSE
Equisetopsida,Myrtales,Combretaceae,Combretum llewelynii,FALSE,FALSE
Equisetopsida,Ericales,Sapotaceae,Pouteria torta,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Berlepschia rikeri,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Dacnis lineata,FALSE,FALSE
Mammalia,Rodentia,Dasyproctidae,Dasyprocta fuliginosa,FALSE,FALSE
Actinopterygii,Gymnotiformes,Gymnotidae,Electrophorus electricus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Sclerurus rufigularis,FALSE,FALSE
Actinopterygii,Siluriformes,Pimelodidae,Pimelodus ornatus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Philydor erythrocercum,FALSE,FALSE
Actinopterygii,Gymnotiformes,Apteronotidae,Compsaraia samueli,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Cochlearius cochlearius,FALSE,FALSE
Equisetopsida,Malpighiales,Salicaceae,Ryania speciosa,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Buteogallus meridionalis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiopagis gaimardii,FALSE,FALSE
Actinopterygii,Cichliformes,Cichlidae,Crenicichla anthurus,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium kunthii,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Iriartea deltoidea,FALSE,FALSE
Actinopterygii,Characiformes,Chalceidae,Chalceus macrolepidotus,FALSE,FALSE
Actinopterygii,Cichliformes,Cichlidae,Crenicichla johanna,FALSE,FALSE
Equisetopsida,Magnoliales,Annonaceae,Duguetia latifolia,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Aiphanes ulei,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Compsoneura capitellata,FALSE,FALSE
Equisetopsida,Malpighiales,Erythroxylaceae,Erythroxylum macrophyllum,FALSE,FALSE
Aves,Passeriformes,Icteridae,Icterus cayanensis,FALSE,FALSE
Mammalia,Carnivora,Mustelidae,Pteronura brasiliensis,FALSE,TRUE
Aves,Apodiformes,Apodidae,Chaetura brachyura,FALSE,FALSE
Amphibia,Anura,Aromobatidae,Allobates trilineatus,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Progne tapera,FALSE,FALSE
Actinopterygii,Cichliformes,Cichlidae,Crenicichla proteus,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Monasa morphoeus,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Cavanillesia umbellata,FALSE,FALSE
Actinopterygii,Characiformes,Curimatidae,Curimatella alburnus,FALSE,FALSE
Actinopterygii,Characiformes,Crenuchidae,Crenuchus spilurus,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Conceveiba guianensis,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Bertiera guianensis,FALSE,FALSE
Actinopterygii,Characiformes,Characidae,Moenkhausia oligolepis,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Querula purpurata,FALSE,FALSE
Actinopterygii,Siluriformes,Loricariidae,Rineloricaria lanceolata,FALSE,FALSE
Amphibia,Anura,Aromobatidae,Allobates femoralis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Rhytipterna simplex,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Paroaria gularis,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Conceveiba rhytidocarpa,FALSE,FALSE
Equisetopsida,Sapindales,Rutaceae,Conchocarpus ucayalinus,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Calycophyllum megistocaulum,FALSE,FALSE
Aves,Passeriformes,Icteridae,Molothrus bonariensis,FALSE,FALSE
Actinopterygii,Characiformes,Curimatidae,Cyphocharax spiluropsis,FALSE,FALSE
Aves,Galbuliformes,Bucconidae,Notharchus hyperrhynchus,FALSE,FALSE
Aves,Strigiformes,Strigidae,Glaucidium brasilianum,FALSE,FALSE
Actinopterygii,Cichliformes,Cichlidae,Astronotus ocellatus,FALSE,FALSE
Equisetopsida,Ericales,Lecythidaceae,Allantoma decandra,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Dendrocolaptes picumnus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Poecilotriccus latirostris,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Lipaugus vociferans,FALSE,FALSE
Actinopterygii,Characiformes,Curimatidae,Curimata aspera,FALSE,FALSE
Equisetopsida,Sapindales,Anacardiaceae,Anacardium giganteum,FALSE,FALSE
