Clase,Orden,Familia,Especie
Equisetopsida,Asparagales,Orchidaceae,"Ida gigantea"
Equisetopsida,Asparagales,Orchidaceae,"Ida locusta"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Equisetopsida,Ericales,Sapotaceae,"Manilkara bidentata"
Equisetopsida,Sapindales,Meliaceae,"Cedrela angustifolia"
Equisetopsida,Sapindales,Meliaceae,"Cedrela montana"
Equisetopsida,Fagales,Betulaceae,"Alnus acuminata"
Equisetopsida,Asparagales,Orchidaceae,"Paphinia cristata"
Mammalia,Cetartiodactyla,Cervidae,"Pudu mephistophiles"
Mammalia,Carnivora,Mustelidae,"Pteronura brasiliensis"
Mammalia,Cingulata,Dasypodidae,"Dasypus pilosus"
Amphibia,Anura,Bufonidae,"Atelopus oxapampae"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia amaluzae"
Equisetopsida,Asparagales,Orchidaceae,"Chaubardia klugii"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia aurorae"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia eumeliae"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia manchinazae"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria pyhalae"
Equisetopsida,Myrtales,Myrtaceae,"Psidium rutidocarpum"
Equisetopsida,Asparagales,Orchidaceae,"Fernandezia subbiflora"
Mammalia,Primates,Atelidae,"Lagothrix lagothricha"
Equisetopsida,Asparagales,Orchidaceae,"Fernandezia ionanthera"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus oleifolius"
Equisetopsida,Sapindales,Anacardiaceae,"Mauria heterophylla"
Equisetopsida,Podocarpales,Podocarpaceae,"Pectinopitys harmsiana"
Equisetopsida,Gentianales,Rubiaceae,"Cinchona calisaya"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria haemathodes"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria lepidota"
Equisetopsida,Asparagales,Orchidaceae,"Phragmipedium caudatum"
Equisetopsida,Myrtales,Myrtaceae,"Myrcia splendens"
Amphibia,Anura,Craugastoridae,"Phrynopus bracki"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia pendula"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia myrtilloides"
Equisetopsida,Asparagales,Orchidaceae,"Sobralia virginalis"
Amphibia,Anura,Craugastoridae,"Pristimantis leucorrhinus"
Amphibia,Anura,Craugastoridae,"Pristimantis bromeliaceus"
Equisetopsida,Asparagales,Orchidaceae,"Anguloa virginalis"
Aves,Psittaciformes,Psittacidae,"Primolius couloni"
Mammalia,Chiroptera,Vespertilionidae,"Eptesicus (Histiotus) velatus"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum tridens"
Aves,Passeriformes,Furnariidae,"Anabacerthia striaticollis"
Equisetopsida,Sapindales,Meliaceae,"Ruagea glabra"
Aves,Galliformes,Cracidae,"Aburria aburri"
Equisetopsida,Asparagales,Orchidaceae,"Oncidium wyattianum"
Equisetopsida,Asparagales,Orchidaceae,"Oncidium vulcanicum"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum micro-cattleya"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum melanoporphyreum"
Equisetopsida,Fabales,Fabaceae,"Copaifera paupera"
Aves,Psittaciformes,Psittacidae,"Hapalopsittaca melanotis"
Amphibia,Anura,Dendrobatidae,"Ameerega planipaleae"
Equisetopsida,Asparagales,Orchidaceae,"Houlletia sanderi"
Equisetopsida,Asparagales,Orchidaceae,"Houlletia wallisii"
Equisetopsida,Asparagales,Orchidaceae,"Huntleya burtii"
Equisetopsida,Asparagales,Orchidaceae,"Huntleya vargasii"
Amphibia,Anura,Bufonidae,"Rhinella yanachaga"
Equisetopsida,Asparagales,Orchidaceae,"Brassia rolandoi"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum birostratum"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea caracasana"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea delgadii"
Aves,Passeriformes,Cotingidae,"Doliornis sclateri"
Equisetopsida,Asparagales,Orchidaceae,"Gongora rufescens"
Equisetopsida,Asparagales,Orchidaceae,"Gongora latisepala"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Equisetopsida,Cycadales,Zamiaceae,"Zamia poeppigiana"
Mammalia,Chiroptera,Phyllostomidae,"Vampyressa melissa"
Mammalia,Rodentia,Cricetidae,"Thomasomys kalinowskii"
Mammalia,Rodentia,Cricetidae,"Thomasomys incanus"
Equisetopsida,Buxales,Buxaceae,"Styloceras laurifolium"
Aves,Tinamiformes,Tinamidae,"Tinamus osgoodi"
,,,
