Clase,Orden,Familia,Especie
Equisetopsida,Asparagales,Orchidaceae,"Scaphyglottis conferta"
Equisetopsida,Ericales,Marcgraviaceae,"Souroubea peruviana"
Equisetopsida,Asparagales,Orchidaceae,"Ida ariasii"
Equisetopsida,Cucurbitales,Begoniaceae,"Begonia monadelpha"
Equisetopsida,Zingiberales,Costaceae,"Costus productus var. productus"
Equisetopsida,Asparagales,Orchidaceae,"Ponthieva hermiliae"
Equisetopsida,Ericales,Ericaceae,"Cavendishia nobilis"
Equisetopsida,Fabales,Fabaceae,"Inga fosteriana"
Equisetopsida,Fabales,Polygalaceae,"Monnina marginata"
Amphibia,Anura,Hylidae,"Scinax oreites"
Equisetopsida,Asparagales,Orchidaceae,"Stenia bismarckii"
Mammalia,Rodentia,Cricetidae,"Akodon torques"
Equisetopsida,Arecales,Arecaceae,"Geonoma brongniartii subsp. pascoensis"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea ruiziana"
Equisetopsida,Asterales,Asteraceae,"Nordenstamia cajamarcensis"
Equisetopsida,Malvales,Malvaceae,"Ayenia cordata"
Equisetopsida,Asterales,Campanulaceae,"Centropogon featherstonei"
Aves,Passeriformes,Thraupidae,"Iridosornis reinhardti"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus acutirostris"
Equisetopsida,Pandanales,Cyclanthaceae,"Sphaeradenia angustifolia"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus femoralis"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus macropus"
Equisetopsida,Asparagales,Orchidaceae,"Cranichis calva"
Aves,Apodiformes,Trochilidae,"Elliotomyia viridicauda"
Amphibia,Anura,Hemiphractidae,"Gastrotheca griswoldi"
Equisetopsida,Asparagales,Orchidaceae,"Elleanthus virgatus"
Aves,Passeriformes,Thraupidae,"Nephelornis oneilli"
Equisetopsida,Asparagales,Orchidaceae,"Cyrtochilum cordatum"
Mammalia,Cingulata,Dasypodidae,"Dasypus pilosus"
Equisetopsida,Ericales,Primulaceae,"Cybianthus flavovirens"
Equisetopsida,Gentianales,Rubiaceae,"Joosia dichotoma"
