Clase,Orden,Familia,Especie
Equisetopsida,Lamiales,Gesneriaceae,"Corytoplectus speciosus var. orbicularis"
Equisetopsida,Gentianales,Rubiaceae,"Bertiera angustifolia"
Equisetopsida,Asparagales,Orchidaceae,"Scaphosepalum atropurpureum"
Equisetopsida,Asparagales,Orchidaceae,"Scaphyglottis bidentata"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea compta"
Insecta,Lepidoptera,Nymphalidae,"Catagramma hystaspes"
Insecta,Lepidoptera,Nymphalidae,"Catagramma pyracmon"
Equisetopsida,Asparagales,Orchidaceae,"Scaphyglottis boliviensis"
Equisetopsida,Alismatales,Araceae,"Philodendron fragrantissimum"
Equisetopsida,Proteales,Sabiaceae,"Meliosma glossophylla"
Equisetopsida,Asparagales,Orchidaceae,"Scaphyglottis conferta"
Equisetopsida,Ericales,Marcgraviaceae,"Souroubea peruviana"
Aves,Passeriformes,Thraupidae,"Catamblyrhynchus diadema"
Equisetopsida,Asparagales,Orchidaceae,"Scaphyglottis graminifolia"
Equisetopsida,Asparagales,Orchidaceae,"Gomphichis macbridei"
Equisetopsida,Asparagales,Orchidaceae,"Gomphichis longifolia"
Equisetopsida,Asparagales,Orchidaceae,"Scaphyglottis punctulata"
Equisetopsida,Zingiberales,Marantaceae,"Goeppertia undulata"
Equisetopsida,Zingiberales,Marantaceae,"Goeppertia standleyi"
Aves,Accipitriformes,Accipitridae,"Ictinia plumbea"
Equisetopsida,Zingiberales,Marantaceae,"Goeppertia propinqua"
Aves,Passeriformes,Thraupidae,"Catamenia homochroa"
Equisetopsida,Zingiberales,Marantaceae,"Goeppertia poeppigiana"
Equisetopsida,Asparagales,Orchidaceae,"Ida ariasii"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea dichotoma"
Equisetopsida,Zingiberales,Costaceae,"Costus arabicus"
Equisetopsida,Asparagales,Orchidaceae,"Ida castanea"
Equisetopsida,Myrtales,Melastomataceae,"Bellucia pentamera"
Equisetopsida,Asparagales,Orchidaceae,"Ida cobbiana"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea falcata"
Equisetopsida,Asparagales,Orchidaceae,"Ida costata"
Equisetopsida,Zingiberales,Marantaceae,"Goeppertia dicephala"
Equisetopsida,Asparagales,Orchidaceae,"Ida gigantea"
Equisetopsida,Asparagales,Orchidaceae,"Ida jamesiorum"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea flaviflora"
Equisetopsida,Myrtales,Melastomataceae,"Miconia multispicata"
Equisetopsida,Lamiales,Lamiaceae,"Aegiphila elegans"
Equisetopsida,Asparagales,Orchidaceae,"Stelis aviceps"
Aves,Passeriformes,Thraupidae,"Catamenia inornata"
Aves,Psittaciformes,Psittacidae,"Pionus tumultuosus"
Equisetopsida,Asparagales,Orchidaceae,"Ida laciniata"
Equisetopsida,Asparagales,Orchidaceae,"Catasetum gnomus"
Equisetopsida,Asparagales,Orchidaceae,"Ida locusta"
Equisetopsida,Polypodiales,Polypodiaceae,"Pleopeltis remota"
Aves,Piciformes,Ramphastidae,"Ramphastos ambiguus"
Equisetopsida,Asparagales,Orchidaceae,"Ida reichenbachii"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea lechleri"
Equisetopsida,Zingiberales,Costaceae,"Costus guanaiensis var. guanaiensis"
