Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Lamiales,Gesneriaceae,Corytoplectus speciosus var. orbicularis,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Bertiera angustifolia,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Scaphosepalum atropurpureum,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Scaphyglottis bidentata,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea compta,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Catagramma hystaspes,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Catagramma pyracmon,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Scaphyglottis boliviensis,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Philodendron fragrantissimum,FALSE,FALSE
Equisetopsida,Proteales,Sabiaceae,Meliosma glossophylla,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Scaphyglottis conferta,TRUE,FALSE
Equisetopsida,Ericales,Marcgraviaceae,Souroubea peruviana,TRUE,FALSE
Aves,Passeriformes,Thraupidae,Catamblyrhynchus diadema,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Scaphyglottis graminifolia,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Gomphichis macbridei,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Gomphichis longifolia,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Scaphyglottis punctulata,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Goeppertia undulata,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Goeppertia standleyi,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Ictinia plumbea,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Goeppertia propinqua,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Catamenia homochroa,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Goeppertia poeppigiana,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Ida ariasii,TRUE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea dichotoma,FALSE,FALSE
Equisetopsida,Zingiberales,Costaceae,Costus arabicus,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Ida castanea,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Bellucia pentamera,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Ida cobbiana,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea falcata,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Ida costata,FALSE,FALSE
Equisetopsida,Zingiberales,Marantaceae,Goeppertia dicephala,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Ida gigantea,FALSE,TRUE
Equisetopsida,Asparagales,Orchidaceae,Ida jamesiorum,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea flaviflora,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia multispicata,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Aegiphila elegans,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Stelis aviceps,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Catamenia inornata,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Pionus tumultuosus,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Ida laciniata,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Catasetum gnomus,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Ida locusta,FALSE,TRUE
Equisetopsida,Polypodiales,Polypodiaceae,Pleopeltis remota,FALSE,FALSE
Aves,Piciformes,Ramphastidae,Ramphastos ambiguus,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Ida reichenbachii,FALSE,FALSE
Equisetopsida,Cyatheales,Cyatheaceae,Cyathea lechleri,FALSE,FALSE
Equisetopsida,Zingiberales,Costaceae,Costus guanaiensis var. guanaiensis,FALSE,FALSE
Equisetopsida,Gnetales,Gnetaceae,Gnetum nodiflorum,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Mandevilla glandulosa,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea gemmiflora,FALSE,FALSE
Equisetopsida,Polypodiales,Pteridaceae,Radiovittaria stipitata,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila angolensis,FALSE,FALSE
Equisetopsida,Aquifoliales,Aquifoliaceae,Ilex anonoides,FALSE,FALSE
Equisetopsida,Ericales,Ericaceae,Bejaria aestuans,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Spathiphyllum cannifolium,FALSE,FALSE
Equisetopsida,Polypodiales,Pteridaceae,Radiovittaria ruiziana,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea gracilenta,FALSE,FALSE
Equisetopsida,Laurales,Lauraceae,Beilschmiedia tovarensis,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Altensteinia fimbriata,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Glyphorynchus spirurus,FALSE,FALSE
Equisetopsida,Laurales,Lauraceae,Beilschmiedia latifolia,FALSE,FALSE
Equisetopsida,Aquifoliales,Aquifoliaceae,Ilex guayusa,FALSE,FALSE
Equisetopsida,Laurales,Lauraceae,Endlicheria ruforamula,FALSE,FALSE
Equisetopsida,Polypodiales,Pteridaceae,Radiovittaria moritziana,FALSE,FALSE
Equisetopsida,Laurales,Lauraceae,Beilschmiedia costaricensis,FALSE,FALSE
Equisetopsida,Cucurbitales,Begoniaceae,Begonia urticae,FALSE,FALSE
Equisetopsida,Aquifoliales,Aquifoliaceae,Ilex inundata,FALSE,FALSE
Equisetopsida,Zingiberales,Costaceae,Costus guanaiensis var. tarmicus,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Spathiphyllum juninense,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea guianensis,FALSE,FALSE
Equisetopsida,Aquifoliales,Aquifoliaceae,Ilex juttana,FALSE,FALSE
Equisetopsida,Cucurbitales,Begoniaceae,Begonia semiovata,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Glycydendron amazonicum,FALSE,FALSE
Equisetopsida,Zingiberales,Costaceae,Costus lasius,FALSE,FALSE
Equisetopsida,Cucurbitales,Begoniaceae,Begonia rossmanniae,FALSE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Mandevilla rugellosa,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Racinaea seemannii,FALSE,FALSE
Equisetopsida,Cyatheales,Cyatheaceae,Alsophila erinacea,FALSE,FALSE
Equisetopsida,Lamiales,Gesneriaceae,Gloxinia xanthophylla,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Cathartes aura,FALSE,FALSE
Equisetopsida,Laurales,Monimiaceae,Mollinedia lanceolata,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Schistes geoffroyi,FALSE,FALSE
Equisetopsida,Aquifoliales,Aquifoliaceae,Ilex laurina,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea herrerae,FALSE,FALSE
Equisetopsida,Laurales,Lauraceae,Endlicheria rubriflora,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Glossophaga soricina,FALSE,FALSE
Equisetopsida,Cucurbitales,Begoniaceae,Begonia peruviana,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Ponthieva villosa,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia centrodesma,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea hoffmannseggiana,FALSE,FALSE
Equisetopsida,Aquifoliales,Aquifoliaceae,Ilex microphylla,FALSE,FALSE
Equisetopsida,Aquifoliales,Aquifoliaceae,Ilex nayana,FALSE,FALSE
Equisetopsida,Cucurbitales,Begoniaceae,Begonia parviflora,FALSE,FALSE
Equisetopsida,Lamiales,Gesneriaceae,Glossoloma medusaeum,FALSE,FALSE
Equisetopsida,Lamiales,Gesneriaceae,Glossoloma ichthyoderma,FALSE,FALSE
Equisetopsida,Cucurbitales,Begoniaceae,Begonia monadelpha,TRUE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea huantensis,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Cathartes melambrotus,FALSE,FALSE
