Clase,Orden,Familia,Especie
Aves,Cuculiformes,Cuculidae,"Crotophaga sulcirostris"
Equisetopsida,Aquifoliales,Cardiopteridaceae,"Citronella ilicifolia"
Equisetopsida,Poales,Poaceae,"Agrostis tolucensis"
Aves,Piciformes,Picidae,"Campephilus haematogaster"
Mammalia,Rodentia,Cricetidae,"Nephelomys albigularis"
Equisetopsida,Apiales,Araliaceae,"Oreopanax oroyanus"
Equisetopsida,Polypodiales,Blechnaceae,"Lomaridium binervatum"
Equisetopsida,Caryophyllales,Cactaceae,"Rhipsalis micrantha"
Equisetopsida,Polypodiales,Blechnaceae,"Salpichlaena volubilis"
Aves,Apodiformes,Trochilidae,"Colibri cyanotus"
Aves,Passeriformes,Thraupidae,"Sporophila luctuosa"
Equisetopsida,Lycopodiales,Lycopodiaceae,"Lycopodium jussiaei"
Aves,Accipitriformes,Accipitridae,"Accipiter striatus"
Equisetopsida,Malpighiales,Passifloraceae,"Passiflora cumbalensis"
Mammalia,Cetartiodactyla,Cervidae,"Odocoileus peruvianus"
Equisetopsida,Piperales,Piperaceae,"Peperomia pseudophyllantha"
Aves,Passeriformes,Thraupidae,"Pipraeidea melanonota"
Equisetopsida,Myrtales,Melastomataceae,"Miconia asperrima"
Aves,Passeriformes,Tyrannidae,"Serpophaga cinerea"
Equisetopsida,Fabales,Fabaceae,"Dalea onobrychis"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum lunatus"
Equisetopsida,Polypodiales,Blechnaceae,"Lomaridium fuscosquamosum"
Equisetopsida,Rosales,Rosaceae,"Prunus ruiziana"
Equisetopsida,Poales,Cyperaceae,"Cyperus tabina"
Aves,Passeriformes,Cotingidae,"Ampelion rufaxilla"
Aves,Apodiformes,Trochilidae,"Heliomaster longirostris"
Aves,Passeriformes,Cardinalidae,"Piranga rubriceps"
Equisetopsida,Cornales,Hydrangeaceae,"Hydrangea peruviana"
Equisetopsida,Polypodiales,Blechnaceae,"Lomariocycas schomburgkii"
Equisetopsida,Gentianales,Rubiaceae,"Galium hypocarpium"
Equisetopsida,Malpighiales,Clusiaceae,"Clusia weberbaueri"
Equisetopsida,Solanales,Solanaceae,"Cestrum auriculatum"
Equisetopsida,Alismatales,Araceae,"Anthurium nigrescens"
Mammalia,Rodentia,Cricetidae,"Akodon mollis"
Equisetopsida,Lycopodiales,Lycopodiaceae,"Lycopodium thyoides"
Equisetopsida,Selaginellales,Selaginellaceae,"Selaginella silvestris"
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis lotoides"
Equisetopsida,Lycopodiales,Lycopodiaceae,"Lycopodium vestitum"
Amphibia,Anura,Centrolenidae,"Cochranella euhystrix"
Equisetopsida,Poales,Cyperaceae,"Cyperus mutisii"
Equisetopsida,Laurales,Lauraceae,"Nectandra discolor"
Aves,Passeriformes,Icteridae,"Molothrus oryzivorus"
Equisetopsida,Polypodiales,Cystopteridaceae,"Cystopteris fragilis"
Equisetopsida,Rosales,Rosaceae,"Rubus sparsiflorus"
Equisetopsida,Rosales,Rosaceae,"Rubus roseus"
Equisetopsida,Malpighiales,Euphorbiaceae,"Croton callicarpifolius"
Equisetopsida,Caryophyllales,Phytolaccaceae,"Phytolacca rivinoides"
Equisetopsida,Polypodiales,Dryopteridaceae,"Polystichum montevidense var. Montevidense"
Equisetopsida,Polypodiales,Nephrolepidaceae,"Nephrolepis cordifolia"
Aves,Passeriformes,Cardinalidae,"Piranga flava"
Equisetopsida,Asterales,Asteraceae,"Erechtites hieraciifolius"
Equisetopsida,Poales,Poaceae,"Melinis minutiflora"
Equisetopsida,Malpighiales,Euphorbiaceae,"Alchornea grandiflora"
Equisetopsida,Myrtales,Melastomataceae,"Miconia aspergillaris"
Equisetopsida,Polypodiales,Athyriaceae,"Diplazium roemerianum"
Equisetopsida,Asterales,Asteraceae,"Philoglossa mimuloides"
Equisetopsida,Laurales,Lauraceae,"Persea subcordata"
Aves,Passeriformes,Tyrannidae,"Camptostoma obsoletum"
Equisetopsida,Gentianales,Rubiaceae,"Arcytophyllum peruvianum"
Equisetopsida,Malpighiales,Salicaceae,"Pineda incana"
Aves,Apodiformes,Trochilidae,"Coeligena coeligena"
Aves,Apodiformes,Trochilidae,"Ocreatus underwoodii"
Aves,Piciformes,Picidae,"Dryobates fumigatus"
Equisetopsida,Fabales,Fabaceae,"Senna monilifera"
Equisetopsida,Malpighiales,Lacistemataceae,"Lozania mutisiana"
Equisetopsida,Solanales,Solanaceae,"Solanum saponaceum"
Equisetopsida,Polypodiales,Polypodiaceae,"Campyloneurum aglaolepis"
Aves,Passeriformes,Cotingidae,"Ampelion rubrocristatus"
Equisetopsida,Gentianales,Rubiaceae,"Nertera granadensis"
Equisetopsida,Asterales,Asteraceae,"Oritrophium aciculifolium"
Equisetopsida,Myrtales,Melastomataceae,"Monochaetum lineatum"
Equisetopsida,Gentianales,Rubiaceae,"Arcytophyllum rivetii"
Aves,Passeriformes,Troglodytidae,"Henicorhina leucophrys"
Equisetopsida,Apiales,Araliaceae,"Hydrocotyle humboldtii"
Equisetopsida,Rosales,Rosaceae,"Rubus floribundus"
Equisetopsida,Asterales,Asteraceae,"Perymenium jelskii"
Equisetopsida,Gentianales,Rubiaceae,"Arcytophyllum setosum"
Aves,Passeriformes,Tyrannidae,"Phyllomyias uropygialis"
Equisetopsida,Polypodiales,Polypodiaceae,"Microgramma fosteri"
Equisetopsida,Polypodiales,Polypodiaceae,"Campyloneurum amphostenon"
Equisetopsida,Polypodiales,Polypodiaceae,"Microgramma latevagans"
Aves,Passeriformes,Tyrannidae,"Myiarchus tuberculifer"
Aves,Apodiformes,Trochilidae,"Coeligena iris"
Equisetopsida,Malpighiales,Euphorbiaceae,"Alchornea latifolia"
Aves,Passeriformes,Furnariidae,"Pseudocolaptes boissonneautii"
Equisetopsida,Solanales,Solanaceae,"Solanum selachophyllum"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea ruiziana"
Equisetopsida,Arecales,Arecaceae,"Ceroxylon vogelianum"
Aves,Columbiformes,Columbidae,"Patagioenas fasciata"
Aves,Passeriformes,Passerellidae,"Arremon brunneinucha"
Equisetopsida,Ericales,Primulaceae,"Cybianthus pastensis"
Equisetopsida,Polypodiales,Polypodiaceae,"Campyloneurum asplundii"
Equisetopsida,Malpighiales,Euphorbiaceae,"Alchornea pearcei"
Equisetopsida,Fabales,Fabaceae,"Paraserianthes lophantha"
Equisetopsida,Asterales,Asteraceae,"Erato polymnioides"
Equisetopsida,Laurales,Lauraceae,"Ocotea ovalifolia"
Equisetopsida,Asterales,Asteraceae,"Gynoxys cutervensis"
Mammalia,Rodentia,Cuniculidae,"Cuniculus taczanowskii"
Equisetopsida,Poales,Poaceae,"Eragrostis nigricans"
Equisetopsida,Solanales,Solanaceae,"Solanum asperolanatum"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum jajense"
Equisetopsida,Asparagales,Orchidaceae,"Acianthera pantasmoides"
Equisetopsida,Piperales,Piperaceae,"Peperomia foliiflora"
Equisetopsida,Caryophyllales,Nyctaginaceae,"Colignonia rufopilosa"
Equisetopsida,Myrtales,Melastomataceae,"Pleroma ochypetalum"
Equisetopsida,Asterales,Asteraceae,"Gynoxys congestiflora"
Equisetopsida,Solanales,Solanaceae,"Physalis peruviana"
Equisetopsida,Polypodiales,Pteridaceae,"Doryopteris crenulans"
Equisetopsida,Asparagales,Orchidaceae,"Sobralia rosea"
Equisetopsida,Polypodiales,Thelypteridaceae,"Macrothelypteris torresiana"
Equisetopsida,Schizaeales,Anemiaceae,"Anemia flexuosa"
Equisetopsida,Polypodiales,Polypodiaceae,"Melpomene moniliformis"
Equisetopsida,Piperales,Piperaceae,"Piper evingeri"
Equisetopsida,Polypodiales,Polypodiaceae,"Campyloneurum ophiocaulon"
Equisetopsida,Piperales,Piperaceae,"Peperomia tetraphylla"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria calycina"
Equisetopsida,Polypodiales,Dryopteridaceae,"Elaphoglossum erinaceum"
Equisetopsida,Polypodiales,Polypodiaceae,"Campyloneurum pascoense"
Equisetopsida,Polypodiales,Lindsaeaceae,"Lindsaea divaricata"
Equisetopsida,Asterales,Asteraceae,"Mikania aschersonii"
Equisetopsida,Asterales,Asteraceae,"Aequatorium cajamarcense"
Equisetopsida,Polypodiales,Dryopteridaceae,"Elaphoglossum paleaceum"
Equisetopsida,Asterales,Asteraceae,"Gamochaeta americana"
Equisetopsida,Laurales,Lauraceae,"Ocotea jelskii"
Equisetopsida,Fabales,Fabaceae,"Crotalaria sagittalis"
Equisetopsida,Asparagales,Orchidaceae,"Prosthechea vespa"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria discotheca"
Equisetopsida,Cornales,Loasaceae,"Mentzelia aspera"
Aves,Passeriformes,Thraupidae,"Sporophila nigricollis"
Equisetopsida,Cornales,Loasaceae,"Klaprothia mentzelioides"
Equisetopsida,Poales,Poaceae,"Andropogon lateralis"
Equisetopsida,Asparagales,Orchidaceae,"Stelis kefersteiniana"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria divaricata"
Equisetopsida,Alismatales,Araceae,"Anthurium triphyllum"
Equisetopsida,Lamiales,Plantaginaceae,"Stemodia suffruticosa"
Aves,Steatornithiformes,Steatornithidae,"Steatornis caripensis"
Equisetopsida,Myrtales,Melastomataceae,"Brachyotum quinquenerve"
Aves,Apodiformes,Trochilidae,"Klais guimeti"
Aves,Passeriformes,Tyrannidae,"Mecocerculus minor"
Aves,Accipitriformes,Accipitridae,"Chondrohierax uncinatus"
Equisetopsida,Poales,Poaceae,"Andropogon bicornis"
Aves,Psittaciformes,Psittacidae,"Psilopsiagon aurifrons"
Equisetopsida,Myrtales,Melastomataceae,"Miconia lasiocalyx"
Equisetopsida,Poales,Bromeliaceae,"Guzmania morreniana"
Equisetopsida,Myrtales,Melastomataceae,"Brachyotum cutervoanum"
Equisetopsida,Myrtales,Melastomataceae,"Brachyotum coronatum"
Equisetopsida,Alismatales,Araceae,"Anthurium microspadix"
Equisetopsida,Asterales,Asteraceae,"Onoseris speciosa"
Equisetopsida,Poales,Bromeliaceae,"Guzmania cuzcoensis"
Equisetopsida,Laurales,Lauraceae,"Ocotea floribunda"
Equisetopsida,Equisetales,Equisetaceae,"Equisetum bogotense"
Aves,Apodiformes,Trochilidae,"Lesbia victoriae"
Equisetopsida,Asterales,Asteraceae,"Diplostephium jelskii"
Equisetopsida,Celastrales,Celastraceae,"Maytenus jelskii"
Equisetopsida,Piperales,Piperaceae,"Piper lineatum"
Equisetopsida,Malpighiales,Euphorbiaceae,"Acalypha padifolia"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria huancabambae"
Aves,Psittaciformes,Psittacidae,"Aratinga weddellii"
Equisetopsida,Polypodiales,Athyriaceae,"Diplazium sanctae-rosae"
Equisetopsida,Poales,Poaceae,"Aulonemia haenkei"
Aves,Passeriformes,Parulidae,"Myiothlypis nigrocristata"
Equisetopsida,Solanales,Solanaceae,"Solanum caripense"
Aves,Passeriformes,Fringillidae,"Euphonia chlorotica"
Aves,Passeriformes,Passerellidae,"Arremon torquatus"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria luteocalyx"
Aves,Passeriformes,Cotingidae,"Rupicola peruvianus"
Equisetopsida,Poales,Poaceae,"Aulonemia longiaristata"
Equisetopsida,Asterales,Asteraceae,"Mikania szyszylowiczii"
Aves,Passeriformes,Thraupidae,"Saltator striatipectus"
Equisetopsida,Polypodiales,Blechnaceae,"Austroblechnum divergens"
Equisetopsida,Solanales,Solanaceae,"Solanum clivorum"
Equisetopsida,Cornales,Myrtaceae,"Myrcia fallax"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia ustulata"
Equisetopsida,Lamiales,Lamiaceae,"Salvia florida"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria nivalis"
Aves,Strigiformes,Strigidae,"Ciccaba albitarsis"
Equisetopsida,Lamiales,Lamiaceae,"Salvia hirta"
Equisetopsida,Asparagales,Orchidaceae,"Elleanthus aurantiacus"
Amphibia,Anura,Hemiphractidae,"Gastrotheca aratia"
Equisetopsida,Lamiales,Lamiaceae,"Salvia macrophylla"
Equisetopsida,Polypodiales,Dennstaedtiaceae,"Dennstaedtia dissecta"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria oreophila"
Equisetopsida,Laurales,Lauraceae,"Ocotea benthamiana"
Amphibia,Anura,Hemiphractidae,"Gastrotheca monticola"
Equisetopsida,Fabales,Polygalaceae,"Securidaca coriacea"
Equisetopsida,Lamiales,Lamiaceae,"Salvia ochrantha"
Equisetopsida,Myrtales,Melastomataceae,"Miconia egregia"
Equisetopsida,Asterales,Asteraceae,"Coreopsis venusta"
Equisetopsida,Caryophyllales,Polygonaceae,"Muehlenbeckia tiliifolia"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria pavonii"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Hymenophyllum axillare"
Equisetopsida,Malvales,Malvaceae,"Pavonia sepium"
Equisetopsida,Lamiales,Lamiaceae,"Salvia oppositiflora"
Equisetopsida,Ericales,Clethraceae,"Clethra cuneata"
Equisetopsida,Asterales,Asteraceae,"Mikania bulbisetifera"
Aves,Columbiformes,Columbidae,"Columba livia"
Equisetopsida,Asparagales,Orchidaceae,"Oncidium pentadactylon"
Equisetopsida,Poales,Poaceae,"Paspalum saccharoides"
Equisetopsida,Asparagales,Orchidaceae,"Oncidium macranthum"
Equisetopsida,Ericales,Ericaceae,"Gaultheria erecta"
Equisetopsida,Rosales,Rosaceae,"Prunus integrifolia"
Aves,Passeriformes,Thraupidae,"Sphenopsis melanotis"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Hymenophyllum fragile"
Equisetopsida,Polypodiales,Pteridaceae,"Adiantum anceps"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Hymenophyllum fucoides"
Equisetopsida,Lamiales,Lamiaceae,"Salvia scutellarioides"
Aves,Cuculiformes,Cuculidae,"Piaya cayana"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Hymenophyllum lamellatum"
