Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Cuculiformes,Cuculidae,Crotophaga sulcirostris,FALSE,FALSE
Equisetopsida,Aquifoliales,Cardiopteridaceae,Citronella ilicifolia,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Agrostis tolucensis,FALSE,FALSE
Aves,Piciformes,Picidae,Campephilus haematogaster,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Nephelomys albigularis,FALSE,FALSE
Equisetopsida,Apiales,Araliaceae,Oreopanax oroyanus,FALSE,FALSE
Equisetopsida,Polypodiales,Blechnaceae,Lomaridium binervatum,FALSE,FALSE
Equisetopsida,Caryophyllales,Cactaceae,Rhipsalis micrantha,FALSE,FALSE
Equisetopsida,Polypodiales,Blechnaceae,Salpichlaena volubilis,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Colibri cyanotus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila luctuosa,FALSE,FALSE
Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium jussiaei,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Accipiter striatus,FALSE,FALSE
Equisetopsida,Malpighiales,Passifloraceae,Passiflora cumbalensis,FALSE,FALSE
Mammalia,Cetartiodactyla,Cervidae,Odocoileus peruvianus,FALSE,FALSE
Equisetopsida,Piperales,Piperaceae,Peperomia pseudophyllantha,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Pipraeidea melanonota,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia asperrima,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Serpophaga cinerea,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Dalea onobrychis,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Epidendrum lunatus,FALSE,FALSE
Equisetopsida,Polypodiales,Blechnaceae,Lomaridium fuscosquamosum,FALSE,FALSE
Equisetopsida,Rosales,Rosaceae,Prunus ruiziana,FALSE,TRUE
Equisetopsida,Poales,Cyperaceae,Cyperus tabina,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Ampelion rufaxilla,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Heliomaster longirostris,FALSE,FALSE
Aves,Passeriformes,Cardinalidae,Piranga rubriceps,FALSE,FALSE
Equisetopsida,Cornales,Hydrangeaceae,Hydrangea peruviana,FALSE,FALSE
Equisetopsida,Polypodiales,Blechnaceae,Lomariocycas schomburgkii,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Galium hypocarpium,FALSE,FALSE
Equisetopsida,Malpighiales,Clusiaceae,Clusia weberbaueri,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Cestrum auriculatum,FALSE,FALSE
Equisetopsida,Alismatales,Araceae,Anthurium nigrescens,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Akodon mollis,FALSE,FALSE
Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium thyoides,FALSE,FALSE
Equisetopsida,Selaginellales,Selaginellaceae,Selaginella silvestris,FALSE,FALSE
Equisetopsida,Oxalidales,Oxalidaceae,Oxalis lotoides,FALSE,FALSE
Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium vestitum,FALSE,FALSE
Amphibia,Anura,Centrolenidae,Cochranella euhystrix,TRUE,TRUE
Equisetopsida,Poales,Cyperaceae,Cyperus mutisii,FALSE,FALSE
Equisetopsida,Laurales,Lauraceae,Nectandra discolor,FALSE,FALSE
Aves,Passeriformes,Icteridae,Molothrus oryzivorus,FALSE,FALSE
Equisetopsida,Polypodiales,Cystopteridaceae,Cystopteris fragilis,FALSE,FALSE
Equisetopsida,Rosales,Rosaceae,Rubus sparsiflorus,TRUE,FALSE
Equisetopsida,Rosales,Rosaceae,Rubus roseus,FALSE,FALSE
Equisetopsida,Malpighiales,Euphorbiaceae,Croton callicarpifolius,FALSE,FALSE
Equisetopsida,Caryophyllales,Phytolaccaceae,Phytolacca rivinoides,FALSE,FALSE
Equisetopsida,Polypodiales,Dryopteridaceae,Polystichum montevidense var. Montevidense,FALSE,FALSE
