Clase,Orden,Familia,Especie
Equisetopsida,Myrtales,Melastomataceae,"Triolena allardii"
Equisetopsida,Lamiales,Acanthaceae,"Streblacanthus amoenus"
Aves,Passeriformes,Tyrannidae,"Zimmerius viridiflavus"
Equisetopsida,Arecales,Arecaceae,"Astrocaryum huicungo"
Equisetopsida,Asparagales,Orchidaceae,"Oncidium ariasii"
Equisetopsida,Asparagales,Orchidaceae,"Rodriguezia satipoana"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia manningii"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia kuhniorum"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum gastrochilum"
Reptilia,Sauria,Gymnophthalmidae,"Riama laudahnae"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia concinna"
Equisetopsida,Piperales,Piperaceae,"Piper admirabile"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum compressibulbum"
Equisetopsida,Asparagales,Orchidaceae,"Macroclinium aurorae"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum chanchamayodifforme"
Mammalia,Rodentia,Sciuridae,"Hadrosciurus pyrrhinus"
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis ortgiesii"
Equisetopsida,Poales,Bromeliaceae,"Bromelia tarapotina"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum bidens"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum bicirrhatum"
Equisetopsida,Magnoliales,Annonaceae,"Guatteria modesta"
Equisetopsida,Liliales,Alstroemeriaceae,"Bomarea cordifolia"
Equisetopsida,Gentianales,Rubiaceae,"Malanea cylindrica"
Reptilia,Sauria,Hoplocercidae,"Enyalioides feiruzae"
Equisetopsida,Gentianales,Rubiaceae,"Pagamea dudleyi"
Aves,Passeriformes,Thraupidae,"Ramphocelus melanogaster"
Mammalia,Didelphimorphia,Didelphidae,"Marmosa (Marmosa) macrotarsus"
Equisetopsida,Asparagales,Orchidaceae,"Ponthieva hermiliae"
Amphibia,Anura,Centrolenidae,"Nymphargus mariae"
Equisetopsida,Asparagales,Orchidaceae,"Benzingia jarae"
Equisetopsida,Sapindales,Sapindaceae,"Allophylus densiflorus"
Aves,Passeriformes,Pipridae,"Lepidothrix coeruleocapilla"
Mammalia,Primates,Cebidae,"Aotus miconax"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria huanucoensis"
Equisetopsida,Gentianales,Rubiaceae,"Cinchona micrantha"
Equisetopsida,Ericales,Primulaceae,"Clavija macrocarpa"
Equisetopsida,Alismatales,Araceae,"Anthurium reflexinervium"
Equisetopsida,Alismatales,Araceae,"Anthurium huanucense"
Equisetopsida,Alismatales,Araceae,"Anthurium gracilipedunculatum"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria edwardsii"
Equisetopsida,Cornales,Loasaceae,"Nasa tingomariensis"
Equisetopsida,Asparagales,Orchidaceae,"Lockhartia genegeorgei"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria azulensis"
Equisetopsida,Asparagales,Orchidaceae,"Lockhartia lepticaula"
Amphibia,Anura,Craugastoridae,"Pristimantis rhabdolaemus"
Amphibia,Anura,Craugastoridae,"Pristimantis rhabdocnemus"
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria scorpioidea"
Reptilia,Sauria,Dactyloidae,"Anolis boettgeri"
Amphibia,Anura,Craugastoridae,"Pristimantis minutulus"
Amphibia,Anura,Craugastoridae,"Pristimantis mendax"
Amphibia,Anura,Craugastoridae,"Pristimantis imitatrix"
Amphibia,Anura,Craugastoridae,"Pristimantis cruciocularis"
Amphibia,Anura,Craugastoridae,"Pristimantis adiastolus"
Equisetopsida,Asparagales,Orchidaceae,"Pleurothallis pruinosa"
Equisetopsida,Asparagales,Orchidaceae,"Dichaea pendula"
Equisetopsida,Asparagales,Orchidaceae,"Andinia tingomariana"
Equisetopsida,Asparagales,Orchidaceae,"Andinia barba-caprina"
Equisetopsida,Polypodiales,Aspleniaceae,"Asplenium divaricatum"
Equisetopsida,Asparagales,Orchidaceae,"Mesadenella peruviana"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum schizoclinandrium"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum pseudoanceps"
Amphibia,Anura,Microhylidae,"Chiasmocleis tridactyla"
Amphibia,Anura,Craugastoridae,"Oreobates saxatilis"
,,,
