Clase,Orden,Familia,Especie
Equisetopsida,Asparagales,Orchidaceae,"Xylobium colleyi"
Aves,Apodiformes,Trochilidae,"Thalurania furcata"
Aves,Trogoniformes,Trogonidae,"Trogon curucui"
Equisetopsida,Asparagales,Orchidaceae,"Teuscheria dodsonii"
Aves,Trogoniformes,Trogonidae,"Trogon collaris"
Equisetopsida,Ericales,Symplocaceae,"Symplocos coriacea"
Equisetopsida,Lamiales,Cordiaceae,"Varronia spinescens"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Equisetopsida,Brassicales,Caricaceae,"Vasconcellea parviflora"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus guttatus"
Equisetopsida,Asterales,Asteraceae,"Vernonanthura patens"
Equisetopsida,Asparagales,Orchidaceae,"Trizeuxis falcata"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira magna"
Equisetopsida,Malvales,Malvaceae,"Triumfetta grandiflora"
Equisetopsida,Caryophyllales,Polygonaceae,"Triplaris poeppigiana"
Equisetopsida,Caryophyllales,Polygonaceae,"Triplaris peruviana"
Equisetopsida,Caryophyllales,Polygonaceae,"Triplaris americana"
Insecta,Lepidoptera,Riodinidae,"Synargis ochra"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira oporaphilum"
Equisetopsida,Myrtales,Melastomataceae,"Triolena allardii"
Mammalia,Chiroptera,Phyllostomidae,"Trinycteris nicefori"
Aves,Passeriformes,Thraupidae,"Tersina viridis"
Insecta,Lepidoptera,Hesperiidae,"Vinius tryhana istria"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira tildae"
Equisetopsida,Magnoliales,Annonaceae,"Unonopsis guatterioides"
Equisetopsida,Asparagales,Orchidaceae,"Trichosalpinx dura"
Equisetopsida,Asparagales,Orchidaceae,"Trichosalpinx ciliaris"
Equisetopsida,Asparagales,Orchidaceae,"Trichopilia fragrans"
Aves,Passeriformes,Vireonidae,"Vireo flavoviridis"
Aves,Passeriformes,Vireonidae,"Vireolanius leucotis"
Aves,Passeriformes,Vireonidae,"Vireo olivaceus"
Equisetopsida,Asparagales,Orchidaceae,"Trichocentrum nanum"
Equisetopsida,Sapindales,Meliaceae,"Trichilia septentrionalis"
Equisetopsida,Magnoliales,Myristicaceae,"Virola calophylla"
Equisetopsida,Magnoliales,Myristicaceae,"Virola elongata"
Equisetopsida,Myrtales,Combretaceae,"Terminalia viridiflora"
Equisetopsida,Sapindales,Meliaceae,"Trichilia pallida"
Aves,Passeriformes,Thraupidae,"Tangara gyrola"
Equisetopsida,Sapindales,Meliaceae,"Trichilia micrantha"
Equisetopsida,Magnoliales,Myristicaceae,"Virola pavonis"
Equisetopsida,Sapindales,Meliaceae,"Trichilia maynasiana"
Insecta,Lepidoptera,Lycaenidae,"Strephonota foyi"
Equisetopsida,Lamiales,Acanthaceae,"Streblacanthus amoenus"
Equisetopsida,Myrtales,Combretaceae,"Terminalia oblonga"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Equisetopsida,Magnoliales,Myristicaceae,"Virola sebifera"
Equisetopsida,Magnoliales,Myristicaceae,"Virola weberbaueri"
Aves,Passeriformes,Tyrannidae,"Syrtidicola fluviatilis"
Equisetopsida,Rosales,Cannabaceae,"Trema micranthum"
Equisetopsida,Malpighiales,Hypericaceae,"Vismia sprucei"
Equisetopsida,Sapindales,Burseraceae,"Trattinnickia lawrancei"
Equisetopsida,Lamiales,Lamiaceae,"Vitex triflora"
Equisetopsida,Commelinales,Commelinaceae,"Tradescantia zanonia"
Equisetopsida,Myrtales,Combretaceae,"Terminalia amazonia"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus ocellatus"
Equisetopsida,Malpighiales,Clusiaceae,"Tovomita microcarpa"
Insecta,Lepidoptera,Lycaenidae,"Terenthina terentia"
Mammalia,Pilosa,Myrmecophagidae,"Tamandua tetradactyla"
Insecta,Lepidoptera,Nymphalidae,"Temenis pulchra"
Insecta,Lepidoptera,Nymphalidae,"Temenis laothoe"
Equisetopsida,Asparagales,Orchidaceae,"Xylobium variegatum"
Aves,Passeriformes,Thraupidae,"Volatinia jacarina"
Insecta,Lepidoptera,Nymphalidae,"Telenassa jana"
Aves,Passeriformes,Tyrannidae,"Tolmomyias sulphurescens"
Equisetopsida,Asparagales,Orchidaceae,"Xylobium subpulchrum"
Insecta,Lepidoptera,Hesperiidae,"Telemiades amphion misitheus"
Aves,Passeriformes,Tyrannidae,"Tolmomyias poliocephalus"
Insecta,Lepidoptera,Nymphalidae,"Tegosa etia"
Insecta,Lepidoptera,Nymphalidae,"Tegosa claudina"
Aves,Passeriformes,Tyrannidae,"Tolmomyias flaviventris"
Equisetopsida,Sapindales,Rutaceae,"Zanthoxylum fagara"
Aves,Passeriformes,Tyrannidae,"Tolmomyias assimilis"
Equisetopsida,Asparagales,Orchidaceae,"Systeloglossum bennettii"
Aves,Passeriformes,Tyrannidae,"Todirostrum cinereum"
Equisetopsida,Asparagales,Orchidaceae,"Suarezia ecuadorana"
Aves,Passeriformes,Tyrannidae,"Todirostrum chrysocrotaphum"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus triangularis"
Equisetopsida,Polypodiales,Tectariaceae,"Tectaria incisa"
Equisetopsida,Asparagales,Orchidaceae,"Warczewiczella amazonica"
Equisetopsida,Gentianales,Rubiaceae,"Warszewiczia ambigua"
Equisetopsida,Polypodiales,Tectariaceae,"Tectaria heracleifolia"
Aves,Passeriformes,Tityridae,"Tityra semifasciata"
Aves,Passeriformes,Tityridae,"Tityra inquisitor"
Aves,Passeriformes,Tyrannidae,"Sublegatus obscurior"
Insecta,Lepidoptera,Nymphalidae,"Yphthimoides renata"
Insecta,Lepidoptera,Nymphalidae,"Tithorea harmonia melanina"
Equisetopsida,Asparagales,Orchidaceae,"Sudamerlycaste cobbiana"
Equisetopsida,Asparagales,Orchidaceae,"Sudamerlycaste diastasia"
Aves,Tinamiformes,Tinamidae,"Tinamus tao"
Equisetopsida,Asparagales,Orchidaceae,"Sudamerlycaste peruviana"
Insecta,Lepidoptera,Hesperiidae,"Yanguna cometes staudingeri"
Insecta,Lepidoptera,Nymphalidae,"Taygetis rufomarginata"
Insecta,Lepidoptera,Nymphalidae,"Taygetis larua"
Equisetopsida,Gentianales,Rubiaceae,"Warszewiczia coccinea"
Aves,Passeriformes,Thraupidae,"Stilpnia nigrocincta"
Aves,Pelecaniformes,Ardeidae,"Tigrisoma fasciatum"
Equisetopsida,Lamiales,Bignoniaceae,"Tabebuia ochracea"
Mammalia,Cetartiodactyla,Tayassuidae,"Tayassu pecari"
Equisetopsida,Fabales,Fabaceae,"Tachigali poeppigiana"
Aves,Apodiformes,Trochilidae,"Threnetes leucurus"
Aves,Passeriformes,Thraupidae,"Tangara chilensis"
Aves,Passeriformes,Thraupidae,"Thraupis palmarum"
Aves,Passeriformes,Thraupidae,"Thraupis episcopus"
Aves,Passeriformes,Thamnophilidae,"Taraba major"
Equisetopsida,Malpighiales,Clusiaceae,"Symphonia globulifera"
Aves,Passeriformes,Thraupidae,"Stilpnia cyanicollis"
Insecta,Lepidoptera,Riodinidae,"Thisbe irenea"
Insecta,Lepidoptera,Riodinidae,"Thisbe incubus"
Equisetopsida,Sapindales,Sapindaceae,"Thinouia obliqua"
Aves,Passeriformes,Thraupidae,"Tangara arthus"
Insecta,Lepidoptera,Lycaenidae,"Thestius meridionalis"
Insecta,Lepidoptera,Lycaenidae,"Theritas hemon"
Insecta,Lepidoptera,Riodinidae,"Theope nycteis"
Equisetopsida,Arecales,Arecaceae,"Wettinia augusta"
Mammalia,Perissodactyla,Tapiridae,"Tapirus terrestris"
Equisetopsida,Malvales,Malvaceae,"Theobroma cacao"
Aves,Passeriformes,Furnariidae,"Synallaxis albigularis"
Equisetopsida,Malvales,Malvaceae,"Theobroma bicolor"
Aves,Passeriformes,Thamnophilidae,"Willisornis poecilinotus"
Aves,Passeriformes,Thraupidae,"Tangara schrankii"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris serrata"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris rufa"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris rudis"
Equisetopsida,Alismatales,Araceae,"Xanthosoma poeppigii"
Equisetopsida,Alismatales,Araceae,"Xanthosoma sagittifolium"
Equisetopsida,Alismatales,Araceae,"Xanthosoma stenospathum"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris jamesonii"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris gigantea"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris depilata"
Reptilia,Serpentes,Dipsadidae,"Xenodon rabdocephalus"
Equisetopsida,Asparagales,Orchidaceae,"Xylobium pallidiflorum"
Aves,Passeriformes,Furnariidae,"Xenops minutus"
Equisetopsida,Fabales,Fabaceae,"Tachigali setifera"
Equisetopsida,Magnoliales,Annonaceae,"Unonopsis floribunda"
Aves,Passeriformes,Tyrannidae,"Zimmerius viridiflavus"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris biformata"
Equisetopsida,Asparagales,Orchidaceae,"Trichosalpinx memor"
Equisetopsida,Gentianales,Rubiaceae,"Uncaria guianensis"
Equisetopsida,Fabales,Fabaceae,"Zygia longifolia"
Aves,Passeriformes,Furnariidae,"Xenops rutilans"
Equisetopsida,Rosales,Urticaceae,"Urera caracasana"
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
Equisetopsida,Rosales,Urticaceae,"Urera laciniata"
Aves,Passeriformes,Tyrannidae,"Tyrannulus elatus"
Mammalia,Chiroptera,Phyllostomidae,"Uroderma bilobatum"
Aves,Apodiformes,Apodidae,"Tachornis squamata"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus unicolor"
Aves,Passeriformes,Tyrannidae,"Zimmerius cinereicapilla"
Equisetopsida,Sapindales,Anacardiaceae,"Tapirira guianensis"
Aves,Passeriformes,Turdidae,"Turdus ignobilis"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus schistaceus"
Equisetopsida,Sapindales,Meliaceae,"Swietenia macrophylla"
Aves,Passeriformes,Turdidae,"Turdus hauxwelli"
Insecta,Lepidoptera,Lycaenidae,"Strymon mulucha"
Aves,Passeriformes,Hirundinidae,"Tachycineta albiventer"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus palliatus"
Reptilia,Sauria,Teiidae,"Tupinambis teguixin"
Insecta,Lepidoptera,Lycaenidae,"Strymon ziba"
Aves,Apodiformes,Apodidae,"Streptoprocne zonaris"
Aves,Passeriformes,Vireonidae,"Tunchiornis ochraceiceps"
Equisetopsida,Oxalidales,Elaeocarpaceae,"Vallea stipularis"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus murinus"
Equisetopsida,Rosales,Moraceae,"Trophis caucana"
Aves,Apodiformes,Trochilidae,"Taphrospilus hypostictus"
Aves,Trogoniformes,Trogonidae,"Trogon viridis"
Mammalia,Chiroptera,Phyllostomidae,"Vampyressa thyone"
Aves,Accipitriformes,Accipitridae,"Rupornis magnirostris"
Equisetopsida,Arecales,Arecaceae,"Astrocaryum chambira"
Equisetopsida,Fabales,Fabaceae,"Albizia carbonaria"
Equisetopsida,Arecales,Arecaceae,"Astrocaryum chonta"
Equisetopsida,Zingiberales,Heliconiaceae,"Heliconia subulata"
Equisetopsida,Rosales,Urticaceae,"Cecropia andina"
Equisetopsida,Arecales,Arecaceae,"Astrocaryum huicungo"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum huamantuparum"
Equisetopsida,Asparagales,Orchidaceae,"Oncidium baueri"
Equisetopsida,Lamiales,Gesneriaceae,"Drymonia serrulata"
Equisetopsida,Asparagales,Orchidaceae,"Oncidium aurarium"
Equisetopsida,Zingiberales,Heliconiaceae,"Heliconia stricta"
Equisetopsida,Polypodiales,Pteridaceae,"Pteris altissima"
Equisetopsida,Asparagales,Orchidaceae,"Pleurothallis bivalvis"
Aves,Passeriformes,Tyrannidae,"Myiodynastes chrysocephalus"
Equisetopsida,Asparagales,Orchidaceae,"Oncidium ariasii"
Aves,Passeriformes,Tyrannidae,"Mionectes olivaceus"
Equisetopsida,Asparagales,Orchidaceae,"Rodriguezia satipoana"
Equisetopsida,Asparagales,Orchidaceae,"Rodriguezia lanceolata"
Equisetopsida,Asparagales,Orchidaceae,"Rodriguezia bracteata"
Equisetopsida,Zingiberales,Heliconiaceae,"Heliconia rostrata"
Equisetopsida,Zingiberales,Heliconiaceae,"Heliconia penduloides"
Insecta,Lepidoptera,Riodinidae,"Crocozona fasciata fasciata"
Insecta,Lepidoptera,Nymphalidae,"Junonia genoveva"
Reptilia,Sauria,Scincidae,"Copeoglossum nigropunctatum"
Insecta,Lepidoptera,Nymphalidae,"Fountainea nessus"
Equisetopsida,Rosales,Urticaceae,"Cecropia ficifolia"
Insecta,Lepidoptera,Riodinidae,"Melanis cercopes"
Equisetopsida,Zingiberales,Heliconiaceae,"Heliconia lingulata"
Equisetopsida,Malpighiales,Euphorbiaceae,"Hevea guianensis"
Insecta,Lepidoptera,Riodinidae,"Crocozona coecias"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia manningii"
Equisetopsida,Zingiberales,Heliconiaceae,"Heliconia hirsuta"
Equisetopsida,Rosales,Moraceae,"Poulsenia armata"
Equisetopsida,Zingiberales,Heliconiaceae,"Heliconia fugax"
Equisetopsida,Zingiberales,Heliconiaceae,"Heliconia chartacea"
Equisetopsida,Fabales,Fabaceae,"Inga lineata"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea andina"
Equisetopsida,Gentianales,Rubiaceae,"Emmeorhiza umbellata"
Equisetopsida,Magnoliales,Annonaceae,"Maasia glauca"
Equisetopsida,Malpighiales,Phyllanthaceae,"Hieronyma alchorneoides"
Actinopterygii,Characiformes,Characidae,"Astyanax bimaculatus"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia kuhniorum"
Actinopterygii,Characiformes,Characidae,"Astyanax fasciatus"
Insecta,Lepidoptera,Lycaenidae,"Parrhasius polibetes"
Mammalia,Chiroptera,Phyllostomidae,"Phyllostomus discolor"
Equisetopsida,Gentianales,Rubiaceae,"Sabicea cana"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum gastrochilum"
Aves,Passeriformes,Parulidae,"Myioborus miniatus"
Equisetopsida,Santalales,Olacaceae,"Heisteria spruceana"
Insecta,Lepidoptera,Pieridae,"Melete lycimnia"
Insecta,Lepidoptera,Hesperiidae,"Parphorus storax storax"
Insecta,Lepidoptera,Riodinidae,"Chamaelimnas briola briola"
Actinopterygii,Characiformes,Characidae,"Astyanax maximus"
Equisetopsida,Arecales,Arecaceae,"Chamaedorea pinnatifrons"
Aves,Galliformes,Cracidae,"Ortalis guttata"
Aves,Passeriformes,Thraupidae,"Sporophila luctuosa"
Aves,Passeriformes,Donacobiidae,"Donacobius atricapilla"
Equisetopsida,Santalales,Olacaceae,"Heisteria acuminata"
Insecta,Lepidoptera,Nymphalidae,"Caligo superbus"
Equisetopsida,Myrtales,Melastomataceae,"Adelobotrys adscendens"
Insecta,Lepidoptera,Hesperiidae,"Aethilla eleusinia"
Equisetopsida,Arecales,Arecaceae,"Chamaedorea pauciflora"
Reptilia,Sauria,Gymnophthalmidae,"Riama laudahnae"
Insecta,Lepidoptera,Nymphalidae,"Adelpha irmina"
Actinopterygii,Characiformes,Parodontidae,"Parodon buckleyi"
Equisetopsida,Piperales,Piperaceae,"Piper aduncum"
Equisetopsida,Arecales,Arecaceae,"Chamaedorea linearis"
Mammalia,Primates,Atelidae,"Ateles chamek"
Insecta,Lepidoptera,Nymphalidae,"Oleria gunilla serdolis"
Equisetopsida,Fabales,Fabaceae,"Amburana cearensis"
Equisetopsida,Arecales,Arecaceae,"Chamaedorea fragrans"
Insecta,Lepidoptera,Nymphalidae,"Oleria estella estella"
Mammalia,Didelphimorphia,Didelphidae,"Monodelphis (Mygalodelphys) peruviana"
Mammalia,Chiroptera,Emballonuridae,"Saccopteryx leptura"
Equisetopsida,Myrtales,Melastomataceae,"Miconia dimorphica"
Insecta,Lepidoptera,Riodinidae,"Chalodeta theodora"
Insecta,Lepidoptera,Riodinidae,"Chalodeta panurga"
Aves,Cathartiformes,Cathartidae,"Coragyps atratus"
Aves,Piciformes,Ramphastidae,"Pteroglossus castanotis"
Mammalia,Carnivora,Procyonidae,"Potos flavus"
Equisetopsida,Gentianales,Apocynaceae,"Himatanthus sucuuba"
Mammalia,Primates,Cebidae,"Saguinus (Leontocebus) fuscicollis"
Insecta,Lepidoptera,Nymphalidae,"Adelpha plesaure"
