Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Asparagales,Orchidaceae,Xylobium colleyi,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Thalurania furcata,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon curucui,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Teuscheria dodsonii,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon collaris,FALSE,FALSE
Equisetopsida,Ericales,Symplocaceae,Symplocos coriacea,FALSE,FALSE
Equisetopsida,Lamiales,Cordiaceae,Varronia spinescens,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Troglodytes aedon,FALSE,FALSE
Equisetopsida,Brassicales,Caricaceae,Vasconcellea parviflora,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus guttatus,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Vernonanthura patens,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Trizeuxis falcata,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Sturnira magna,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Triumfetta grandiflora,FALSE,FALSE
Equisetopsida,Caryophyllales,Polygonaceae,Triplaris poeppigiana,FALSE,FALSE
Equisetopsida,Caryophyllales,Polygonaceae,Triplaris peruviana,FALSE,FALSE
Equisetopsida,Caryophyllales,Polygonaceae,Triplaris americana,FALSE,FALSE
Insecta,Lepidoptera,Riodinidae,Synargis ochra,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Sturnira oporaphilum,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Triolena allardii,TRUE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Trinycteris nicefori,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tersina viridis,FALSE,FALSE
Insecta,Lepidoptera,Hesperiidae,Vinius tryhana istria,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Sturnira tildae,FALSE,FALSE
Equisetopsida,Magnoliales,Annonaceae,Unonopsis guatterioides,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Trichosalpinx dura,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Trichosalpinx ciliaris,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Trichopilia fragrans,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Vireo flavoviridis,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Vireolanius leucotis,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Vireo olivaceus,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Trichocentrum nanum,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Trichilia septentrionalis,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola calophylla,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola elongata,FALSE,FALSE
Equisetopsida,Myrtales,Combretaceae,Terminalia viridiflora,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Trichilia pallida,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara gyrola,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Trichilia micrantha,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola pavonis,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Trichilia maynasiana,FALSE,FALSE
Insecta,Lepidoptera,Lycaenidae,Strephonota foyi,FALSE,FALSE
Equisetopsida,Lamiales,Acanthaceae,Streblacanthus amoenus,TRUE,FALSE
Equisetopsida,Myrtales,Combretaceae,Terminalia oblonga,FALSE,FALSE
Mammalia,Carnivora,Ursidae,Tremarctos ornatus,FALSE,TRUE
Equisetopsida,Magnoliales,Myristicaceae,Virola sebifera,FALSE,FALSE
Equisetopsida,Magnoliales,Myristicaceae,Virola weberbaueri,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Syrtidicola fluviatilis,FALSE,FALSE
Equisetopsida,Rosales,Cannabaceae,Trema micranthum,FALSE,FALSE
Equisetopsida,Malpighiales,Hypericaceae,Vismia sprucei,FALSE,FALSE
Equisetopsida,Sapindales,Burseraceae,Trattinnickia lawrancei,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Vitex triflora,FALSE,FALSE
Equisetopsida,Commelinales,Commelinaceae,Tradescantia zanonia,FALSE,FALSE
Equisetopsida,Myrtales,Combretaceae,Terminalia amazonia,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus ocellatus,FALSE,FALSE
Equisetopsida,Malpighiales,Clusiaceae,Tovomita microcarpa,FALSE,FALSE
Insecta,Lepidoptera,Lycaenidae,Terenthina terentia,FALSE,FALSE
Mammalia,Pilosa,Myrmecophagidae,Tamandua tetradactyla,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Temenis pulchra,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Temenis laothoe,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Xylobium variegatum,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Volatinia jacarina,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Telenassa jana,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tolmomyias sulphurescens,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Xylobium subpulchrum,FALSE,FALSE
Insecta,Lepidoptera,Hesperiidae,Telemiades amphion misitheus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tolmomyias poliocephalus,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Tegosa etia,FALSE,FALSE
Insecta,Lepidoptera,Nymphalidae,Tegosa claudina,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tolmomyias flaviventris,FALSE,FALSE
Equisetopsida,Sapindales,Rutaceae,Zanthoxylum fagara,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tolmomyias assimilis,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Systeloglossum bennettii,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Todirostrum cinereum,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Suarezia ecuadorana,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Todirostrum chrysocrotaphum,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus triangularis,FALSE,FALSE
Equisetopsida,Polypodiales,Tectariaceae,Tectaria incisa,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Warczewiczella amazonica,FALSE,TRUE
Equisetopsida,Gentianales,Rubiaceae,Warszewiczia ambigua,FALSE,FALSE
Equisetopsida,Polypodiales,Tectariaceae,Tectaria heracleifolia,FALSE,FALSE
Aves,Passeriformes,Tityridae,Tityra semifasciata,FALSE,FALSE
Aves,Passeriformes,Tityridae,Tityra inquisitor,FALSE,FALSE
