Clase,Orden,Familia,Especie
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana decussata"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia walteri var. walteri"
Aves,Tinamiformes,Tinamidae,"Tinamotis pentlandii"
Equisetopsida,Ericales,Ericaceae,"Vaccinium floribundum"
Aves,Apodiformes,Trochilidae,"Thaumastura cora"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana sphaerocephala"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana weberbaueri"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana henrici"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana cumbemayensis"
Aves,Apodiformes,Trochilidae,"Thaumasius taczanowskii"
Equisetopsida,Oxalidales,Elaeocarpaceae,"Vallea stipularis"
Equisetopsida,Rosales,Urticaceae,"Urtica magellanica"
Equisetopsida,Rosales,Urticaceae,"Urtica flabellata"
Equisetopsida,Rosales,Urticaceae,"Urtica echinata"
Equisetopsida,Poales,Cyperaceae,"Zameioscirpus muticus"
Equisetopsida,Ericales,Symplocaceae,"Symplocos sandiae"
Equisetopsida,Asterales,Asteraceae,"Tagetes multiflora"
Equisetopsida,Asterales,Asteraceae,"Tagetes minuta"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris caucaensis"
Aves,Passeriformes,Furnariidae,"Upucerthia validirostris"
Aves,Charadriiformes,Charadriidae,"Vanellus resplendens"
Equisetopsida,Lamiales,Verbenaceae,"Verbena litoralis"
Equisetopsida,Asterales,Asteraceae,"Verbesina arborea"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris rudis"
Equisetopsida,Lamiales,Plantaginaceae,"Veronica anagallis-aquatica"
Equisetopsida,Lamiales,Plantaginaceae,"Veronica persica"
Equisetopsida,Lamiales,Plantaginaceae,"Veronica serpyllifolia"
Aves,Apodiformes,Apodidae,"Streptoprocne zonaris"
Equisetopsida,Fabales,Fabaceae,"Vicia andicola"
Mammalia,Cetartiodactyla,Camelidae,"Vicugna vicugna"
Equisetopsida,Asterales,Asteraceae,"Viguiera peruviana"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Equisetopsida,Saxifragales,Crassulaceae,"Villadia imbricata"
Equisetopsida,Saxifragales,Crassulaceae,"Villadia reniformis"
Equisetopsida,Asterales,Asteraceae,"Villanova oppositifolia"
Equisetopsida,Caryophyllales,Basellaceae,"Ullucus tuberosus"
Equisetopsida,Malpighiales,Violaceae,"Viola micranthella"
Equisetopsida,Malpighiales,Violaceae,"Viola pygmaea"
Aves,Strigiformes,Tytonidae,"Tyto alba"
Equisetopsida,Ranunculales,Ranunculaceae,"Thalictrum longistylum"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana crassipes"
Equisetopsida,Alismatales,Potamogetonaceae,"Zannichellia andina"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus melanopis"
Aves,Charadriiformes,Thinocoridae,"Thinocorus orbignyianus"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana interrupta"
Aves,Passeriformes,Thraupidae,"Thlypopsis ornata"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana longifolia"
Aves,Passeriformes,Turdidae,"Turdus fuscater"
Aves,Passeriformes,Turdidae,"Turdus chiguanco"
Aves,Passeriformes,Furnariidae,"Sylviorthorhynchus yanacensis"
Equisetopsida,Poales,Poaceae,"Stipa hans-meyeri"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Equisetopsida,Asterales,Asteraceae,"Stuckertiella capitata"
Aves,Columbiformes,Columbidae,"Zenaida meloda"
Equisetopsida,Poales,Poaceae,"Vulpia myuros var. Hirsuta"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana connata"
Equisetopsida,Asterales,Campanulaceae,"Wahlenbergia peruviana"
Equisetopsida,Brassicales,Brassicaceae,"Weberbauera rosulans"
Equisetopsida,Brassicales,Brassicaceae,"Weberbauera smithii"
Equisetopsida,Brassicales,Brassicaceae,"Weberbauera spathulifolia"
Amphibia,Anura,Telmatobiidae,"Telmatobius mayoloi"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira bogotensis"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia pinnata"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Equisetopsida,Asterales,Asteraceae,"Werneria aretioides"
Equisetopsida,Asterales,Asteraceae,"Werneria caespitosa"
Equisetopsida,Asterales,Asteraceae,"Werneria nubigena"
Equisetopsida,Asterales,Asteraceae,"Werneria orbignyana"
Equisetopsida,Asterales,Asteraceae,"Werneria pinnatifida"
Equisetopsida,Asterales,Asteraceae,"Werneria pygmaea"
Equisetopsida,Asterales,Asteraceae,"Werneria villosa"
Equisetopsida,Asterales,Asteraceae,"Werneria weberbaueriana"
Equisetopsida,Lamiales,Bignoniaceae,"Tecoma sambucifolia"
Equisetopsida,Santalales,Loranthaceae,"Tristerix pubescens"
Equisetopsida,Santalales,Loranthaceae,"Tristerix longebracteatus"
Equisetopsida,Santalales,Loranthaceae,"Tristerix chodatianus"
Equisetopsida,Poales,Poaceae,"Trisetum spicatum"
Equisetopsida,Gleicheniales,Gleicheniaceae,"Sticherus simplex"
Equisetopsida,Asterales,Asteraceae,"Stevia macbridei"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana condamoana"
Equisetopsida,Poales,Poaceae,"Trisetum oreophilum var. oreophilum"
Equisetopsida,Poales,Poaceae,"Trisetum macbridei"
Equisetopsida,Asparagales,Iridaceae,"Tigridia philippiana"
Equisetopsida,Polypodiales,Woodsiaceae,"Woodsia montevidensis"
Equisetopsida,Santalales,Loranthaceae,"Tripodanthus acutifolius"
Aves,Passeriformes,Thraupidae,"Xenodacnis parina"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia cerrateana"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia chartacea"
Equisetopsida,Asterales,Asteraceae,"Xenophyllum ciliolatum"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana coarctata"
Equisetopsida,Asterales,Asteraceae,"Xenophyllum dactylophyllum"
Equisetopsida,Asterales,Asteraceae,"Xenophyllum humile"
Equisetopsida,Asterales,Asteraceae,"Xenophyllum marcidum"
