Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana decussata,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia walteri var. walteri,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Tinamotis pentlandii,FALSE,FALSE
Equisetopsida,Ericales,Ericaceae,Vaccinium floribundum,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Thaumastura cora,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana sphaerocephala,TRUE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana weberbaueri,TRUE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana henrici,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana cumbemayensis,FALSE,TRUE
Aves,Apodiformes,Trochilidae,Thaumasius taczanowskii,TRUE,FALSE
Equisetopsida,Oxalidales,Elaeocarpaceae,Vallea stipularis,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urtica magellanica,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urtica flabellata,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urtica echinata,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Zameioscirpus muticus,FALSE,FALSE
Equisetopsida,Ericales,Symplocaceae,Symplocos sandiae,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Tagetes multiflora,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Tagetes minuta,FALSE,FALSE
Equisetopsida,Polypodiales,Thelypteridaceae,Thelypteris caucaensis,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Upucerthia validirostris,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Vanellus resplendens,FALSE,FALSE
Equisetopsida,Lamiales,Verbenaceae,Verbena litoralis,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Verbesina arborea,FALSE,FALSE
Equisetopsida,Polypodiales,Thelypteridaceae,Thelypteris rudis,FALSE,FALSE
Equisetopsida,Lamiales,Plantaginaceae,Veronica anagallis-aquatica,FALSE,FALSE
Equisetopsida,Lamiales,Plantaginaceae,Veronica persica,FALSE,FALSE
Equisetopsida,Lamiales,Plantaginaceae,Veronica serpyllifolia,FALSE,FALSE
Aves,Apodiformes,Apodidae,Streptoprocne zonaris,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Vicia andicola,FALSE,FALSE
Mammalia,Cetartiodactyla,Camelidae,Vicugna vicugna,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Viguiera peruviana,TRUE,FALSE
Aves,Passeriformes,Passerellidae,Zonotrichia capensis,FALSE,FALSE
Equisetopsida,Saxifragales,Crassulaceae,Villadia imbricata,FALSE,FALSE
Equisetopsida,Saxifragales,Crassulaceae,Villadia reniformis,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Villanova oppositifolia,FALSE,FALSE
Equisetopsida,Caryophyllales,Basellaceae,Ullucus tuberosus,FALSE,FALSE
Equisetopsida,Malpighiales,Violaceae,Viola micranthella,FALSE,FALSE
Equisetopsida,Malpighiales,Violaceae,Viola pygmaea,FALSE,FALSE
Aves,Strigiformes,Tytonidae,Tyto alba,FALSE,FALSE
Equisetopsida,Ranunculales,Ranunculaceae,Thalictrum longistylum,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana crassipes,FALSE,FALSE
Equisetopsida,Alismatales,Potamogetonaceae,Zannichellia andina,FALSE,FALSE
Aves,Pelecaniformes,Threskiornithidae,Theristicus melanopis,FALSE,TRUE
Aves,Charadriiformes,Thinocoridae,Thinocorus orbignyianus,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana interrupta,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Thlypopsis ornata,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana longifolia,FALSE,TRUE
Aves,Passeriformes,Turdidae,Turdus fuscater,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus chiguanco,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Sylviorthorhynchus yanacensis,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Stipa hans-meyeri,FALSE,FALSE
Mammalia,Carnivora,Ursidae,Tremarctos ornatus,FALSE,TRUE
Equisetopsida,Asterales,Asteraceae,Stuckertiella capitata,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zenaida meloda,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Vulpia myuros var. Hirsuta,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Vultur gryphus,FALSE,TRUE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana connata,TRUE,FALSE
Equisetopsida,Asterales,Campanulaceae,Wahlenbergia peruviana,FALSE,FALSE
Equisetopsida,Brassicales,Brassicaceae,Weberbauera rosulans,FALSE,FALSE
Equisetopsida,Brassicales,Brassicaceae,Weberbauera smithii,FALSE,FALSE
Equisetopsida,Brassicales,Brassicaceae,Weberbauera spathulifolia,FALSE,FALSE
Amphibia,Anura,Telmatobiidae,Telmatobius mayoloi,TRUE,TRUE
Mammalia,Chiroptera,Phyllostomidae,Sturnira bogotensis,FALSE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia pinnata,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Troglodytes aedon,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria aretioides,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria caespitosa,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria nubigena,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria orbignyana,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria pinnatifida,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria pygmaea,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria villosa,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria weberbaueriana,TRUE,FALSE
Equisetopsida,Lamiales,Bignoniaceae,Tecoma sambucifolia,FALSE,FALSE
Equisetopsida,Santalales,Loranthaceae,Tristerix pubescens,TRUE,FALSE
Equisetopsida,Santalales,Loranthaceae,Tristerix longebracteatus,FALSE,FALSE
Equisetopsida,Santalales,Loranthaceae,Tristerix chodatianus,TRUE,FALSE
Equisetopsida,Poales,Poaceae,Trisetum spicatum,FALSE,FALSE
Equisetopsida,Gleicheniales,Gleicheniaceae,Sticherus simplex,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Stevia macbridei,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana condamoana,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Trisetum oreophilum var. oreophilum,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Trisetum macbridei,FALSE,FALSE
Equisetopsida,Asparagales,Iridaceae,Tigridia philippiana,FALSE,FALSE
Equisetopsida,Polypodiales,Woodsiaceae,Woodsia montevidensis,FALSE,FALSE
Equisetopsida,Santalales,Loranthaceae,Tripodanthus acutifolius,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Xenodacnis parina,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia cerrateana,TRUE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia chartacea,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Xenophyllum ciliolatum,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana coarctata,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Xenophyllum dactylophyllum,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Xenophyllum humile,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Xenophyllum marcidum,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Tarasa odonellii,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia fendleri,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa solitaria,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia humilis,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa melanoleuca,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia ionochroma,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zenaida auriculata,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa flavipes,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia lopezii,TRUE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia oroyensis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Trifolium amabile,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana lyrata,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana niphobia,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana nivalis,FALSE,TRUE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana pilosa,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Systellura longirostris,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Zaratornis stresemanni,TRUE,TRUE
Equisetopsida,Poales,Bromeliaceae,Tillandsia rubella,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Trichophorum rigidum,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia tectorum,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis zimmeri,TRUE,TRUE
Equisetopsida,Asparagales,Orchidaceae,Trichoceros platyceros,FALSE,TRUE
Aves,Apodiformes,Trochilidae,Taphrolesbia griseiventris,TRUE,TRUE
Equisetopsida,Asparagales,Amaryllidaceae,Trichlora peruviana,TRUE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana cephalantha,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana pycnantha,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana rhizantha,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana globularis,TRUE,FALSE
Equisetopsida,Asterales,Asteraceae,Senecio repens,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Carex pygmaea,FALSE,FALSE
Equisetopsida,Asparagales,Asparagaceae,Furcraea occidentalis,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Microryzomys altissimus,FALSE,FALSE
Equisetopsida,Caryophyllales,Caryophyllaceae,Cerastium mucronatum,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Lessonia oreas,FALSE,FALSE
Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium thyoides,FALSE,FALSE
Aves,Piciformes,Picidae,Dryobates fumigatus,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Poa pauciflora,FALSE,FALSE
Equisetopsida,Caryophyllales,Caryophyllaceae,Cerastium nutans,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Bubulcus ibis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Incaspiza pulchra,TRUE,FALSE
Equisetopsida,Solanales,Solanaceae,Saracha spinosa,TRUE,FALSE
Equisetopsida,Asterales,Asteraceae,Dasyphyllum histerix,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Cinclodes albiventris,FALSE,FALSE
