Clase,Orden,Familia,Especie
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana decussata"
Insecta,Lepidoptera,Lycaenidae,"Thecla auda"
Equisetopsida,Ericales,Ericaceae,"Vaccinium floribundum"
Insecta,Lepidoptera,Lycaenidae,"Thecla elongata"
Equisetopsida,Ericales,Ericaceae,"Vaccinium continuum"
Aves,Apodiformes,Apodidae,"Tachornis squamata"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Equisetopsida,Ericales,Styracaceae,"Styrax cordatus"
Equisetopsida,Ericales,Symplocaceae,"Symplocos patazensis"
Aves,Passeriformes,Cotingidae,"Zaratornis stresemanni"
Equisetopsida,Gleicheniales,Gleicheniaceae,"Sticherus tomentosus"
Aves,Passeriformes,Furnariidae,"Synallaxis azarae"
Aves,Caprimulgiformes,Caprimulgidae,"Systellura longirostris"
Equisetopsida,Ericales,Symplocaceae,"Symplocos incahuasensis"
Equisetopsida,Ericales,Symplocaceae,"Symplocos fimbriata"
Equisetopsida,Sapindales,Anacardiaceae,"Toxicodendron striatum"
Equisetopsida,Ericales,Symplocaceae,"Symplocos coriacea"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Trichomanes angustatum"
Equisetopsida,Buxales,Buxaceae,"Styloceras laurifolium"
Equisetopsida,Ericales,Symplocaceae,"Symplocos scabra"
Equisetopsida,Buxales,Buxaceae,"Styloceras columnare"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Trichomanes hymenoides"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Trichomanes pyxidiferum"
Equisetopsida,Poales,Cyperaceae,"Trichophorum rigidum"
Mammalia,Perissodactyla,Tapiridae,"Tapirus terrestris"
Equisetopsida,Ericales,Symplocaceae,"Symplocos andicola"
Mammalia,Pilosa,Myrmecophagidae,"Tamandua tetradactyla"
Equisetopsida,Asparagales,Orchidaceae,"Trichosalpinx otarion"
Equisetopsida,Asparagales,Orchidaceae,"Trichosalpinx pusilla"
Equisetopsida,Asparagales,Orchidaceae,"Trichosalpinx quitensis"
Equisetopsida,Poales,Poaceae,"Triniochloa stipoides"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia bakeri"
Aves,Pelecaniformes,Ardeidae,"Tigrisoma fasciatum"
Equisetopsida,Poales,Poaceae,"Trisetum spicatum"
Equisetopsida,Gleicheniales,Gleicheniaceae,"Sticherus simplex"
Equisetopsida,Gleicheniales,Gleicheniaceae,"Sticherus rubiginosus"
Equisetopsida,Santalales,Loranthaceae,"Tristerix longebracteatus"
Equisetopsida,Gleicheniales,Gleicheniaceae,"Sticherus revolutus"
Equisetopsida,Santalales,Loranthaceae,"Tristerix pubescens"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira erythromos"
Equisetopsida,Polypodiales,Tectariaceae,"Tectaria incisa"
Equisetopsida,Arecales,Arecaceae,"Wettinia augusta"
Equisetopsida,Ericales,Styracaceae,"Styrax foveolaria"
Equisetopsida,Asterales,Asteraceae,"Werneria villosa"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia reticulata"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia pinnata"
Equisetopsida,Asparagales,Orchidaceae,"Telipogon jucusbambae"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia multijuga"
Aves,Passeriformes,Furnariidae,"Thripophaga berlepschi"
Aves,Trogoniformes,Trogonidae,"Trogon curucui"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira bidens"
Aves,Trogoniformes,Trogonidae,"Trogon personatus"
Mammalia,Chiroptera,Phyllostomidae,"Sturnira aratathomasi"
Aves,Passeriformes,Thraupidae,"Thraupis palmarum"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Aves,Passeriformes,Thraupidae,"Thraupis episcopus"
Aves,Passeriformes,Thraupidae,"Volatinia jacarina"
Equisetopsida,Polypodiales,Polypodiaceae,"Terpsichore anfractuosa"
Equisetopsida,Polypodiales,Polypodiaceae,"Terpsichore asplenifolia"
Equisetopsida,Polypodiales,Polypodiaceae,"Terpsichore athyrioides"
Equisetopsida,Polypodiales,Polypodiaceae,"Terpsichore cultrata"
Equisetopsida,Polypodiales,Polypodiaceae,"Terpsichore leucosticta"
Equisetopsida,Polypodiales,Polypodiaceae,"Terpsichore semihirsuta"
Equisetopsida,Polypodiales,Polypodiaceae,"Terpsichore taxifolia"
Aves,Passeriformes,Turdidae,"Turdus chiguanco"
Equisetopsida,Polypodiales,Polypodiaceae,"Vittaria lineata"
Aves,Passeriformes,Turdidae,"Turdus fuscater"
Mammalia,Rodentia,Cricetidae,"Thomasomys macrotis"
Mammalia,Rodentia,Cricetidae,"Thomasomys ischyrus"
Mammalia,Rodentia,Cricetidae,"Thomasomys incanus"
Mammalia,Rodentia,Cricetidae,"Thomasomys eleusis"
Mammalia,Rodentia,Cricetidae,"Thomasomys aureus"
Mammalia,Rodentia,Cricetidae,"Thomasomys apeco"
Aves,Passeriformes,Turdidae,"Turdus ignobilis"
Equisetopsida,Malvales,Malvaceae,"Tetrasida weberbaueri"
Equisetopsida,Ericales,Ericaceae,"Thibaudia floribunda"
Aves,Passeriformes,Pipridae,"Tyranneutes stolzmanni"
Aves,Passeriformes,Tyrannidae,"Tyrannulus elatus"
Aves,Apodiformes,Trochilidae,"Thalurania furcata"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Equisetopsida,Polypodiales,Polypodiaceae,"Zygophlebia mathewsii"
Equisetopsida,Lamiales,Plantaginaceae,"Veronica serpyllifolia"
Equisetopsida,Gentianales,Rubiaceae,"Uncaria tomentosa"
