Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana decussata,FALSE,FALSE
Insecta,Lepidoptera,Lycaenidae,Thecla auda,FALSE,FALSE
Equisetopsida,Ericales,Ericaceae,Vaccinium floribundum,FALSE,FALSE
Insecta,Lepidoptera,Lycaenidae,Thecla elongata,FALSE,FALSE
Equisetopsida,Ericales,Ericaceae,Vaccinium continuum,FALSE,FALSE
Aves,Apodiformes,Apodidae,Tachornis squamata,FALSE,FALSE
Mammalia,Carnivora,Ursidae,Tremarctos ornatus,FALSE,TRUE
Equisetopsida,Ericales,Styracaceae,Styrax cordatus,FALSE,FALSE
Equisetopsida,Ericales,Symplocaceae,Symplocos patazensis,TRUE,FALSE
Aves,Passeriformes,Cotingidae,Zaratornis stresemanni,TRUE,TRUE
Equisetopsida,Gleicheniales,Gleicheniaceae,Sticherus tomentosus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis azarae,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Systellura longirostris,FALSE,FALSE
Equisetopsida,Ericales,Symplocaceae,Symplocos incahuasensis,TRUE,FALSE
Equisetopsida,Ericales,Symplocaceae,Symplocos fimbriata,FALSE,FALSE
Equisetopsida,Sapindales,Anacardiaceae,Toxicodendron striatum,FALSE,FALSE
Equisetopsida,Ericales,Symplocaceae,Symplocos coriacea,FALSE,FALSE
Equisetopsida,Hymenophyllales,Hymenophyllaceae,Trichomanes angustatum,FALSE,FALSE
Equisetopsida,Buxales,Buxaceae,Styloceras laurifolium,FALSE,TRUE
Equisetopsida,Ericales,Symplocaceae,Symplocos scabra,TRUE,FALSE
Equisetopsida,Buxales,Buxaceae,Styloceras columnare,FALSE,TRUE
Equisetopsida,Hymenophyllales,Hymenophyllaceae,Trichomanes hymenoides,FALSE,FALSE
Equisetopsida,Hymenophyllales,Hymenophyllaceae,Trichomanes pyxidiferum,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Trichophorum rigidum,FALSE,FALSE
Mammalia,Perissodactyla,Tapiridae,Tapirus terrestris,FALSE,FALSE
Equisetopsida,Ericales,Symplocaceae,Symplocos andicola,TRUE,FALSE
Mammalia,Pilosa,Myrmecophagidae,Tamandua tetradactyla,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Trichosalpinx otarion,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Trichosalpinx pusilla,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Trichosalpinx quitensis,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Triniochloa stipoides,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia bakeri,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Tigrisoma fasciatum,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Trisetum spicatum,FALSE,FALSE
Equisetopsida,Gleicheniales,Gleicheniaceae,Sticherus simplex,FALSE,FALSE
Equisetopsida,Gleicheniales,Gleicheniaceae,Sticherus rubiginosus,FALSE,FALSE
Equisetopsida,Santalales,Loranthaceae,Tristerix longebracteatus,FALSE,FALSE
Equisetopsida,Gleicheniales,Gleicheniaceae,Sticherus revolutus,FALSE,FALSE
Equisetopsida,Santalales,Loranthaceae,Tristerix pubescens,TRUE,FALSE
Aves,Passeriformes,Troglodytidae,Troglodytes aedon,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Sturnira erythromos,FALSE,FALSE
Equisetopsida,Polypodiales,Tectariaceae,Tectaria incisa,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Wettinia augusta,FALSE,FALSE
Equisetopsida,Ericales,Styracaceae,Styrax foveolaria,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria villosa,FALSE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia reticulata,FALSE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia pinnata,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Telipogon jucusbambae,TRUE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia multijuga,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Thripophaga berlepschi,TRUE,TRUE
Aves,Trogoniformes,Trogonidae,Trogon curucui,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Sturnira bidens,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon personatus,FALSE,FALSE
Mammalia,Chiroptera,Phyllostomidae,Sturnira aratathomasi,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Thraupis palmarum,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Vultur gryphus,FALSE,TRUE
Aves,Passeriformes,Thraupidae,Thraupis episcopus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Volatinia jacarina,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Terpsichore anfractuosa,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Terpsichore asplenifolia,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Terpsichore athyrioides,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Terpsichore cultrata,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Terpsichore leucosticta,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Terpsichore semihirsuta,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Terpsichore taxifolia,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus chiguanco,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Vittaria lineata,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus fuscater,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Thomasomys macrotis,TRUE,TRUE
Mammalia,Rodentia,Cricetidae,Thomasomys ischyrus,TRUE,TRUE
Mammalia,Rodentia,Cricetidae,Thomasomys incanus,TRUE,TRUE
Mammalia,Rodentia,Cricetidae,Thomasomys eleusis,TRUE,TRUE
Mammalia,Rodentia,Cricetidae,Thomasomys aureus,FALSE,FALSE
Mammalia,Rodentia,Cricetidae,Thomasomys apeco,TRUE,TRUE
Aves,Passeriformes,Turdidae,Turdus ignobilis,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Tetrasida weberbaueri,TRUE,FALSE
Equisetopsida,Ericales,Ericaceae,Thibaudia floribunda,FALSE,FALSE
Aves,Passeriformes,Pipridae,Tyranneutes stolzmanni,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannulus elatus,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Thalurania furcata,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Zonotrichia capensis,FALSE,FALSE
Equisetopsida,Polypodiales,Polypodiaceae,Zygophlebia mathewsii,FALSE,FALSE
Equisetopsida,Lamiales,Plantaginaceae,Veronica serpyllifolia,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Uncaria tomentosa,FALSE,FALSE
