Clase,Orden,Familia,Especie
Equisetopsida,Poales,Bromeliaceae,"Tillandsia sagasteguii"
Mammalia,Chiroptera,Molossidae,"Tomopeas ravus"
Mammalia,Rodentia,Cricetidae,"Thomasomys pyrrhonotus"
Equisetopsida,Brassicales,Caricaceae,"Vasconcellea stipulata"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Equisetopsida,Brassicales,Tropaeolaceae,"Tropaeolum fintelmannii var. Olmosense"
Aves,Galliformes,Cracidae,"Aburria aburri"
Equisetopsida,Asparagales,Orchidaceae,"Fernandezia ionanthera"
Equisetopsida,Solanales,Solanaceae,"Solanum hypacrarthrum"
Mammalia,Paucituberculata,Caenolestidae,"Caenolestes caniventer"
Aves,Psittaciformes,Psittacidae,"Ara militaris"
Mammalia,Eulipotyphla,Soricidae,"Cryptotis peruviensis"
Equisetopsida,Fabales,Fabaceae,"Otholobium munyense"
Equisetopsida,Asparagales,Iridaceae,"Hesperoxiphion niveum"
Equisetopsida,Asparagales,Orchidaceae,"Oncidium macranthum"
Aves,Galliformes,Cracidae,"Penelope barbata"
Aves,Passeriformes,Tyrannidae,"Lathrotriccus griseipectus"
Equisetopsida,Lamiales,Oleaceae,"Chionanthus pubescens"
Equisetopsida,Asparagales,Orchidaceae,"Ponthieva mandonii"
Equisetopsida,Rosales,Cannabaceae,"Celtis iguanaea"
Equisetopsida,Lamiales,Lamiaceae,"Salvia oppositiflora"
Aves,Passeriformes,Thamnophilidae,"Ampelornis griseiceps"
Equisetopsida,Solanales,Solanaceae,"Solanum plowmanii"
,,,
