Clase,Orden,Familia,Especie
Mammalia,Chiroptera,Molossidae,"Tomopeas ravus"
Mammalia,Rodentia,Cricetidae,"Thomasomys pyrrhonotus"
Mammalia,Rodentia,Cricetidae,"Thomasomys taczanowskii"
Equisetopsida,Boraginales,Heliotropiaceae,"Tournefortia longifolia"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia rauhii"
Equisetopsida,Asterales,Asteraceae,"Barnadesia hutchisoniana"
Equisetopsida,Myrtales,Melastomataceae,"Miconia adinantha"
Equisetopsida,Asterales,Asteraceae,"Monactis flaverioides"
Equisetopsida,Asterales,Asteraceae,"Asplundianthus sagasteguii"
Equisetopsida,Solanales,Solanaceae,"Solanum hypacrarthrum"
Equisetopsida,Asparagales,Orchidaceae,"Solenidiopsis tigroides"
Equisetopsida,Malvales,Malvaceae,"Byttneria lopez-mirandae"
Equisetopsida,Malpighiales,Passifloraceae,"Passiflora dorisiae"
Mammalia,Eulipotyphla,Soricidae,"Cryptotis peruviensis"
Equisetopsida,Fabales,Polygalaceae,"Monnina sanmarcosana"
Equisetopsida,Asterales,Campanulaceae,"Siphocampylus cutervensis"
Equisetopsida,Asparagales,Iridaceae,"Hesperoxiphion niveum"
Equisetopsida,Asparagales,Orchidaceae,"Oncidium retusum"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria divaricata"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria nivalis subesp. cerasifolia"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria pinnata subsp. delicatula"
Equisetopsida,Malpighiales,Euphorbiaceae,"Euphorbia weberbaueri"
Equisetopsida,Myrtales,Melastomataceae,"Meriania radula"
Equisetopsida,Cornales,Loasaceae,"Nasa picta"
Equisetopsida,Ericales,Ericaceae,"Ceratostema rauhii"
Equisetopsida,Ericales,Ericaceae,"Ceratostema callistum"
Equisetopsida,Sapindales,Sapindaceae,"Allophylus densiflorus"
Equisetopsida,Myrtales,Melastomataceae,"Centradeniastrum roseum"
Equisetopsida,Cornales,Loasaceae,"Loasa triphylla"
Equisetopsida,Myrtales,Melastomataceae,"Brachyotum radula"
Equisetopsida,Myrtales,Melastomataceae,"Brachyotum coronatum"
Equisetopsida,Apiales,Apiaceae,"Hydrocotyle sagasteguii"
Equisetopsida,Myrtales,Melastomataceae,"Miconia laciniata"
Equisetopsida,Apiales,Apiaceae,"Hydrocotyle globiflora"
Equisetopsida,Fabales,Fabaceae,"Dalea weberbaueri"
Equisetopsida,Liliales,Alstroemeriaceae,"Bomarea latifolia"
,,,
