Clase,Orden,Familia,Especie
Aves,Columbiformes,Columbidae,"Zenaida auriculata"
Aves,Passeriformes,Thraupidae,"Thraupis episcopus"
Aves,Passeriformes,Thraupidae,"Stilpnia viridicollis"
Equisetopsida,Brassicales,Tropaeolaceae,"Tropaeolum majus"
Insecta,Coleoptera,Scarabaeidae,"Trichillum adisi"
Equisetopsida,Asterales,Asteraceae,"Wedelia calycina"
Equisetopsida,Fabales,Fabaceae,"Vachellia macracantha"
Aves,Passeriformes,Tyrannidae,"Todirostrum cinereum"
Aves,Apodiformes,Apodidae,"Streptoprocne zonaris"
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
Aves,Trogoniformes,Trogonidae,"Trogon mesurus"
Equisetopsida,Boraginales,Namaceae,"Wigandia urens"
Equisetopsida,Santalales,Loranthaceae,"Tripodanthus acutifolius"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Equisetopsida,Lamiales,Bignoniaceae,"Tabebuia ochracea"
Aves,Apodiformes,Apodidae,"Streptoprocne rutila"
Aves,Passeriformes,Furnariidae,"Syndactyla ruficollis"
Equisetopsida,Asterales,Asteraceae,"Verbesina ampliatifolia"
Aves,Columbiformes,Columbidae,"Zenaida meloda"
Aves,Cuculiformes,Cuculidae,"Tapera naevia"
Insecta,Coleoptera,Scarabaeidae,"Trichillum cristatum"
Equisetopsida,Lamiales,Verbenaceae,"Verbena litoralis"
Equisetopsida,Asterales,Asteraceae,"Tessaria integrifolia"
Aves,Strigiformes,Tytonidae,"Tyto alba"
Aves,Passeriformes,Turdidae,"Turdus chiguanco"
Aves,Passeriformes,Turdidae,"Turdus nigriceps"
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Aves,Passeriformes,Turdidae,"Turdus fuscater"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Equisetopsida,Lamiales,Bignoniaceae,"Tecoma weberbaueriana"
Aves,Passeriformes,Turdidae,"Turdus reevei"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus zarumae"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus bernardi"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Equisetopsida,Rosales,Urticaceae,"Urera acuminata"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia cacticola"
Equisetopsida,Gentianales,Apocynaceae,"Vallesia glabra"
