Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Columbiformes,Columbidae,Zenaida auriculata,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Thraupis episcopus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Stilpnia viridicollis,FALSE,FALSE
Equisetopsida,Brassicales,Tropaeolaceae,Tropaeolum majus,FALSE,FALSE
Insecta,Coleoptera,Scarabaeidae,Trichillum adisi,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Wedelia calycina,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Vachellia macracantha,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Todirostrum cinereum,FALSE,FALSE
Aves,Apodiformes,Apodidae,Streptoprocne zonaris,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannus melancholicus,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon mesurus,FALSE,FALSE
Equisetopsida,Boraginales,Namaceae,Wigandia urens,FALSE,FALSE
Equisetopsida,Santalales,Loranthaceae,Tripodanthus acutifolius,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Vultur gryphus,FALSE,TRUE
Equisetopsida,Lamiales,Bignoniaceae,Tabebuia ochracea,FALSE,FALSE
Aves,Apodiformes,Apodidae,Streptoprocne rutila,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Syndactyla ruficollis,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Verbesina ampliatifolia,TRUE,FALSE
Aves,Columbiformes,Columbidae,Zenaida meloda,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Tapera naevia,FALSE,FALSE
Insecta,Coleoptera,Scarabaeidae,Trichillum cristatum,FALSE,FALSE
Equisetopsida,Lamiales,Verbenaceae,Verbena litoralis,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Tessaria integrifolia,FALSE,FALSE
Aves,Strigiformes,Tytonidae,Tyto alba,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus chiguanco,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus nigriceps,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Zonotrichia capensis,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus fuscater,FALSE,FALSE
Mammalia,Carnivora,Ursidae,Tremarctos ornatus,FALSE,TRUE
Equisetopsida,Lamiales,Bignoniaceae,Tecoma weberbaueriana,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus reevei,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus zarumae,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus bernardi,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Troglodytes aedon,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urera acuminata,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia cacticola,TRUE,FALSE
Equisetopsida,Gentianales,Apocynaceae,Vallesia glabra,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urtica urens,FALSE,FALSE
Equisetopsida,Lamiales,Cordiaceae,Varronia macrocephala,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis azarae,FALSE,FALSE
Equisetopsida,Boraginales,Heliotropiaceae,Tournefortia scabrida,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Waltheria ovata,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tumbezia salvini,TRUE,FALSE
Aves,Passeriformes,Thraupidae,Volatinia jacarina,FALSE,FALSE
Equisetopsida,Sapindales,Rutaceae,Zanthoxylum rigidum,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Thlypopsis ornata,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannus niveigularis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Tara spinosa,FALSE,TRUE
Equisetopsida,Lamiales,Bignoniaceae,Tecoma stans,FALSE,FALSE
Aves,Cuculiformes,Cuculidae,Coccyzus lansbergi,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Atlapetes albiceps,FALSE,FALSE
Aves,Coraciiformes,Alcedinidae,Megaceryle torquata,FALSE,FALSE
Aves,Passeriformes,Polioptilidae,Polioptila plumbea,FALSE,FALSE
Equisetopsida,Apiales,Araliaceae,Oreopanax eriocephalus,FALSE,FALSE
Equisetopsida,Lamiales,Calceolariaceae,Calceolaria tripartita,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Minthostachys mollis,FALSE,FALSE
Equisetopsida,Boraginales,Heliotropiaceae,Heliotropium curassavicum,FALSE,FALSE
Equisetopsida,Lamiales,Lamiaceae,Mentha × piperita,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Parkinsonia praecox,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Lupinus mutabilis,FALSE,FALSE
Aves,Apodiformes,Apodidae,Chaetura brachyura,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Rauenia bonariensis,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Cinnagrostis heterophylla,FALSE,FALSE
Equisetopsida,Escalloniales,Escalloniaceae,Escallonia micrantha,FALSE,TRUE
Equisetopsida,Polypodiales,Pteridaceae,Adiantum poiretii,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Hirundo rustica,FALSE,FALSE
Aves,Piciformes,Picidae,Dryobates callonotus,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Albizia multiflora,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Nassella mucronata,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Libidibia glabrata,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Heliomaster longirostris,FALSE,FALSE
Equisetopsida,Ericales,Primulaceae,Cybianthus pastensis,FALSE,FALSE
Equisetopsida,Brassicales,Moringaceae,Moringa oleifera,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Chamaecrista repens,FALSE,FALSE
Equisetopsida,Brassicales,Capparaceae,Morisonia crotonoides,FALSE,FALSE
Aves,Nyctibiiformes,Nyctibiidae,Nyctibius griseus,FALSE,FALSE
Aves,Passeriformes,Cardinalidae,Amaurospiza concolor,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Liabum solidagineum,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Spinus psaltria,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Amaranthus spinosus,FALSE,FALSE
Aves,Passeriformes,Icteridae,Icterus graceannae,FALSE,FALSE
Aves,Piciformes,Picidae,Dryobates fumigatus,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Nothoprocta pentlandii,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Nyctidromus anthonyi,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Actitis macularius,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Psidium guajava,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Myrmia micrura,FALSE,FALSE
Aves,Coraciiformes,Alcedinidae,Chloroceryle americana,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiotheretes striaticollis,FALSE,FALSE
Equisetopsida,Caryophyllales,Amaranthaceae,Alternanthera villosa,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Contopus cinereus,FALSE,FALSE
Equisetopsida,Caryophyllales,Cactaceae,Espostoa lanata,FALSE,FALSE
Equisetopsida,Santalales,Loranthaceae,Psittacanthus divaricatus,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Psittacara erythrogenys,FALSE,FALSE
Equisetopsida,Caryophyllales,Cactaceae,Praecereus euchlorus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Lathrotriccus griseipectus,FALSE,TRUE
Aves,Strigiformes,Strigidae,Athene cunicularia,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Lesbia nuna,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Stelgidopteryx ruficollis,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Charadrius vociferus,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiophobus fasciatus,FALSE,FALSE
Aves,Strigiformes,Strigidae,Ciccaba albitarsis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Camptostoma obsoletum,FALSE,FALSE
Equisetopsida,Lamiales,Plantaginaceae,Galvezia fruticosa,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Psittacara wagleri,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sphenopsis melanotis,FALSE,FALSE
