Clase,Orden,Familia,Especie
Aves,Procellariiformes,Procellariidae,"Pelecanoides garnotii"
Aves,Procellariiformes,Hydrobatidae,"Hydrobates markhami"
Aves,Pelecaniformes,Pelecanidae,"Pelecanus thagus"
Aves,Procellariiformes,Diomedeidae,"Phoebastria irrorata"
Aves,Gruiformes,Rallidae,"Laterallus jamaicensis"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax gaimardi"
Aves,Sphenisciformes,Spheniscidae,"Spheniscus humboldti"
Aves,Gruiformes,Rallidae,"Fulica rufifrons"
Aves,Charadriiformes,Laridae,"Larosterna inca"
Aves,Charadriiformes,Laridae,"Sterna hirundinacea"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus melanopis"
Aves,Suliformes,Sulidae,"Sula variegata"
Aves,Charadriiformes,Laridae,"Sternula lorata"
,,,
