Clase,Orden,Familia,Especie
Aves,Trogoniformes,Trogonidae,"Trogon melanurus"
Equisetopsida,Magnoliales,Annonaceae,"Xylopia cuspidata"
Equisetopsida,Sapindales,Meliaceae,"Trichilia pallida"
Aves,Passeriformes,Tyrannidae,"Tolmomyias poliocephalus"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus amazonicus"
Aves,Passeriformes,Thamnophilidae,"Thamnomanes caesius"
Aves,Passeriformes,Tityridae,"Tityra cayana"
Equisetopsida,Fabales,Fabaceae,"Swartzia arborescens"
Aves,Passeriformes,Turdidae,"Turdus hauxwelli"
Aves,Passeriformes,Vireonidae,"Tunchiornis ochraceiceps"
Aves,Trogoniformes,Trogonidae,"Trogon viridis"
Actinopterygii,Siluriformes,Auchenipteridae,"Tatia intermedia"
Equisetopsida,Gentianales,Rubiaceae,"Warszewiczia coccinea"
Equisetopsida,Sapindales,Meliaceae,"Trichilia solitudinis"
Aves,Passeriformes,Onychorhynchidae,"Terenotriccus erythrurus"
Equisetopsida,Gentianales,Rubiaceae,"Wittmackanthus stanleyanus"
Mammalia,Cetartiodactyla,Tayassuidae,"Tayassu pecari"
Equisetopsida,Sapindales,Meliaceae,"Trichilia septentrionalis"
Equisetopsida,Brassicales,Caricaceae,"Vasconcellea microcarpa"
Equisetopsida,Magnoliales,Myristicaceae,"Virola flexuosa"
Equisetopsida,Polypodiales,Tectariaceae,"Triplophyllum funestum"
Aves,Apodiformes,Apodidae,"Tachornis squamata"
Equisetopsida,Magnoliales,Myristicaceae,"Virola calophylla"
Aves,Passeriformes,Thraupidae,"Thraupis episcopus"
Equisetopsida,Malpighiales,Salicaceae,"Tetrathylacium macrophyllum"
Aves,Trogoniformes,Trogonidae,"Trogon curucui"
Aves,Passeriformes,Tyrannidae,"Tyrannus tyrannus"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Trichomanes pinnatum"
Aves,Passeriformes,Tyrannidae,"Tolmomyias flaviventris"
Aves,Passeriformes,Thraupidae,"Tangara chilensis"
Equisetopsida,Commelinales,Commelinaceae,"Tradescantia zanonia"
Equisetopsida,Ericales,Styracaceae,"Styrax guyanensis"
Aves,Passeriformes,Hirundinidae,"Tachycineta albiventer"
Equisetopsida,Pandanales,Cyclanthaceae,"Thoracocarpus bissectus"
Aves,Passeriformes,Furnariidae,"Synallaxis rutilans"
Equisetopsida,Malvales,Malvaceae,"Theobroma obovatum"
Aves,Passeriformes,Furnariidae,"Xenops minutus"
Equisetopsida,Myrtales,Combretaceae,"Terminalia parvifolia"
Aves,Passeriformes,Vireonidae,"Vireo olivaceus"
Equisetopsida,Magnoliales,Myristicaceae,"Virola duckei"
Aves,Pelecaniformes,Ardeidae,"Zebrilus undulatus"
Equisetopsida,Fabales,Fabaceae,"Tachigali setifera"
Equisetopsida,Sapindales,Anacardiaceae,"Tapirira guianensis"
Equisetopsida,Myrtales,Vochysiaceae,"Vochysia ferruginea"
Aves,Passeriformes,Turdidae,"Turdus albicollis"
Equisetopsida,Myrtales,Melastomataceae,"Triolena amazonica"
Equisetopsida,Malvales,Malvaceae,"Theobroma subincana"
Equisetopsida,Fabales,Fabaceae,"Tachigali pilosa"
Aves,Tinamiformes,Tinamidae,"Tinamus guttatus"
Equisetopsida,Lamiales,Lamiaceae,"Vitex triflora"
Equisetopsida,Malpighiales,Dichapetalaceae,"Tapura peruviana"
Equisetopsida,Magnoliales,Myristicaceae,"Virola surinamensis"
Mammalia,Perissodactyla,Tapiridae,"Tapirus terrestris"
Equisetopsida,Caryophyllales,Polygonaceae,"Symmeria paniculata"
Aves,Pelecaniformes,Ardeidae,"Tigrisoma lineatum"
Actinopterygii,Characiformes,Characidae,"Tyttocharax cochui"
Equisetopsida,Magnoliales,Annonaceae,"Unonopsis veneficiorum"
Aves,Tinamiformes,Tinamidae,"Tinamus major"
Equisetopsida,Magnoliales,Myristicaceae,"Virola decorticans"
Aves,Passeriformes,Pipridae,"Tyranneutes stolzmanni"
Aves,Apodiformes,Trochilidae,"Thalurania furcata"
Actinopterygii,Characiformes,Characidae,"Thayeria obliqua"
Equisetopsida,Malpighiales,Clusiaceae,"Symphonia globulifera"
Aves,Passeriformes,Tyrannidae,"Zimmerius gracilipes"
Aves,Passeriformes,Tyrannidae,"Todirostrum chrysocrotaphum"
Aves,Passeriformes,Furnariidae,"Xiphocolaptes promeropirhynchus"
Aves,Apodiformes,Trochilidae,"Threnetes leucurus"
Aves,Passeriformes,Thamnophilidae,"Willisornis poecilinotus"
Equisetopsida,Gentianales,Apocynaceae,"Tabernaemontana sanano"
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus schistaceus"
Aves,Charadriiformes,Laridae,"Sternula superciliaris"
Aves,Passeriformes,Tyrannidae,"Tyrannulus elatus"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus obsoletus"
Aves,Passeriformes,Thraupidae,"Tangara schrankii"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris decussata"
Equisetopsida,Malpighiales,Dichapetalaceae,"Tapura amazónica"
Equisetopsida,Gentianales,Rubiaceae,"Warszewiczia schwackei"
Aves,Passeriformes,Thraupidae,"Thraupis palmarum"
Equisetopsida,Alismatales,Araceae,"Urospatha sagittifolia"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus murinus"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus elegans"
Aves,Passeriformes,Turdidae,"Turdus lawrencii"
Aves,Passeriformes,Thamnophilidae,"Thamnomanes ardesiacus"
Equisetopsida,Magnoliales,Annonaceae,"Trigynaea triplinervis"
Equisetopsida,Fabales,Fabaceae,"Swartzia klugii"
Equisetopsida,Malvales,Malvaceae,"Theobroma speciosum"
Aves,Passeriformes,Thraupidae,"Tachyphonus surinamus"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus guttatus"
Actinopterygii,Characiformes,Curimatidae,"Steindachnerina planiventris"
Aves,Gruiformes,Rallidae,"Laterallus melanophaius"
Aves,Passeriformes,Thamnophilidae,"Myrmotherula menetriesii"
Equisetopsida,Alismatales,Araceae,"Anthurium gracile"
Equisetopsida,Myrtales,Combretaceae,"Combretum paraguariense"
Aves,Passeriformes,Pipridae,"Pseudopipra pipra"
Equisetopsida,Malpighiales,Violaceae,"Leonia equatoriensis"
Equisetopsida,Gentianales,Rubiaceae,"Palicourea bertieroides"
Equisetopsida,Magnoliales,Myristicaceae,"Osteophloeum platyspermum"
