Clase,Orden,Familia,Especie
Aves,Passeriformes,Thraupidae,"Stilpnia nigrocincta"
Equisetopsida,Poales,Poaceae,"Taquara micrantha"
Aves,Passeriformes,Thamnophilidae,"Taraba major"
Aves,Passeriformes,Thraupidae,"Tangara mexicana"
Aves,Passeriformes,Furnariidae,"Xenops minutus"
Aves,Passeriformes,Tityridae,"Tityra cayana"
Aves,Passeriformes,Thraupidae,"Tangara schrankii"
Aves,Passeriformes,Tyrannidae,"Tyrannopsis sulphurea"
Aves,Podicipediformes,Podicipedidae,"Tachybaptus dominicus"
Aves,Passeriformes,Tyrannidae,"Tyrannulus elatus"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus guttatus"
Aves,Passeriformes,Tyrannidae,"Syrtidicola fluviatilis"
Aves,Passeriformes,Thraupidae,"Tangara velia"
Aves,Tinamiformes,Tinamidae,"Tinamus tao"
Aves,Passeriformes,Tityridae,"Tityra semifasciata"
Aves,Charadriiformes,Laridae,"Sternula superciliaris"
Equisetopsida,Sapindales,Meliaceae,"Trichilia elegans"
Aves,Passeriformes,Furnariidae,"Syndactyla ucayalae"
Aves,Apodiformes,Trochilidae,"Taphrospilus hypostictus"
Aves,Passeriformes,Vireonidae,"Vireo olivaceus"
Aves,Tinamiformes,Tinamidae,"Tinamus major"
Aves,Tinamiformes,Tinamidae,"Tinamus guttatus"
Mammalia,Pilosa,Myrmecophagidae,"Tamandua tetradactyla"
Equisetopsida,Hymenophyllales,Hymenophyllaceae,"Trichomanes elegans"
Aves,Passeriformes,Thraupidae,"Tangara callophrys"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus elegans"
Aves,Passeriformes,Furnariidae,"Synallaxis cabanisi"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus palliatus"
Aves,Passeriformes,Furnariidae,"Synallaxis gujanensis"
Aves,Passeriformes,Tyrannidae,"Sublegatus obscurior"
Mammalia,Perissodactyla,Tapiridae,"Tapirus terrestris"
Aves,Passeriformes,Tyrannidae,"Tyrannus melancholicus"
Aves,Passeriformes,Tyrannidae,"Tyrannus savana"
Aves,Passeriformes,Tyrannidae,"Todirostrum chrysocrotaphum"
Aves,Charadriiformes,Scolopacidae,"Tringa flavipes"
Aves,Passeriformes,Furnariidae,"Xenops tenuirostris"
Aves,Charadriiformes,Scolopacidae,"Tringa melanoleuca"
Equisetopsida,Poales,Bromeliaceae,"Tillandsia brevilingua"
Aves,Passeriformes,Hirundinidae,"Tachycineta albiventer"
Equisetopsida,Malpighiales,Clusiaceae,"Tovomita weddelliana"
Reptilia,Serpentes,Dipsadidae,"Xenodon rabdocephalus"
Aves,Passeriformes,Furnariidae,"Synallaxis albigularis"
Aves,Apodiformes,Trochilidae,"Thalurania furcata"
Aves,Passeriformes,Tyrannidae,"Tyrannus tyrannus"
Aves,Pelecaniformes,Ardeidae,"Tigrisoma lineatum"
Mammalia,Cetartiodactyla,Tayassuidae,"Tayassu pecari"
Aves,Passeriformes,Thamnophilidae,"Thamnomanes ardesiacus"
Insecta,Orthoptera,Romaleidae,"Xyleus discoideus"
Insecta,Lepidoptera,Erebidae,"Thysania agrippina"
Equisetopsida,Fabales,Fabaceae,"Zygia coccinea var. macrophylla"
Equisetopsida,Polypodiales,Tectariaceae,"Tectaria incisa"
Aves,Passeriformes,Troglodytidae,"Troglodytes aedon"
Equisetopsida,Arecales,Arecaceae,"Wettinia augusta"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia sorbifolia"
Aves,Passeriformes,Thraupidae,"Tangara arthus"
Aves,Passeriformes,Furnariidae,"Thripophaga fusciceps"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Equisetopsida,Malvales,Malvaceae,"Theobroma cacao"
Aves,Passeriformes,Furnariidae,"Xiphorhynchus ocellatus"
Aves,Trogoniformes,Trogonidae,"Trogon collaris"
Aves,Charadriiformes,Scolopacidae,"Tringa solitaria"
Aves,Trogoniformes,Trogonidae,"Trogon curucui"
Equisetopsida,Gentianales,Rubiaceae,"Uncaria guianensis"
Aves,Passeriformes,Thamnophilidae,"Thamnomanes schistogynus"
Aves,Passeriformes,Thamnophilidae,"Thamnophilus aethiops"
Equisetopsida,Asterales,Asteraceae,"Wedelia tambilloana"
Aves,Passeriformes,Tyrannidae,"Todirostrum maculatum"
Equisetopsida,Ericales,Primulaceae,"Stylogyne nigricans"
Aves,Trogoniformes,Trogonidae,"Trogon melanurus"
Aves,Apodiformes,Trochilidae,"Threnetes leucurus"
Reptilia,Sauria,Scincidae,"Varzea altamazonica"
Aves,Passeriformes,Onychorhynchidae,"Terenotriccus erythrurus"
Equisetopsida,Asparagales,Orchidaceae,"Warczewiczella amazonica"
Equisetopsida,Gentianales,Rubiaceae,"Tournefortiopsis dependens"
Aves,Passeriformes,Thraupidae,"Thraupis palmarum"
Aves,Trogoniformes,Trogonidae,"Trogon viridis"
Equisetopsida,Polypodiales,Thelypteridaceae,"Thelypteris lancea"
Aves,Passeriformes,Thraupidae,"Volatinia jacarina"
Insecta,Orthoptera,Romaleidae,"Tropidacris cristata"
Aves,Passeriformes,Thraupidae,"Thraupis episcopus"
Aves,Passeriformes,Vireonidae,"Tunchiornis ochraceiceps"
Reptilia,Sauria,Teiidae,"Tupinambis cuzcoensis"
Aves,Passeriformes,Tyrannidae,"Tolmomyias assimilis"
Aves,Apodiformes,Apodidae,"Streptoprocne zonaris"
Equisetopsida,Myrtales,Vochysiaceae,"Vochysia kosnipatae"
Aves,Passeriformes,Turdidae,"Turdus albicollis"
Aves,Passeriformes,Turdidae,"Turdus amaurochalinus"
Aves,Passeriformes,Thraupidae,"Tersina viridis"
Aves,Passeriformes,Tyrannidae,"Tolmomyias flaviventris"
Mammalia,Lagomorpha,Leporidae,"Sylvilagus brasiliensis"
Aves,Passeriformes,Turdidae,"Turdus hauxwelli"
Aves,Apodiformes,Apodidae,"Tachornis squamata"
Insecta,Coleoptera,Scarabaeidae,"Strategus aloeus"
Aves,Passeriformes,Thraupidae,"Thlypopsis sordida"
