Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Passeriformes,Thraupidae,Stilpnia nigrocincta,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Taquara micrantha,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Taraba major,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara mexicana,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xenops minutus,FALSE,FALSE
Aves,Passeriformes,Tityridae,Tityra cayana,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara schrankii,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannopsis sulphurea,FALSE,FALSE
Aves,Podicipediformes,Podicipedidae,Tachybaptus dominicus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannulus elatus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus guttatus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Syrtidicola fluviatilis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara velia,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Tinamus tao,FALSE,FALSE
Aves,Passeriformes,Tityridae,Tityra semifasciata,FALSE,FALSE
Aves,Charadriiformes,Laridae,Sternula superciliaris,FALSE,FALSE
Equisetopsida,Sapindales,Meliaceae,Trichilia elegans,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Syndactyla ucayalae,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Taphrospilus hypostictus,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Vireo olivaceus,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Tinamus major,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Tinamus guttatus,FALSE,FALSE
Mammalia,Pilosa,Myrmecophagidae,Tamandua tetradactyla,FALSE,FALSE
Equisetopsida,Hymenophyllales,Hymenophyllaceae,Trichomanes elegans,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara callophrys,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus elegans,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis cabanisi,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus palliatus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis gujanensis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Sublegatus obscurior,FALSE,FALSE
Mammalia,Perissodactyla,Tapiridae,Tapirus terrestris,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannus melancholicus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannus savana,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Todirostrum chrysocrotaphum,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa flavipes,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xenops tenuirostris,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa melanoleuca,FALSE,FALSE
Equisetopsida,Poales,Bromeliaceae,Tillandsia brevilingua,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Tachycineta albiventer,FALSE,FALSE
Equisetopsida,Malpighiales,Clusiaceae,Tovomita weddelliana,FALSE,FALSE
Reptilia,Serpentes,Dipsadidae,Xenodon rabdocephalus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis albigularis,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Thalurania furcata,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tyrannus tyrannus,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Tigrisoma lineatum,FALSE,FALSE
Mammalia,Cetartiodactyla,Tayassuidae,Tayassu pecari,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnomanes ardesiacus,FALSE,FALSE
Insecta,Orthoptera,Romaleidae,Xyleus discoideus,FALSE,FALSE
Insecta,Lepidoptera,Erebidae,Thysania agrippina,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Zygia coccinea var. macrophylla,FALSE,FALSE
Equisetopsida,Polypodiales,Tectariaceae,Tectaria incisa,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Troglodytes aedon,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Wettinia augusta,FALSE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia sorbifolia,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara arthus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Thripophaga fusciceps,FALSE,FALSE
Mammalia,Carnivora,Ursidae,Tremarctos ornatus,FALSE,TRUE
Equisetopsida,Malvales,Malvaceae,Theobroma cacao,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus ocellatus,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon collaris,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa solitaria,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon curucui,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Uncaria guianensis,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnomanes schistogynus,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus aethiops,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Wedelia tambilloana,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Todirostrum maculatum,FALSE,FALSE
Equisetopsida,Ericales,Primulaceae,Stylogyne nigricans,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon melanurus,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Threnetes leucurus,FALSE,FALSE
Reptilia,Sauria,Scincidae,Varzea altamazonica,FALSE,FALSE
Aves,Passeriformes,Onychorhynchidae,Terenotriccus erythrurus,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Warczewiczella amazonica,FALSE,TRUE
Equisetopsida,Gentianales,Rubiaceae,Tournefortiopsis dependens,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Thraupis palmarum,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Trogon viridis,FALSE,FALSE
Equisetopsida,Polypodiales,Thelypteridaceae,Thelypteris lancea,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Volatinia jacarina,FALSE,FALSE
Insecta,Orthoptera,Romaleidae,Tropidacris cristata,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Thraupis episcopus,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Tunchiornis ochraceiceps,FALSE,FALSE
Reptilia,Sauria,Teiidae,Tupinambis cuzcoensis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tolmomyias assimilis,FALSE,FALSE
Aves,Apodiformes,Apodidae,Streptoprocne zonaris,FALSE,FALSE
Equisetopsida,Myrtales,Vochysiaceae,Vochysia kosnipatae,TRUE,FALSE
Aves,Passeriformes,Turdidae,Turdus albicollis,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus amaurochalinus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tersina viridis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tolmomyias flaviventris,FALSE,FALSE
Mammalia,Lagomorpha,Leporidae,Sylvilagus brasiliensis,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus hauxwelli,FALSE,FALSE
Aves,Apodiformes,Apodidae,Tachornis squamata,FALSE,FALSE
Insecta,Coleoptera,Scarabaeidae,Strategus aloeus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Thlypopsis sordida,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus ignobilis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara chilensis,FALSE,FALSE
Equisetopsida,Polypodiales,Thelypteridaceae,Thelypteris jamesonii,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus lawrencii,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urtica flabellata,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Tolmomyias poliocephalus,FALSE,FALSE
