Clase,Orden,Familia,Especie
Equisetopsida,Malvales,Malvaceae,"Ceiba insignis"
Equisetopsida,Sapindales,Burseraceae,"Protium puncticulatum"
Aves,Passeriformes,Cotingidae,"Pipreola intermedia"
Mammalia,Cetartiodactyla,Cervidae,"Mazama americana"
Aves,Passeriformes,Troglodytidae,"Cinnycerthia fulva"
Aves,Passeriformes,Furnariidae,"Premnornis guttuliger"
Aves,Passeriformes,Thraupidae,"Sporophila luctuosa"
Aves,Apodiformes,Trochilidae,"Adelomyia melanogenys"
Aves,Passeriformes,Thraupidae,"Diglossa glauca"
Aves,Apodiformes,Trochilidae,"Coeligena violifer"
Mammalia,Rodentia,Caviidae,"Hydrochoerus hydrochaeris"
Aves,Apodiformes,Trochilidae,"Aglaiocercus kingi"
Aves,Passeriformes,Tyrannidae,"Mitrephanes olivaceus"
Aves,Passeriformes,Tyrannidae,"Phylloscartes ophthalmicus"
Equisetopsida,Sapindales,Anacardiaceae,"Spondias mombin"
Equisetopsida,Cucurbitales,Begoniaceae,"Begonia glabra"
Equisetopsida,Brassicales,Caricaceae,"Jacaratia digitata"
Aves,Columbiformes,Columbidae,"Patagioenas plumbea"
Aves,Passeriformes,Parulidae,"Myiothlypis coronata"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
Equisetopsida,Malvales,Malvaceae,"Matisia cordata"
Aves,Passeriformes,Thraupidae,"Sporathraupis cyanocephala"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus atratus"
Equisetopsida,Rosales,Moraceae,"Pseudolmedia laevigata"
Aves,Apodiformes,Trochilidae,"Colibri cyanotus"
Aves,Passeriformes,Passerellidae,"Arremon brunneinucha"
Aves,Strigiformes,Strigidae,"Megascops albogularis"
Aves,Passeriformes,Thraupidae,"Creurgops dentatus"
Equisetopsida,Malpighiales,Chrysobalanaceae,"Hirtella triandra"
Equisetopsida,Malpighiales,Violaceae,"Rinorea lindeniana"
Aves,Passeriformes,Thraupidae,"Catamblyrhynchus diadema"
Aves,Passeriformes,Thraupidae,"Diglossa albilatera"
Equisetopsida,Lamiales,Bignoniaceae,"Jacaranda copaia"
Aves,Passeriformes,Cotingidae,"Rupicola peruvianus"
Aves,Passeriformes,Parulidae,"Basileuterus tristriatus"
Aves,Passeriformes,Passerellidae,"Chlorospingus flavopectus"
Aves,Psittaciformes,Psittacidae,"Bolborhynchus orbygnesius"
Aves,Passeriformes,Icteridae,"Cacicus chrysonotus"
Aves,Passeriformes,Thraupidae,"Pseudospingus xanthophthalmus"
Aves,Piciformes,Picidae,"Dryobates nigriceps"
Aves,Passeriformes,Icteridae,"Amblycercus holosericeus"
Aves,Passeriformes,Tyrannidae,"Myiotheretes striaticollis"
Equisetopsida,Sapindales,Meliaceae,"Cedrela fissilis"
Equisetopsida,Rosales,Moraceae,"Clarisia biflora"
Aves,Galliformes,Cracidae,"Penelope jacquacu"
Aves,Psittaciformes,Psittacidae,"Pionus tumultuosus"
Equisetopsida,Malvales,Malvaceae,"Heliocarpus americanus"
Mammalia,Primates,Atelidae,"Ateles belzebuth"
Equisetopsida,Magnoliales,Myristicaceae,"Iryanthera juruensis"
Aves,Strigiformes,Strigidae,"Glaucidium jardinii"
Aves,Piciformes,Picidae,"Dryobates dignus"
Aves,Passeriformes,Thraupidae,"Conirostrum ferrugineiventre"
Equisetopsida,Rosales,Moraceae,"Maclura tinctoria"
Aves,Passeriformes,Tyrannidae,"Myiotheretes fumigatus"
Aves,Passeriformes,Thraupidae,"Chlorornis riefferii"
Aves,Passeriformes,Turdidae,"Entomodestes leucotis"
Equisetopsida,Malpighiales,Euphorbiaceae,"Hevea guianensis"
Equisetopsida,Fabales,Fabaceae,"Copaifera reticulata"
Equisetopsida,Malvales,Malvaceae,"Sterculia apetala"
Aves,Passeriformes,Thraupidae,"Conirostrum sitticolor"
Aves,Passeriformes,Grallariidae,"Grallaria erythroleuca"
Equisetopsida,Gentianales,Apocynaceae,"Aspidosperma macrocarpon"
