Clase,Orden,Familia,Especie
Aves,Accipitriformes,Accipitridae,"Spizaetus isidori"
Aves,Passeriformes,Thraupidae,"Poospiza rufosuperciliaris"
Aves,Galliformes,Cracidae,"Mitu salvini"
Mammalia,Primates,Atelidae,"Lagothrix flavicauda"
Mammalia,Primates,Cebidae,"Aotus miconax"
Aves,Psittaciformes,Psittacidae,"Leptosittaca branickii"
Aves,Psittaciformes,Psittacidae,"Ara militaris"
Aves,Passeriformes,Grallariidae,"Grallaricula ochraceifrons"
Aves,Passeriformes,Furnariidae,"Thripophaga berlepschi"
Aves,Psittaciformes,Psittacidae,"Touit stictopterus"
Aves,Passeriformes,Thraupidae,"Wetmorethraupis sterrhopteron"
Aves,Strigiformes,Strigidae,"Xenoglaux loweryi"
,,,
