Clase,Orden,Familia,Especie
Equisetopsida,Asparagales,Orchidaceae,"Maxillaria deuteropastensis"
Aves,Passeriformes,Thraupidae,"Poospiza rufosuperciliaris"
Mammalia,Primates,Atelidae,"Lagothrix flavicauda"
Mammalia,Primates,Cebidae,"Aotus miconax"
Aves,Passeriformes,Tyrannidae,"Leptopogon taczanowskii"
Aves,Passeriformes,Grallariidae,"Grallaria blakei"
Aves,Passeriformes,Grallariidae,"Grallaria carrikeri"
Aves,Strigiformes,Strigidae,"Megascops koepckeae"
Aves,Passeriformes,Grallariidae,"Grallaria przewalskii"
Aves,Passeriformes,Grallariidae,"Grallaricula ochraceifrons"
Aves,Apodiformes,Trochilidae,"Metallura theresiae"
Aves,Passeriformes,Thraupidae,"Iridosornis reinhardti"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus femoralis"
Mammalia,Cetartiodactyla,Cervidae,"Pudella carlae"
Aves,Passeriformes,Furnariidae,"Thripophaga berlepschi"
Aves,Passeriformes,Tyrannidae,"Zimmerius viridiflavus"
Aves,Strigiformes,Strigidae,"Xenoglaux loweryi"
,,,
