Clase,Orden,Familia,Especie,endemica,amenazada
Aves,Passeriformes,Tyrannidae,Phylloscartes poecilotis,FALSE,FALSE
Aves,Passeriformes,Icteridae,Psarocolius decumanus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Pyrocephalus rubinus,FALSE,FALSE
Aves,Passeriformes,Fringillidae,Spinus psaltria,FALSE,FALSE
Aves,Passeriformes,Tityridae,Pachyramphus albogriseus,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Adelomyia melanogenys,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Phylloscartes ophthalmicus,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Pionus tumultuosus,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Atlapetes latinuchus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Hemitriccus cinnamomeipectus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Mecocerculus calopterus,FALSE,FALSE
Equisetopsida,Bartramiales,Bartramiaceae,Philonotis sphaericarpa,FALSE,FALSE
Equisetopsida,Bartramiales,Bartramiaceae,Philonotis rufiflora,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Margarornis squamiger,FALSE,FALSE
Aves,Passeriformes,Icteridae,Cacicus cela,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Orochelidon flavipes,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Campylopterus villaviscensio,FALSE,FALSE
Equisetopsida,Bartramiales,Bartramiaceae,Philonotis angulata,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Euscarthmus meloryphus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Hemitriccus granadensis,FALSE,FALSE
Aves,Passeriformes,Parulidae,Basileuterus tristriatus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Chalcothraupis ruficervix,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Spizaetus isidori,FALSE,TRUE
Aves,Apodiformes,Trochilidae,Ocreatus underwoodii,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Colonia colonus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Pyrrhomyias cinnamomeus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Cranioleuca curtata,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Maxillaria deuteropastensis,TRUE,FALSE
Aves,Passeriformes,Fringillidae,Euphonia chlorotica,FALSE,FALSE
Aves,Piciformes,Picidae,Picumnus lafresnayi,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Empidonax alnorum,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiotriccus ornatus,FALSE,FALSE
Equisetopsida,Lophocoleineae,Lepidoziaceae,Bazzania falcata,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Camptostoma obsoletum,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Schistochlamys melanopis,FALSE,FALSE
Aves,Passeriformes,Turdidae,Myadestes ralloides,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Metallura tyrianthina,FALSE,FALSE
