Clase,Orden,Familia,Especie
Equisetopsida,Myrtales,Melastomataceae,"Miconia polytopica"
Equisetopsida,Magnoliales,Annonaceae,"Cymbopetalum schunkei"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea alatissima"
Aves,Apodiformes,Trochilidae,"Phlogophilus harterti"
Equisetopsida,Lamiales,Gesneriaceae,"Cremosperma peruvianum"
Equisetopsida,Asparagales,Orchidaceae,"Elleanthus wallnoeferi"
Aves,Apodiformes,Trochilidae,"Phaethornis koepckeae"
Equisetopsida,Myrtales,Melastomataceae,"Miconia koepckeana"
Equisetopsida,Malpighiales,Ochnaceae,"Perissocarpa ondox"
Equisetopsida,Myrtales,Melastomataceae,"Miconia hospitalis"
Equisetopsida,Gentianales,Rubiaceae,"Cinchona micrantha"
Aves,Galliformes,Cracidae,"Pauxi koepckeae"
Equisetopsida,Gentianales,Rubiaceae,"Psychotria dudleyi"
Equisetopsida,Gentianales,Rubiaceae,"Pagamea dudleyi"
Equisetopsida,Myrtales,Melastomataceae,"Miconia choriophylla"
Equisetopsida,Malpighiales,Ochnaceae,"Ouratea wallnoeferiana"
Aves,Apodiformes,Trochilidae,"Heliodoxa branickii"
Equisetopsida,Asparagales,Orchidaceae,"Helonoma peruviana"
Aves,Passeriformes,Thamnophilidae,"Herpsilochmus motacilloides"
Equisetopsida,Myrtales,Melastomataceae,"Salpinga peruviana"
Equisetopsida,Aquifoliales,Aquifoliaceae,"Ilex tarapotina"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus femoralis"
Equisetopsida,Fabales,Polygalaceae,"Securidaca dolod"
Equisetopsida,Proteales,Sabiaceae,"Meliosma sirensis"
Equisetopsida,Gentianales,Gentianaceae,"Lehmanniella huanucensis"
Aves,Passeriformes,Pipridae,"Lepidothrix coeruleocapilla"
Equisetopsida,Ericales,Ebenaceae,"Lissocarpa uyat"
Equisetopsida,Gentianales,Gentianaceae,"Macrocarpaea ostentans"
Equisetopsida,Gentianales,Gentianaceae,"Macrocarpaea tabula-fluctivagifolia"
Equisetopsida,Gentianales,Gentianaceae,"Macrocarpaea wallnoeferi"
Equisetopsida,Myrtales,Melastomataceae,"Miconia wolfei"
Equisetopsida,Myrtales,Melastomataceae,"Miconia thaminantha"
Aves,Passeriformes,Cotingidae,"Pipreola pulchra"
Equisetopsida,Myrtales,Melastomataceae,"Miconia reflexipila"
Equisetopsida,Ericales,Ebenaceae,"Diospyros panguana"
Equisetopsida,Poales,Bromeliaceae,"Pitcairnia bifaria"
Aves,Passeriformes,Tyrannidae,"Zimmerius viridiflavus"
Equisetopsida,Cycadales,Zamiaceae,"Zamia urep"
Aves,Passeriformes,Thraupidae,"Stilpnia phillipsi"
Equisetopsida,Malpighiales,Malpighiaceae,"Stigmaphyllon argenteum"
Equisetopsida,Ericales,Symplocaceae,"Symplocos globulifera"
Equisetopsida,Ericales,Styracaceae,"Styrax omuk"
,,,
